time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638657093.027258,1.9867794817556848,65.32414238179001,65.32239670795883,0,kth,0,225.3667456738312,5893.0,9.0,30056.0,0.0,15128.0,0.1,16.0,16.0,0,tth,0,-16.0,-400.005,-400.0,0,x,0,-400.0
1638657094.284654,1.6482776824600764,65.36814238179002,65.37239670795881,0,kth,0,225.3167456738312,5007.0,9.0,24978.0,0.0,15154.0,0.1,16.1,16.1,0,tth,0,-16.1,-405.01300000000003,-405.0125,0,x,0,-405.0125
1638657095.4817677,1.70292389941258,65.42014238179001,65.4223967079588,0,kth,0,225.26674567383122,4890.0,8.0,25801.0,0.0,15151.0,0.1,16.2,16.2,0,tth,0,-16.2,-410.092,-410.025,0,x,0,-410.025
1638657096.6574101,2.023033262935586,65.47714238179,65.47239670795881,0,kth,0,225.2167456738312,4882.0,9.0,30653.0,0.0,15152.0,0.1,16.3,16.3,0,tth,0,-16.3,-415.041,-415.0375,0,x,0,-415.0375
1638657097.8714423,1.3160536221356403,65.51814238179003,65.52239670795882,0,kth,0,225.1667456738312,4794.0,9.0,19929.0,0.0,15143.0,0.1,16.4,16.4,0,tth,0,-16.4,-420.05,-420.05,0,x,0,-420.05
1638657099.1138716,1.8705283343252,65.57514238179002,65.57239670795883,0,kth,0,225.1167456738312,4788.0,8.0,28288.0,0.0,15123.0,0.1,16.5,16.5,0,tth,0,-16.5,-425.07,-425.0625,0,x,0,-425.0625
1638657100.3495972,1.3787338091461803,65.61814238179002,65.62239670795881,0,kth,0,225.0667456738312,4723.0,9.0,20863.0,0.0,15132.0,0.1,16.6,16.6,0,tth,0,-16.6,-430.06100000000004,-430.075,0,x,0,-430.075
1638657101.5549147,1.5366433381750957,65.67214238179002,65.6723967079588,0,kth,0,225.01674567383122,4752.0,10.0,23274.0,0.0,15146.0,0.1,16.7,16.7,0,tth,0,-16.7,-435.044,-435.0875,0,x,0,-435.0875
1638657102.770654,1.5128052805280527,65.72214238179001,65.72239670795881,0,kth,0,224.9667456738312,4724.0,8.0,22919.0,0.0,15150.0,0.1,16.8,16.8,0,tth,0,-16.8,-439.995,-440.1,0,x,0,-440.1
1638657103.9607477,1.3838784274859597,65.77114238179001,65.77239670795882,0,kth,0,224.9167456738312,4725.0,9.0,20945.0,0.0,15135.0,0.1,16.9,16.9,0,tth,0,-16.9,-445.141,-445.1125,0,x,0,-445.1125
1638657105.204204,1.3035466613829998,65.82114238179003,65.82239670795883,0,kth,0,224.8667456738312,4660.0,9.0,19737.0,0.0,15141.0,0.1,17.0,17.0,0,tth,0,-17.0,-450.166,-450.125,0,x,0,-450.125
1638657106.4437783,1.1867616973536594,65.87114238179001,65.87239670795881,0,kth,0,224.8167456738312,4530.0,8.0,17983.0,0.0,15153.0,0.1,17.1,17.1,0,tth,0,-17.1,-455.03000000000003,-455.1375,0,x,0,-455.1375
1638657107.7475922,1.1392321416771294,65.92114238179002,65.9223967079588,0,kth,0,224.76674567383122,4604.0,10.0,17240.0,0.0,15133.0,0.1,17.2,17.2,0,tth,0,-17.2,-460.149,-460.15,0,x,0,-460.15
1638657109.0099576,1.2328730924225408,65.97314238179001,65.97239670795881,0,kth,0,224.7167456738312,4485.0,9.0,18662.0,0.0,15137.0,0.1,17.3,17.3,0,tth,0,-17.3,-465.094,-465.1625,0,x,0,-465.1625
1638657110.287596,1.0107064965963914,66.01814238179003,66.02239670795882,0,kth,0,224.6667456738312,4604.0,9.0,15293.0,0.0,15131.0,0.1,17.400000000000002,17.4,0,tth,0,-17.4,-470.119,-470.175,0,x,0,-470.175
1638657111.5582201,1.061698188070361,66.07214238179,66.07239670795883,0,kth,0,224.6167456738312,4521.0,10.0,16055.0,0.0,15122.0,0.1,17.5,17.5,0,tth,0,-17.5,-475.183,-475.1875,0,x,0,-475.1875
1638657112.7692897,1.13912928585585,66.12514238179003,66.12239670795881,0,kth,0,224.5667456738312,4534.0,10.0,17243.0,0.0,15137.0,0.1,17.6,17.6,0,tth,0,-17.6,-480.205,-480.2,0,x,0,-480.2
1638657114.0412722,0.8917365744104631,66.16914238179001,66.1723967079588,0,kth,0,224.51674567383122,4573.0,10.0,13500.0,0.0,15139.0,0.1,17.7,17.7,0,tth,0,-17.7,-485.223,-485.2125,0,x,0,-485.2125
