time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,D4calc,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,D4,scaler_time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval
1638592360.5444999,1499.911,1500.0,0,x,0,1500.0,2.0788712522045856,2.0,2.0,0,tth,0,-2.0,29468.0,0.1,58.32014238179002,58.32239670795883,0,kth,0,232.3667456738312
1638592361.313246,1505.031,1505.0277777777778,0,x,0,1505.0277777777778,2.1512397858551706,2.1,2.1,0,tth,0,-2.1,30539.0,0.1,58.37314238179002,58.37239670795881,0,kth,0,232.3167456738312
1638592362.1500316,1510.031,1510.0555555555557,0,x,0,1510.0555555555557,2.199901318108127,2.2,2.2,0,tth,0,-2.2,31210.0,0.1,58.42114238179002,58.422396707958825,0,kth,0,232.2667456738312
1638592362.913684,1515.053,1515.0833333333333,0,x,0,1515.0833333333333,2.245377558221595,2.3000000000000003,2.3,0,tth,0,-2.3,31817.0,0.1,58.46914238179002,58.47239670795881,0,kth,0,232.2167456738312
1638592363.6621852,1520.112,1520.111111111111,0,x,0,1520.111111111111,2.2785140279148455,2.4,2.4,0,tth,0,-2.4,32323.0,0.1,58.525142381790005,58.52239670795882,0,kth,0,232.1667456738312
1638592364.4059913,1525.137,1525.138888888889,0,x,0,1525.138888888889,2.297737365193487,2.5,2.5,0,tth,0,-2.5,32598.0,0.1,58.57314238179001,58.57239670795883,0,kth,0,232.1167456738312
1638592365.3178785,1530.057,1530.1666666666667,0,x,0,1530.1666666666667,2.3272240236853237,2.6,2.6,0,tth,0,-2.6,33014.0,0.1,58.626142381790004,58.62239670795881,0,kth,0,232.0667456738312
1638592366.0616817,1535.14,1535.1944444444443,0,x,0,1535.1944444444443,2.3407679277244493,2.7,2.7,0,tth,0,-2.7,33164.0,0.1,58.67114238179002,58.672396707958825,0,kth,0,232.0167456738312
1638592366.8166273,1540.231,1540.2222222222222,0,x,0,1540.2222222222222,2.3460807099091485,2.8000000000000003,2.8,0,tth,0,-2.8,33312.0,0.1,58.720142381790026,58.72239670795881,0,kth,0,231.9667456738312
1638592367.5473664,1545.251,1545.25,0,x,0,1545.25,2.4060845627161713,2.9,2.9,0,tth,0,-2.9,34087.0,0.1,58.77614238179001,58.77239670795882,0,kth,0,231.9167456738312
1638592368.301682,1550.287,1550.2777777777778,0,x,0,1550.2777777777778,2.3959272829763245,3.0,3.0,0,tth,0,-3.0,34003.0,0.1,58.821142381790025,58.82239670795883,0,kth,0,231.8667456738312
1638592369.0467257,1555.32,1555.3055555555557,0,x,0,1555.3055555555557,2.432314102111433,3.1,3.1,0,tth,0,-3.1,34444.0,0.1,58.87314238179002,58.87239670795881,0,kth,0,231.8167456738312
1638592369.8142438,1560.324,1560.3333333333333,0,x,0,1560.3333333333333,2.397095113868716,3.2,3.2,0,tth,0,-3.2,33998.0,0.1,58.920142381790015,58.922396707958825,0,kth,0,231.7667456738312
1638592370.5222735,1565.365,1565.361111111111,0,x,0,1565.361111111111,2.401680434936101,3.3000000000000003,3.3,0,tth,0,-3.3,34015.0,0.1,58.970142381790026,58.97239670795881,0,kth,0,231.7167456738312
1638592371.267381,1570.4080000000001,1570.388888888889,0,x,0,1570.388888888889,2.4114080236903335,3.4,3.4000000000000004,0,tth,0,-3.4000000000000004,34201.0,0.1,59.02214238179002,59.02239670795882,0,kth,0,231.6667456738312
1638592372.068811,1575.416,1575.4166666666667,0,x,0,1575.4166666666667,2.4174490011999716,3.5,3.5,0,tth,0,-3.5,34248.0,0.1,59.07414238179001,59.07239670795883,0,kth,0,231.6167456738312
1638592372.8929634,1580.354,1580.4444444444443,0,x,0,1580.4444444444443,2.3138402934537248,3.6,3.6,0,tth,0,-3.6,32801.0,0.1,59.11814238179002,59.12239670795881,0,kth,0,231.5667456738312
1638592373.6904259,1585.472,1585.4722222222222,0,x,0,1585.4722222222222,2.3029171364148815,3.7,3.7,0,tth,0,-3.7,32683.0,0.1,59.168142381790005,59.172396707958825,0,kth,0,231.5167456738312
1638592374.4225733,1590.425,1590.5,0,x,0,1590.5,2.2778602218924457,3.8000000000000003,3.8,0,tth,0,-3.8,32234.0,0.1,59.22214238179001,59.22239670795881,0,kth,0,231.4667456738312
1638592375.1436627,1595.451,1595.5277777777778,0,x,0,1595.5277777777778,2.307242084479233,3.9,3.9000000000000004,0,tth,0,-3.9000000000000004,32719.0,0.1,59.275142381790005,59.27239670795882,0,kth,0,231.4167456738312
1638592375.8860602,1600.549,1600.5555555555557,0,x,0,1600.5555555555557,2.190879570803332,4.0,4.0,0,tth,0,-4.0,31036.0,0.1,59.32214238179,59.32239670795883,0,kth,0,231.3667456738312
1638592376.7443082,1605.561,1605.5833333333333,0,x,0,1605.5833333333333,2.201283135927806,4.1,4.1,0,tth,0,-4.1,31223.0,0.1,59.37714238179001,59.37239670795881,0,kth,0,231.3167456738312
1638592377.467274,1610.614,1610.611111111111,0,x,0,1610.611111111111,2.151125855862215,4.2,4.2,0,tth,0,-4.2,30475.0,0.1,59.426142381790015,59.422396707958825,0,kth,0,231.2667456738312
1638592378.223374,1615.618,1615.638888888889,0,x,0,1615.638888888889,1.989772887572295,4.3,4.300000000000001,0,tth,0,-4.300000000000001,28211.0,0.1,59.47214238179001,59.47239670795881,0,kth,0,231.2167456738312
1638592378.9958954,1620.624,1620.6666666666667,0,x,0,1620.6666666666667,1.8488462352692119,4.4,4.4,0,tth,0,-4.4,26200.0,0.1,59.519142381790004,59.52239670795882,0,kth,0,231.1667456738312
1638592379.7668066,1625.663,1625.6944444444443,0,x,0,1625.6944444444443,1.741320914479255,4.5,4.5,0,tth,0,-4.5,24678.0,0.1,59.57014238179002,59.57239670795883,0,kth,0,231.1167456738312
1638592380.5328436,1630.71,1630.7222222222222,0,x,0,1630.7222222222222,1.7393793737188097,4.6000000000000005,4.6,0,tth,0,-4.6,24607.0,0.1,59.62914238179002,59.62239670795881,0,kth,0,231.0667456738312
1638592381.248064,1635.788,1635.75,0,x,0,1635.75,1.4937592553416543,4.7,4.7,0,tth,0,-4.7,21183.0,0.1,59.668142381790005,59.672396707958825,0,kth,0,231.0167456738312
1638592381.9776304,1640.797,1640.7777777777778,0,x,0,1640.7777777777778,1.3260562385191466,4.8,4.800000000000001,0,tth,0,-4.800000000000001,18769.0,0.1,59.72314238179001,59.72239670795881,0,kth,0,230.9667456738312
1638592382.7285523,1645.832,1645.8055555555557,0,x,0,1645.8055555555557,1.182722845648952,4.9,4.9,0,tth,0,-4.9,16758.0,0.1,59.77614238179001,59.77239670795882,0,kth,0,230.9167456738312
1638592383.4672158,1650.752,1650.8333333333333,0,x,0,1650.8333333333333,1.033116791413642,5.0,5.0,0,tth,0,-5.0,14631.0,0.1,59.827142381790026,59.82239670795883,0,kth,0,230.8667456738312
1638592384.2341082,1655.836,1655.861111111111,0,x,0,1655.861111111111,0.8711136235161108,5.1000000000000005,5.1,0,tth,0,-5.1,12328.0,0.1,59.87114238179001,59.87239670795881,0,kth,0,230.8167456738312
1638592384.9503155,1660.827,1660.888888888889,0,x,0,1660.888888888889,0.7618578465869106,5.2,5.2,0,tth,0,-5.2,10826.0,0.1,59.924142381790006,59.922396707958825,0,kth,0,230.7667456738312
1638592385.6857936,1665.885,1665.9166666666667,0,x,0,1665.9166666666667,0.6207867145169235,5.3,5.300000000000001,0,tth,0,-5.300000000000001,8822.0,0.1,59.96914238179002,59.97239670795881,0,kth,0,230.7167456738312
1638592386.4266415,1670.971,1670.9444444444443,0,x,0,1670.9444444444443,0.5397048489107519,5.4,5.4,0,tth,0,-5.4,7680.0,0.1,60.02614238179001,60.02239670795882,0,kth,0,230.6667456738312
1638592387.160993,1675.893,1675.9722222222222,0,x,0,1675.9722222222222,0.4389866291344124,5.5,5.5,0,tth,0,-5.5,6238.0,0.1,60.06814238179001,60.07239670795883,0,kth,0,230.6167456738312
1638592387.8828156,1680.955,1681.0,0,x,0,1681.0,0.4177215189873418,5.6000000000000005,5.6,0,tth,0,-5.6,5940.0,0.1,60.120142381790004,60.12239670795881,0,kth,0,230.5667456738312
1638592388.5998497,1686.048,1686.0277777777778,0,x,0,1686.0277777777778,0.4212268469610536,5.7,5.7,0,tth,0,-5.7,5981.0,0.1,60.172142381790025,60.172396707958825,0,kth,0,230.5167456738312
1638592389.382597,1690.989,1691.0555555555557,0,x,0,1691.0555555555557,0.39925320557982247,5.8,5.800000000000001,0,tth,0,-5.800000000000001,5667.0,0.1,60.21914238179002,60.22239670795881,0,kth,0,230.4667456738312
1638592390.0863483,1695.958,1696.0833333333333,0,x,0,1696.0833333333333,0.38657000070387837,5.9,5.9,0,tth,0,-5.9,5492.0,0.1,60.275142381790005,60.27239670795882,0,kth,0,230.4167456738312
1638592390.8190181,1701.0900000000001,1701.111111111111,0,x,0,1701.111111111111,0.31200731981981983,6.0,6.0,0,tth,0,-6.0,4433.0,0.1,60.32014238179002,60.32239670795883,0,kth,0,230.3667456738312
1638592391.5252259,1706.127,1706.138888888889,0,x,0,1706.138888888889,0.24304528487921684,6.1000000000000005,6.1000000000000005,0,tth,0,-6.1000000000000005,3451.0,0.1,60.37114238179001,60.37239670795881,0,kth,0,230.3167456738312
1638592392.3839514,1711.067,1711.1666666666667,0,x,0,1711.1666666666667,0.189556761327602,6.2,6.2,0,tth,0,-6.2,2690.0,0.1,60.42714238179002,60.422396707958825,0,kth,0,230.2667456738312
1638592393.099241,1716.1870000000001,1716.1944444444443,0,x,0,1716.1944444444443,0.16754589575859885,6.3,6.3,0,tth,0,-6.3,2382.0,0.1,60.47714238179,60.47239670795881,0,kth,0,230.2167456738312
1638592393.9087372,1721.2060000000001,1721.2222222222222,0,x,0,1721.2222222222222,0.1660680329600676,6.4,6.4,0,tth,0,-6.4,2358.0,0.1,60.51814238179003,60.52239670795882,0,kth,0,230.1667456738312
1638592394.879813,1726.21,1726.25,0,x,0,1726.25,0.2018322762508809,6.5,6.5,0,tth,0,-6.5,2864.0,0.1,60.577142381790026,60.57239670795883,0,kth,0,230.1167456738312
1638592395.6188512,1731.269,1731.2777777777778,0,x,0,1731.2777777777778,0.2021381347587565,6.6000000000000005,6.6000000000000005,0,tth,0,-6.6000000000000005,2874.0,0.1,60.61914238179003,60.62239670795881,0,kth,0,230.0667456738312
1638592396.3272586,1736.303,1736.3055555555557,0,x,0,1736.3055555555557,0.21130134573381243,6.7,6.7,0,tth,0,-6.7,2999.0,0.1,60.672142381790025,60.672396707958825,0,kth,0,230.0167456738312
1638592397.0992033,1741.314,1741.3333333333333,0,x,0,1741.3333333333333,0.19749436936936937,6.8,6.800000000000001,0,tth,0,-6.800000000000001,2806.0,0.1,60.72614238179003,60.72239670795881,0,kth,0,229.9667456738312
1638592397.8528404,1746.363,1746.361111111111,0,x,0,1746.361111111111,0.1607683107014705,6.9,6.9,0,tth,0,-6.9,2285.0,0.1,60.771142381790014,60.77239670795882,0,kth,0,229.9167456738312
1638592398.6014633,1751.308,1751.388888888889,0,x,0,1751.388888888889,0.12639221767940223,7.0,7.0,0,tth,0,-7.0,1793.0,0.1,60.819142381790016,60.82239670795883,0,kth,0,229.8667456738312
1638592399.3200774,1756.4660000000001,1756.4166666666667,0,x,0,1756.4166666666667,0.09646528657935502,7.1000000000000005,7.1000000000000005,0,tth,0,-7.1000000000000005,1370.0,0.1,60.87314238179002,60.87239670795881,0,kth,0,229.8167456738312
1638592400.0626402,1761.453,1761.4444444444443,0,x,0,1761.4444444444443,0.07804465732196943,7.2,7.2,0,tth,0,-7.2,1108.0,0.1,60.922142381790025,60.922396707958825,0,kth,0,229.7667456738312
1638592400.829467,1766.4750000000001,1766.4722222222222,0,x,0,1766.4722222222222,0.07095546786922209,7.3,7.300000000000001,0,tth,0,-7.300000000000001,1007.0,0.1,60.970142381790026,60.97239670795881,0,kth,0,229.7167456738312
1638592401.567123,1771.545,1771.5,0,x,0,1771.5,0.07140843084731426,7.4,7.4,0,tth,0,-7.4,1013.0,0.1,61.01814238179003,61.02239670795882,0,kth,0,229.6667456738312
1638592402.3187506,1776.517,1776.5277777777778,0,x,0,1776.5277777777778,0.07477293529536014,7.5,7.5,0,tth,0,-7.5,1062.0,0.1,61.071142381790025,61.07239670795883,0,kth,0,229.6167456738312
1638592403.0903115,1781.53,1781.5555555555557,0,x,0,1781.5555555555557,0.0762562548453027,7.6000000000000005,7.6000000000000005,0,tth,0,-7.6000000000000005,1082.0,0.1,61.12114238179001,61.12239670795881,0,kth,0,229.5667456738312
1638592403.8701396,1786.5620000000001,1786.5833333333333,0,x,0,1786.5833333333333,0.07318447559343523,7.7,7.7,0,tth,0,-7.7,1039.0,0.1,61.172142381790025,61.172396707958825,0,kth,0,229.5167456738312
1638592404.7142138,1791.614,1791.611111111111,0,x,0,1791.611111111111,0.0686495630109952,7.8,7.800000000000001,0,tth,0,-7.800000000000001,974.0,0.1,61.22614238179003,61.22239670795881,0,kth,0,229.4667456738312
1638592405.4552772,1796.613,1796.638888888889,0,x,0,1796.638888888889,0.058707449432659105,7.9,7.9,0,tth,0,-7.9,833.0,0.1,61.273142381790024,61.27239670795882,0,kth,0,229.4167456738312
1638592406.183018,1801.684,1801.6666666666667,0,x,0,1801.6666666666667,0.05014458001269483,8.0,8.0,0,tth,0,-8.0,711.0,0.1,61.32214238179,61.32239670795883,0,kth,0,229.3667456738312
1638592406.9155886,1806.692,1806.6944444444443,0,x,0,1806.6944444444443,0.04613431151241535,8.1,8.100000000000001,0,tth,0,-8.100000000000001,654.0,0.1,61.37314238179002,61.37239670795881,0,kth,0,229.3167456738312
1638592407.6674101,1811.664,1811.7222222222222,0,x,0,1811.7222222222222,0.04661823823965019,8.2,8.2,0,tth,0,-8.2,661.0,0.1,61.420142381790015,61.422396707958825,0,kth,0,229.2667456738312
1638592408.3835542,1816.711,1816.75,0,x,0,1816.75,0.053669530919847865,8.3,8.3,0,tth,0,-8.3,762.0,0.1,61.47314238179001,61.47239670795881,0,kth,0,229.2167456738312
1638592409.1335413,1821.795,1821.7777777777778,0,x,0,1821.7777777777778,0.06318758815232722,8.4,8.4,0,tth,0,-8.4,896.0,0.1,61.523142381790024,61.52239670795882,0,kth,0,229.1667456738312
1638592410.026996,1826.8110000000001,1826.8055555555557,0,x,0,1826.8055555555557,0.07882676443629698,8.5,8.5,0,tth,0,-8.5,1118.0,0.1,61.57214238179,61.57239670795883,0,kth,0,229.1167456738312
1638592411.0686681,1831.8890000000001,1831.8333333333333,0,x,0,1831.8333333333333,0.08312164832063224,8.6,8.600000000000001,0,tth,0,-8.600000000000001,1178.0,0.1,61.61914238179003,61.62239670795881,0,kth,0,229.0667456738312
1638592412.285441,1836.8500000000001,1836.861111111111,0,x,0,1836.861111111111,0.09667418263810598,8.700000000000001,8.7,0,tth,0,-8.7,1372.0,0.1,61.676142381790015,61.672396707958825,0,kth,0,229.0167456738312
1638592413.073847,1841.807,1841.888888888889,0,x,0,1841.888888888889,0.09063955950868276,8.8,8.8,0,tth,0,-8.8,1284.0,0.1,61.71814238179002,61.72239670795881,0,kth,0,228.9667456738312
1638592414.1933908,1846.881,1846.9166666666667,0,x,0,1846.9166666666667,0.0986024844720497,8.9,8.9,0,tth,0,-8.9,1397.0,0.1,61.777142381790014,61.77239670795882,0,kth,0,228.9167456738312
1638592414.9405563,1851.867,1851.9444444444443,0,x,0,1851.9444444444443,0.08339212642867222,9.0,9.0,0,tth,0,-9.0,1182.0,0.1,61.81814238179001,61.82239670795883,0,kth,0,228.8667456738312
1638592415.6855361,1856.961,1856.9722222222222,0,x,0,1856.9722222222222,0.07729741166513858,9.1,9.100000000000001,0,tth,0,-9.100000000000001,1096.0,0.1,61.86914238179003,61.87239670795881,0,kth,0,228.8167456738312
1638592416.42651,1861.9270000000001,1862.0,0,x,0,1862.0,0.06645993375149764,9.200000000000001,9.2,0,tth,0,-9.2,943.0,0.1,61.920142381790015,61.922396707958825,0,kth,0,228.7667456738312
1638592417.1391375,1866.931,1867.0277777777778,0,x,0,1867.0277777777778,0.058442016214310895,9.3,9.3,0,tth,0,-9.3,829.0,0.1,61.97214238179001,61.97239670795881,0,kth,0,228.7167456738312
1638592417.8870869,1872.057,1872.0555555555557,0,x,0,1872.0555555555557,0.048806253961546586,9.4,9.4,0,tth,0,-9.4,693.0,0.1,62.02014238179001,62.02239670795882,0,kth,0,228.6667456738312
1638592418.6154907,1877.044,1877.0833333333333,0,x,0,1877.0833333333333,0.044893061339733184,9.5,9.5,0,tth,0,-9.5,636.0,0.1,62.07214238179,62.07239670795883,0,kth,0,228.6167456738312
1638592419.3364458,1882.106,1882.111111111111,0,x,0,1882.111111111111,0.041716580931576354,9.6,9.600000000000001,0,tth,0,-9.600000000000001,592.0,0.1,62.12314238179002,62.12239670795881,0,kth,0,228.5667456738312
1638592420.0786736,1887.0720000000001,1887.138888888889,0,x,0,1887.138888888889,0.040533860603064756,9.700000000000001,9.7,0,tth,0,-9.7,574.0,0.1,62.172142381790025,62.172396707958825,0,kth,0,228.5167456738312
1638592420.7885308,1892.181,1892.1666666666667,0,x,0,1892.1666666666667,0.04125237994499683,9.8,9.8,0,tth,0,-9.8,585.0,0.1,62.22214238179001,62.22239670795881,0,kth,0,228.4667456738312
1638592421.540757,1897.19,1897.1944444444443,0,x,0,1897.1944444444443,0.04178135365939727,9.9,9.9,0,tth,0,-9.9,592.0,0.1,62.27214238179002,62.27239670795882,0,kth,0,228.4167456738312
1638592422.25823,1902.243,1902.2222222222222,0,x,0,1902.2222222222222,0.04182831346547224,10.0,10.0,0,tth,0,-10.0,593.0,0.1,62.32014238179002,62.32239670795883,0,kth,0,228.3667456738312
1638592423.0196621,1907.172,1907.25,0,x,0,1907.25,0.040585448631832,10.1,10.1,0,tth,0,-10.1,574.0,0.1,62.37214238179001,62.37239670795881,0,kth,0,228.3167456738312
1638592423.7261903,1912.277,1912.2777777777778,0,x,0,1912.2777777777778,0.03862963485126181,10.200000000000001,10.200000000000001,0,tth,0,-10.200000000000001,548.0,0.1,62.42114238179002,62.422396707958825,0,kth,0,228.2667456738312
1638592424.4520197,1917.306,1917.3055555555557,0,x,0,1917.3055555555557,0.035500035288305455,10.3,10.3,0,tth,0,-10.3,503.0,0.1,62.47214238179001,62.47239670795881,0,kth,0,228.2167456738312
1638592425.176748,1922.259,1922.3333333333333,0,x,0,1922.3333333333333,0.03346720214190094,10.4,10.4,0,tth,0,-10.4,475.0,0.1,62.527142381790014,62.52239670795882,0,kth,0,228.1667456738312
