time,kappa_motors_m4,kappa_motors_m4_user_setpoint,kappa_motors_m4_sync,kappa_motors_m4_desc,kappa_motors_m4_homf,kappa_motors_m4_dval,D3,scaler_time
1638589521.014564,-589.992,-590.0,0,z,0,-590.0,21006.0,0.1
1638589521.3184032,-579.997,-580.0,0,z,0,-580.0,20953.0,0.1
1638589521.6345499,-570.0,-570.0,0,z,0,-570.0,20826.0,0.1
1638589521.932081,-560.005,-560.0,0,z,0,-560.0,20757.0,0.1
1638589522.2410657,-550.009,-550.0,0,z,0,-550.0,20639.0,0.1
1638589522.54463,-539.999,-540.0,0,z,0,-540.0,20535.0,0.1
1638589522.8439085,-530.005,-530.0,0,z,0,-530.0,20454.0,0.1
1638589523.0942404,-520.02,-520.0,0,z,0,-520.0,20405.0,0.1
1638589523.3489234,-510.01,-510.0,0,z,0,-510.0,20319.0,0.1
1638589523.5967972,-500.005,-500.0,0,z,0,-500.0,20185.0,0.1
1638589523.8374271,-490.00600000000003,-490.0,0,z,0,-490.0,20020.0,0.1
1638589524.0777206,-479.998,-480.0,0,z,0,-480.0,19856.0,0.1
1638589524.3238049,-469.998,-470.0,0,z,0,-470.0,19676.0,0.1
1638589524.5651634,-460.009,-460.0,0,z,0,-460.0,19540.0,0.1
1638589524.8075557,-450.012,-450.0,0,z,0,-450.0,19414.0,0.1
1638589525.0498857,-440.00100000000003,-440.0,0,z,0,-440.0,19286.0,0.1
1638589525.2999477,-430.012,-430.0,0,z,0,-430.0,19115.0,0.1
1638589525.5438535,-419.994,-420.0,0,z,0,-420.0,18906.0,0.1
1638589525.840992,-410.007,-410.0,0,z,0,-410.0,18643.0,0.1
1638589526.1389258,-400.004,-400.0,0,z,0,-400.0,18387.0,0.1
1638589526.4483151,-389.993,-390.0,0,z,0,-390.0,18122.0,0.1
1638589526.7536983,-380.0,-380.0,0,z,0,-380.0,17929.0,0.1
1638589527.0558152,-370.003,-370.0,0,z,0,-370.0,17750.0,0.1
1638589527.3590913,-360.003,-360.0,0,z,0,-360.0,17524.0,0.1
1638589527.606961,-350.017,-350.0,0,z,0,-350.0,17221.0,0.1
1638589527.8493423,-340.009,-340.0,0,z,0,-340.0,16934.0,0.1
1638589528.0916038,-330.002,-330.0,0,z,0,-330.0,16570.0,0.1
1638589528.3431954,-320.00100000000003,-320.0,0,z,0,-320.0,16313.0,0.1
1638589528.5897484,-310.004,-310.0,0,z,0,-310.0,15993.0,0.1
1638589528.8943,-300.002,-300.0,0,z,0,-300.0,15743.0,0.1
1638589529.1933734,-290.00600000000003,-290.0,0,z,0,-290.0,15511.0,0.1
1638589529.4983838,-280.005,-280.0,0,z,0,-280.0,15165.0,0.1
1638589529.750818,-270.017,-270.0,0,z,0,-270.0,14749.0,0.1
1638589529.9939146,-260.00600000000003,-260.0,0,z,0,-260.0,14382.0,0.1
1638589530.2450159,-250.016,-250.0,0,z,0,-250.0,14000.0,0.1
1638589530.4864926,-240.01,-240.0,0,z,0,-240.0,13686.0,0.1
1638589530.7316098,-230.00300000000001,-230.0,0,z,0,-230.0,13385.0,0.1
1638589530.975072,-220.00300000000001,-220.0,0,z,0,-220.0,13082.0,0.1
1638589531.2226632,-210.008,-210.0,0,z,0,-210.0,12676.0,0.1
1638589531.463295,-200.002,-200.0,0,z,0,-200.0,12305.0,0.1
1638589531.7059476,-190.007,-190.0,0,z,0,-190.0,11892.0,0.1
1638589531.9452662,-180.00300000000001,-180.0,0,z,0,-180.0,11486.0,0.1
1638589532.196382,-169.994,-170.0,0,z,0,-170.0,11127.0,0.1
1638589532.4441748,-160.008,-160.0,0,z,0,-160.0,10849.0,0.1
1638589532.6916819,-150.013,-150.0,0,z,0,-150.0,10541.0,0.1
1638589532.936384,-140.013,-140.0,0,z,0,-140.0,10195.0,0.1
1638589533.234138,-130.01500000000001,-130.0,0,z,0,-130.0,9822.0,0.1
1638589533.5351632,-120.005,-120.0,0,z,0,-120.0,9441.0,0.1
1638589533.836413,-109.998,-110.0,0,z,0,-110.0,9089.0,0.1
1638589534.1370144,-100.006,-100.0,0,z,0,-100.0,8729.0,0.1
1638589534.4375668,-90.008,-90.0,0,z,0,-90.0,8411.0,0.1
1638589534.7911875,-80.0,-80.0,0,z,0,-80.0,8204.0,0.1
1638589535.0925605,-70.005,-70.0,0,z,0,-70.0,7978.0,0.1
1638589535.3894548,-60.002,-60.0,0,z,0,-60.0,7633.0,0.1
1638589535.6941164,-50.007,-50.0,0,z,0,-50.0,7283.0,0.1
1638589535.994856,-39.997,-40.0,0,z,0,-40.0,6968.0,0.1
1638589536.246888,-30.008,-30.0,0,z,0,-30.0,6666.0,0.1
1638589536.4967268,-20.009,-20.0,0,z,0,-20.0,6480.0,0.1
1638589536.7507634,-10.001,-10.0,0,z,0,-10.0,6304.0,0.1
1638589537.004676,0.002,0.0,0,z,0,0.0,6171.0,0.1
1638589537.255484,10.002,10.0,0,z,0,10.0,5989.0,0.1
1638589537.5004854,19.987000000000002,20.0,0,z,0,20.0,5761.0,0.1
1638589537.7369843,29.987000000000002,30.0,0,z,0,30.0,5513.0,0.1
1638589537.9788828,39.992,40.0,0,z,0,40.0,5324.0,0.1
1638589538.2220883,49.984,50.0,0,z,0,50.0,5167.0,0.1
1638589538.5235457,60.007,60.0,0,z,0,60.0,5072.0,0.1
1638589538.822599,70.003,70.0,0,z,0,70.0,5038.0,0.1
1638589539.1243021,80.004,80.0,0,z,0,80.0,5040.0,0.1
1638589539.424842,89.993,90.0,0,z,0,90.0,4991.0,0.1
1638589539.7310057,100.002,100.0,0,z,0,100.0,4876.0,0.1
1638589540.031759,109.99600000000001,110.0,0,z,0,110.0,4793.0,0.1
1638589540.2789814,119.99000000000001,120.0,0,z,0,120.0,4722.0,0.1
1638589540.5225334,129.989,130.0,0,z,0,130.0,4768.0,0.1
1638589540.7695093,139.986,140.0,0,z,0,140.0,4853.0,0.1
1638589541.012959,150.007,150.0,0,z,0,150.0,4967.0,0.1
1638589541.2556458,160.002,160.0,0,z,0,160.0,5113.0,0.1
1638589541.505319,169.99,170.0,0,z,0,170.0,5241.0,0.1
1638589541.802218,180.001,180.0,0,z,0,180.0,5311.0,0.1
1638589542.1024115,189.993,190.0,0,z,0,190.0,5411.0,0.1
1638589542.4124157,199.993,200.0,0,z,0,200.0,5495.0,0.1
1638589542.7166023,209.997,210.0,0,z,0,210.0,5681.0,0.1
