,1638590214.8163455,1638590238.9332867
kappa_motors_m1,57.04505184,57.04502124
kappa_motors_m1_user_setpoint,57.04499999999996,57.04499999999996
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,85.26580415999996,85.26580415999996
kappa_motors_m2,-6600.041,-6600.067
kappa_motors_m2_user_setpoint,-6600.0,-6600.0
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,-6600.0,-6600.0
mono_energy_setpoint,520.0,520.0
mono_energy,519.9977089,520.0071612
mono_mirror_pitch,3.6361541748046875,3.6362762451171875
mono_mirror_pitch_user_setpoint,3.6362451171875,3.6362451171875
mono_grating_pitch,4.928737768554687,4.928720678710937
mono_grating_pitch_user_setpoint,4.928731665039063,4.928731665039063
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,1
mono_grating_status,1,1
srs_A4,2e-10,2e-10
undulator_energy_setpoint,0.529501,0.529501
undulator_energy_readback,0.49751967191696167,0.49751967191696167
select_detector,d3,d3
kappa_motors_m9,0.0,0.0
kappa_motors_m9_user_setpoint,0.0,0.0
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,24.253,24.253
centroidM3R,111.78970452446907,111.86428263679448
kappa_motors_m7,134.75600000000003,134.75600000000003
kappa_motors_m7_user_setpoint,134.7559273836236,134.7559273836236
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.2059273836236,179.2059273836236
kappa_motors_m4,-1249.942,1249.997
kappa_motors_m4_user_setpoint,-1250.0,1250.0
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,-1250.0,1250.0
kappa_motors_m8,57.045142381790015,57.045142381790015
kappa_motors_m8_user_setpoint,57.045164673286905,57.045164673286905
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,233.64397770850312,233.64397770850312
kappa_motors_m3,0.258,0.28500000000000003
kappa_motors_m3_user_setpoint,0.0,0.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,0.0,0.0
