time,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638564745.426507,17184.0,10.0,29740.0,0.0,20696.0,0.1,58.32214238179,58.32239670795883,0,kth,0,232.3667456738312,2.0,2.0,0,tth,0,-2.0
1638564746.529961,16081.0,10.0,30462.0,0.0,20679.0,0.1,58.37114238179001,58.37239670795881,0,kth,0,232.3167456738312,2.1,2.1,0,tth,0,-2.1
1638564747.5375135,16785.0,10.0,31379.0,0.0,20673.0,0.1,58.42714238179002,58.422396707958825,0,kth,0,232.2667456738312,2.2,2.2,0,tth,0,-2.2
1638564748.5560637,17421.0,9.0,32142.0,0.0,20675.0,0.1,58.47214238179001,58.47239670795881,0,kth,0,232.2167456738312,2.3000000000000003,2.3,0,tth,0,-2.3
1638564749.78601,18154.0,10.0,33085.0,0.0,20673.0,0.1,58.52614238179001,58.52239670795882,0,kth,0,232.1667456738312,2.4,2.4,0,tth,0,-2.4
1638564751.0729597,18748.0,10.0,33552.0,0.0,20681.0,0.1,58.56814238179001,58.57239670795883,0,kth,0,232.1167456738312,2.5,2.5,0,tth,0,-2.5
1638564752.0974088,19613.0,10.0,33935.0,0.0,20660.0,0.1,58.620142381790004,58.62239670795881,0,kth,0,232.0667456738312,2.6,2.6,0,tth,0,-2.6
1638564754.1279645,20176.0,9.0,34217.0,0.0,20684.0,0.1,58.676142381790015,58.672396707958825,0,kth,0,232.0167456738312,2.7,2.7,0,tth,0,-2.7
1638564755.2969108,20948.0,10.0,33994.0,0.0,20672.0,0.1,58.71914238179002,58.72239670795881,0,kth,0,231.9667456738312,2.8000000000000003,2.8,0,tth,0,-2.8
1638564756.8578331,21858.0,9.0,33659.0,0.0,20668.0,0.1,58.777142381790014,58.77239670795882,0,kth,0,231.9167456738312,2.9,2.9,0,tth,0,-2.9
1638564758.192368,22510.0,10.0,33069.0,0.0,20672.0,0.1,58.81814238179001,58.82239670795883,0,kth,0,231.8667456738312,3.0,3.0,0,tth,0,-3.0
1638564760.1086414,23339.0,10.0,32258.0,0.0,20664.0,0.1,58.876142381790004,58.87239670795881,0,kth,0,231.8167456738312,3.1,3.1,0,tth,0,-3.1
1638564761.3441126,24133.0,10.0,31448.0,0.0,20657.0,0.1,58.920142381790015,58.922396707958825,0,kth,0,231.7667456738312,3.2,3.2,0,tth,0,-3.2
1638564762.3360143,25293.0,10.0,30327.0,0.0,20686.0,0.1,58.97614238179003,58.97239670795881,0,kth,0,231.7167456738312,3.3000000000000003,3.3,0,tth,0,-3.3
1638564763.3995905,26191.0,10.0,29092.0,0.0,20668.0,0.1,59.01814238179003,59.02239670795882,0,kth,0,231.6667456738312,3.4,3.4000000000000004,0,tth,0,-3.4000000000000004
1638564764.4570358,27145.0,9.0,27415.0,0.0,20686.0,0.1,59.06814238179001,59.07239670795883,0,kth,0,231.6167456738312,3.5,3.5,0,tth,0,-3.5
1638564765.5092704,28150.0,10.0,25394.0,0.0,20662.0,0.1,59.120142381790004,59.12239670795881,0,kth,0,231.5667456738312,3.6,3.6,0,tth,0,-3.6
1638564766.3699365,28684.0,9.0,22639.0,0.0,20675.0,0.1,59.170142381790015,59.172396707958825,0,kth,0,231.5167456738312,3.701,3.7,0,tth,0,-3.7
1638564767.361915,29189.0,10.0,19476.0,0.0,20665.0,0.1,59.21814238179002,59.22239670795881,0,kth,0,231.4667456738312,3.8000000000000003,3.8,0,tth,0,-3.8
1638564768.3949864,29423.0,10.0,16553.0,0.0,20674.0,0.1,59.26814238179003,59.27239670795882,0,kth,0,231.4167456738312,3.9,3.9000000000000004,0,tth,0,-3.9000000000000004
