time,D4calc,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638731411.8193,0.9911442870472474,82122.0,19.0,58423.0,0.0,58945.0,0.2,16.0,16.0,0,tth,0,-16.0,65.47714238179,65.47709960277629,0,kth,0,225.21204277901373,5802.3640000000005,5800.0,0,x,0,5800.0
1638731413.5318494,0.9726803773841037,81023.0,20.0,57322.0,0.0,58932.0,0.2,16.1,16.1,0,tth,0,-16.1,65.52814238179002,65.52709960277627,0,kth,0,225.16204277901375,5796.189,5794.9875,0,x,0,5794.9875
1638731415.2583272,0.9367311966609545,80506.0,19.0,55210.0,0.0,58939.0,0.2,16.2,16.2,0,tth,0,-16.2,65.57614238179002,65.57709960277629,0,kth,0,225.11204277901373,5791.762,5789.975,0,x,0,5789.975
1638731417.0404356,0.9225652077994807,80008.0,19.0,54364.0,0.0,58927.0,0.2,16.3,16.3,0,tth,0,-16.3,65.62714238179001,65.6270996027763,0,kth,0,225.06204277901372,5787.511,5784.9625,0,x,0,5784.9625
1638731418.705937,0.8981955703286639,79529.0,19.0,52963.0,0.0,58966.0,0.2,16.4,16.4,0,tth,0,-16.4,65.67814238179002,65.67709960277631,0,kth,0,225.0120427790137,5781.384,5779.95,0,x,0,5779.95
1638731421.3396008,0.8741621841752498,79095.0,20.0,51517.0,0.0,58933.0,0.2,16.5,16.5,0,tth,0,-16.5,65.72714238179,65.72709960277629,0,kth,0,224.96204277901373,5777.522,5774.9375,0,x,0,5774.9375
1638731423.0582752,0.8485815121487715,78720.0,20.0,50012.0,0.0,58936.0,0.2,16.6,16.6,0,tth,0,-16.6,65.77614238179001,65.77709960277627,0,kth,0,224.91204277901375,5772.829,5769.925,0,x,0,5769.925
1638731424.7747922,0.8277898452348629,78198.0,19.0,48780.0,0.0,58928.0,0.2,16.7,16.7,0,tth,0,-16.7,65.82814238179,65.82709960277629,0,kth,0,224.86204277901373,5767.559,5764.9125,0,x,0,5764.9125
1638731426.621258,0.8051088947689803,77751.0,20.0,47466.0,0.0,58956.0,0.2,16.8,16.8,0,tth,0,-16.8,65.87614238179,65.8770996027763,0,kth,0,224.81204277901372,5762.74,5759.9,0,x,0,5759.9
1638731428.488732,0.7839131985125567,77316.0,18.0,46167.0,0.0,58893.0,0.2,16.9,16.9,0,tth,0,-16.9,65.92714238179002,65.92709960277631,0,kth,0,224.7620427790137,5757.658,5754.8875,0,x,0,5754.8875
1638731431.1338408,0.761460880195599,76894.0,19.0,44847.0,0.0,58896.0,0.2,17.0,17.0,0,tth,0,-17.0,65.97714238179,65.97709960277629,0,kth,0,224.71204277901373,5752.585,5749.875,0,x,0,5749.875
1638731433.4621515,0.7406050117914524,76293.0,20.0,43652.0,0.0,58941.0,0.2,17.1,17.1,0,tth,0,-17.1,66.02714238179001,66.02709960277627,0,kth,0,224.66204277901375,5747.171,5744.8625,0,x,0,5744.8625
1638731435.2958257,0.7245348363438816,76075.0,19.0,42678.0,0.0,58904.0,0.2,17.2,17.2,0,tth,0,-17.2,66.07714238179003,66.07709960277629,0,kth,0,224.61204277901373,5742.2880000000005,5739.85,0,x,0,5739.85
1638731437.0765724,0.7055796178343949,75414.0,19.0,41541.0,0.0,58875.0,0.2,17.3,17.3,0,tth,0,-17.3,66.12714238179001,66.1270996027763,0,kth,0,224.56204277901372,5736.307,5734.8375,0,x,0,5734.8375
1638731438.8536382,0.6943746178408859,75137.0,19.0,40882.0,0.0,58876.0,0.2,17.400000000000002,17.4,0,tth,0,-17.4,66.17814238179002,66.17709960277631,0,kth,0,224.5120427790137,5732.524,5729.825,0,x,0,5729.825
1638731441.6960943,0.6735672037528044,74675.0,19.0,39630.0,0.0,58836.0,0.2,17.5,17.5,0,tth,0,-17.5,66.22714238179,66.22709960277629,0,kth,0,224.46204277901373,5727.544,5724.8125,0,x,0,5724.8125
1638731443.4568055,0.6608685302319255,74255.0,20.0,38867.0,0.0,58812.0,0.2,17.6,17.6,0,tth,0,-17.6,66.27714238179001,66.27709960277627,0,kth,0,224.41204277901375,5722.16,5719.8,0,x,0,5719.8
1638731445.1245694,0.6489735622230146,73882.0,19.0,38220.0,0.0,58893.0,0.2,17.7,17.7,0,tth,0,-17.7,66.32714238179003,66.32709960277629,0,kth,0,224.36204277901373,5716.31,5714.7875,0,x,0,5714.7875
1638731446.89182,0.6388185080007482,73380.0,18.0,37567.0,0.0,58807.0,0.2,17.8,17.8,0,tth,0,-17.8,66.37714238179001,66.3770996027763,0,kth,0,224.31204277901372,5711.763,5709.775,0,x,0,5709.775
1638731450.0251863,0.6254491220934174,73223.0,19.0,36904.0,0.0,59004.0,0.2,17.900000000000002,17.9,0,tth,0,-17.9,66.42714238179002,66.42709960277631,0,kth,0,224.2620427790137,5707.722,5704.7625,0,x,0,5704.7625
1638731451.7138774,0.6209952052589669,72855.0,20.0,36653.0,0.0,59023.0,0.2,18.0,18.0,0,tth,0,-18.0,66.47914238179001,66.47709960277629,0,kth,0,224.21204277901373,5702.675,5699.75,0,x,0,5699.75
1638731454.8544865,0.6044084707798819,72439.0,19.0,35619.0,0.0,58932.0,0.2,18.1,18.1,0,tth,0,-18.1,66.52714238179001,66.52709960277627,0,kth,0,224.16204277901375,5697.707,5694.7375,0,x,0,5694.7375
1638731456.573695,0.5988172097673394,72124.0,19.0,35338.0,0.0,59013.0,0.2,18.2,18.2,0,tth,0,-18.2,66.57714238179003,66.57709960277629,0,kth,0,224.11204277901373,5691.078,5689.725,0,x,0,5689.725
