,1638670177.6728663,1638670736.066356
undulator_energy_setpoint,0.5434009999999999,0.5434009999999999
undulator_energy_readback,0.5120921730995178,0.5117947459220886
kappa_motors_m8,64.71814238179002,85.71914238179002
kappa_motors_m8_user_setpoint,64.71784939933389,85.71784939933389
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,225.97129298245613,204.97129298245613
select_detector,d4,d4
kappa_motors_m3,0.045,-0.034
kappa_motors_m3_user_setpoint,0.0,0.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,-0.0,-0.0
kappa_motors_m9,14.0,56.0
kappa_motors_m9_user_setpoint,14.0,56.0
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,-14.0,-56.0
mono_energy_setpoint,533.5,533.5
mono_energy,533.5060143,533.5001125
mono_mirror_pitch,3.5897930908203124,3.589779052734375
mono_mirror_pitch_user_setpoint,3.5897882080078127,3.5897882080078127
mono_grating_pitch,4.865870947265625,4.86587216796875
mono_grating_pitch_user_setpoint,4.8658941406250005,4.865854467773437
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,1
mono_grating_status,1,1
kappa_motors_m1,57.044903160000004,57.04492044
kappa_motors_m1_user_setpoint,57.04499999999993,57.04499999999993
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,85.26580415999993,85.26580415999993
centroidM3R,111.74685848502642,111.71561349328898
motors_H1size_setpoint,1.9009999999999998,1.9009999999999998
motors_H1size_readback,1.9009999999999998,1.9009999999999998
motors_V1size_setpoint,1.767,1.767
motors_V1size_readback,1.7669000000000001,1.7669000000000001
motors_H1center_setpoint,0.125,0.125
motors_H1center_readback,0.12499999999999994,0.12499999999999994
motors_V1center_setpoint,0.0,0.0
motors_V1center_readback,5.0000000000105516e-05,5.0000000000105516e-05
motors_H2size_setpoint,2.766,2.766
motors_H2size_readback,2.765,2.765
motors_V2size_setpoint,3.238,3.238
motors_V2size_readback,3.24,3.24
motors_H2center_setpoint,-0.25,-0.25
motors_H2center_readback,-0.25,-0.25
motors_V2center_setpoint,0.0,0.0
motors_V2center_readback,0.0,0.0
motors_V4center_setpoint,0.0,0.0
motors_V4center_readback,0.0,0.0
motors_V4size_setpoint,300.0,300.0
motors_V4size_readback,300.0,300.0
kappa_motors_m2,3794.838,1494.951
kappa_motors_m2_user_setpoint,3795.0,1495.0
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,3795.0,1495.0
kappa_motors_m7,134.75600000000003,134.75600000000003
kappa_motors_m7_user_setpoint,134.7559273836236,134.7559273836236
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.2059273836236,179.2059273836236
kappa_motors_m4,-89.791,-89.773
kappa_motors_m4_user_setpoint,-90.0,-90.0
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,-90.0,-90.0
srs_A4,5e-11,5e-11
