time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638574627.4343028,3.5644229701210706,60.57214238179,60.57239670795883,0,kth,0,230.1167456738312,15741.0,10.0,64181.0,0.0,18006.0,0.1,6.5,6.5,0,tth,0,-6.5
1638574628.0773337,3.582824808609786,60.620142381790004,60.62239670795881,0,kth,0,230.0667456738312,15576.0,10.0,64584.0,0.0,18026.0,0.1,6.6000000000000005,6.6,0,tth,0,-6.6
1638574628.8600688,3.482285650821857,60.67714238179002,60.672396707958825,0,kth,0,230.0167456738312,15519.0,9.0,62709.0,0.0,18008.0,0.1,6.7,6.7,0,tth,0,-6.7
1638574629.4835026,3.5830743618202,60.72414238179002,60.72239670795881,0,kth,0,229.9667456738312,15426.0,10.0,64567.0,0.0,18020.0,0.1,6.8,6.8,0,tth,0,-6.8
1638574630.1256797,3.3687801630887004,60.769142381790004,60.77239670795882,0,kth,0,229.9167456738312,15222.0,9.0,60729.0,0.0,18027.0,0.1,6.9,6.9,0,tth,0,-6.9
1638574630.8705103,2.663426285968226,60.81814238179001,60.82239670795883,0,kth,0,229.8667456738312,14750.0,9.0,47947.0,0.0,18002.0,0.1,7.0,7.0,0,tth,0,-7.0
1638574631.5732129,2.066352288488211,60.86914238179003,60.87239670795881,0,kth,0,229.8167456738312,14298.0,10.0,37246.0,0.0,18025.0,0.1,7.1000000000000005,7.1,0,tth,0,-7.1
1638574632.2155647,1.6276241252915695,60.91914238179001,60.922396707958825,0,kth,0,229.7667456738312,13824.0,11.0,29307.0,0.0,18006.0,0.1,7.2,7.2,0,tth,0,-7.2
1638574632.8742168,1.4123099123099123,60.970142381790026,60.97239670795881,0,kth,0,229.7167456738312,13545.0,10.0,25447.0,0.0,18018.0,0.1,7.3,7.3,0,tth,0,-7.3
1638574633.559343,1.3977026802064259,61.019142381790004,61.02239670795882,0,kth,0,229.6667456738312,13222.0,10.0,25188.0,0.0,18021.0,0.1,7.4,7.4,0,tth,0,-7.4
1638574634.2618551,1.5436424208772903,61.075142381790016,61.07239670795883,0,kth,0,229.6167456738312,13112.0,10.0,27801.0,0.0,18010.0,0.1,7.5,7.5,0,tth,0,-7.5
1638574634.9109786,1.6326598579040852,61.11914238179003,61.12239670795881,0,kth,0,229.5667456738312,13051.0,9.0,29414.0,0.0,18016.0,0.1,7.6000000000000005,7.6,0,tth,0,-7.6
1638574635.8028712,1.7862176108306054,61.176142381790015,61.172396707958825,0,kth,0,229.5167456738312,13022.0,10.0,32193.0,0.0,18023.0,0.1,7.7,7.7,0,tth,0,-7.7
1638574636.5602129,1.683436059747904,61.21814238179002,61.22239670795881,0,kth,0,229.4667456738312,12989.0,9.0,30317.0,0.0,18009.0,0.1,7.8,7.8,0,tth,0,-7.8
1638574637.1975365,1.568724325524592,61.27214238179002,61.27239670795882,0,kth,0,229.4167456738312,12862.0,9.0,28259.0,0.0,18014.0,0.1,7.9,7.9,0,tth,0,-7.9
1638574637.8452697,1.3687277975133214,61.327142381790026,61.32239670795883,0,kth,0,229.3667456738312,12789.0,9.0,24659.0,0.0,18016.0,0.1,8.0,8.0,0,tth,0,-8.0
1638574638.5345547,1.100816530578237,61.37414238179002,61.37239670795881,0,kth,0,229.3167456738312,12534.0,9.0,19818.0,0.0,18003.0,0.1,8.1,8.1,0,tth,0,-8.1
1638574639.1785562,0.8698767077640787,61.426142381790015,61.422396707958825,0,kth,0,229.2667456738312,12156.0,9.0,15663.0,0.0,18006.0,0.1,8.2,8.2,0,tth,0,-8.2
1638574639.8113475,0.7090787865318369,61.470142381790026,61.47239670795881,0,kth,0,229.2167456738312,11884.0,10.0,12762.0,0.0,17998.0,0.1,8.3,8.3,0,tth,0,-8.3
1638574640.4568317,0.6485811073471428,61.521142381790014,61.52239670795882,0,kth,0,229.1667456738312,11714.0,9.0,11679.0,0.0,18007.0,0.1,8.4,8.4,0,tth,0,-8.4
1638574641.4181387,0.6952417966798068,61.571142381790025,61.57239670795883,0,kth,0,229.1167456738312,11555.0,10.0,12522.0,0.0,18011.0,0.1,8.5,8.5,0,tth,0,-8.5
1638574642.4659543,0.8315175097276265,61.62714238179001,61.62239670795881,0,kth,0,229.0667456738312,11376.0,9.0,14959.0,0.0,17990.0,0.1,8.6,8.6,0,tth,0,-8.6
1638574643.6526203,0.9683298144238248,61.670142381790015,61.672396707958825,0,kth,0,229.0167456738312,11343.0,10.0,17428.0,0.0,17998.0,0.1,8.700000000000001,8.7,0,tth,0,-8.7
1638574644.7264812,1.184934170323871,61.72714238179,61.72239670795881,0,kth,0,228.9667456738312,11262.0,9.0,21330.0,0.0,18001.0,0.1,8.8,8.8,0,tth,0,-8.8
1638574645.369463,1.3200066725978647,61.769142381790004,61.77239670795882,0,kth,0,228.9167456738312,11169.0,10.0,23739.0,0.0,17984.0,0.1,8.9,8.9,0,tth,0,-8.9
1638574646.039082,1.4652986319652985,61.82014238179002,61.82239670795883,0,kth,0,228.8667456738312,11294.0,10.0,26349.0,0.0,17982.0,0.1,9.0,9.0,0,tth,0,-9.0
1638574646.7471848,1.5040555555555555,61.86914238179003,61.87239670795881,0,kth,0,228.8167456738312,11356.0,9.0,27073.0,0.0,18000.0,0.1,9.1,9.1,0,tth,0,-9.1
1638574647.5063214,1.5022244466688912,61.918142381790005,61.922396707958825,0,kth,0,228.7667456738312,11267.0,10.0,27013.0,0.0,17982.0,0.1,9.200000000000001,9.2,0,tth,0,-9.2
1638574648.5686147,1.4192025766326077,61.96914238179002,61.97239670795881,0,kth,0,228.7167456738312,11238.0,9.0,25557.0,0.0,18008.0,0.1,9.3,9.3,0,tth,0,-9.3
1638574649.3373268,1.3319068526649251,62.019142381790004,62.02239670795882,0,kth,0,228.6667456738312,11081.0,10.0,23965.0,0.0,17993.0,0.1,9.4,9.4,0,tth,0,-9.4
1638574650.0310419,1.1776937618147447,62.069142381790016,62.07239670795883,0,kth,0,228.6167456738312,10981.0,10.0,21182.0,0.0,17986.0,0.1,9.5,9.5,0,tth,0,-9.5
1638574650.7159944,1.0159056782158946,62.12414238179002,62.12239670795881,0,kth,0,228.5667456738312,10994.0,10.0,18267.0,0.0,17981.0,0.1,9.6,9.6,0,tth,0,-9.6
1638574651.442209,0.852982046578845,62.176142381790015,62.172396707958825,0,kth,0,228.5167456738312,10737.0,9.0,15346.0,0.0,17991.0,0.1,9.700000000000001,9.7,0,tth,0,-9.7
1638574652.1262703,0.69197843126355,62.220142381790026,62.22239670795881,0,kth,0,228.4667456738312,10715.0,8.0,12448.0,0.0,17989.0,0.1,9.8,9.8,0,tth,0,-9.8
