time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638577082.1967297,1.4353802313236856,67.32214238179,67.32239670795883,0,kth,0,223.3667456738312,5540.0,10.0,25689.0,0.0,17897.0,0.1,20.0,20.0,0,tth,0,-20.0
1638577083.170576,1.4243861607142858,67.37514238179003,67.37239670795881,0,kth,0,223.3167456738312,5520.0,9.0,25525.0,0.0,17920.0,0.1,20.1,20.1,0,tth,0,-20.1
1638577083.8398864,1.4329591779750936,67.41914238179001,67.4223967079588,0,kth,0,223.26674567383122,5328.0,10.0,25660.0,0.0,17907.0,0.1,20.2,20.2,0,tth,0,-20.2
1638577084.4868145,1.4174735419950462,67.47414238179002,67.47239670795881,0,kth,0,223.2167456738312,5393.0,10.0,25180.0,0.0,17764.0,0.1,20.3,20.3,0,tth,0,-20.3
1638577085.1296046,1.398520496134379,67.52714238179001,67.52239670795882,0,kth,0,223.1667456738312,5436.0,9.0,25144.0,0.0,17979.0,0.1,20.400000000000002,20.4,0,tth,0,-20.4
1638577085.7959738,1.3791144527986634,67.57414238179001,67.57239670795883,0,kth,0,223.1167456738312,5334.0,10.0,24762.0,0.0,17955.0,0.1,20.5,20.5,0,tth,0,-20.5
1638577086.4406953,1.3563243964845924,67.62614238179,67.62239670795881,0,kth,0,223.0667456738312,5270.0,10.0,24384.0,0.0,17978.0,0.1,20.6,20.6,0,tth,0,-20.6
1638577087.2002583,1.3406256958361167,67.67714238179002,67.6723967079588,0,kth,0,223.01674567383122,5337.0,10.0,24083.0,0.0,17964.0,0.1,20.7,20.7,0,tth,0,-20.7
1638577087.9231744,1.31751418715923,67.72714238179,67.72239670795881,0,kth,0,222.9667456738312,5252.0,10.0,23681.0,0.0,17974.0,0.1,20.8,20.8,0,tth,0,-20.8
1638577088.5599213,1.2442242387129099,67.77214238179002,67.77239670795882,0,kth,0,222.9167456738312,5349.0,9.0,22350.0,0.0,17963.0,0.1,20.900000000000002,20.9,0,tth,0,-20.9
1638577089.2374516,1.312990264255911,67.82714238179003,67.82239670795883,0,kth,0,222.8667456738312,5115.0,9.0,23601.0,0.0,17975.0,0.1,21.0,21.0,0,tth,0,-21.0
1638577090.2295065,1.2508208581445823,67.87614238179,67.87239670795881,0,kth,0,222.8167456738312,5255.0,10.0,22476.0,0.0,17969.0,0.1,21.1,21.1,0,tth,0,-21.1
1638577090.869335,1.1821974965229485,67.91914238179001,67.9223967079588,0,kth,0,222.76674567383122,5279.0,10.0,21250.0,0.0,17975.0,0.1,21.2,21.2,0,tth,0,-21.2
1638577091.5143259,1.1922177688710756,67.96814238179002,67.97239670795881,0,kth,0,222.7167456738312,5146.0,10.0,21417.0,0.0,17964.0,0.1,21.3,21.3,0,tth,0,-21.3
1638577092.4739106,1.1902455319859695,68.01814238179003,68.02239670795882,0,kth,0,222.6667456738312,5121.0,9.0,21378.0,0.0,17961.0,0.1,21.400000000000002,21.4,0,tth,0,-21.4
1638577093.6857607,1.1938428992929913,68.06814238179001,68.07239670795883,0,kth,0,222.6167456738312,5135.0,10.0,21445.0,0.0,17963.0,0.1,21.5,21.5,0,tth,0,-21.5
1638577094.3643649,1.238058122703485,68.12614238179,68.12239670795881,0,kth,0,222.5667456738312,4920.0,10.0,22238.0,0.0,17962.0,0.1,21.6,21.6,0,tth,0,-21.6
1638577095.5487823,1.223094482489839,68.17714238179002,68.1723967079588,0,kth,0,222.51674567383122,5080.0,10.0,21968.0,0.0,17961.0,0.1,21.7,21.7,0,tth,0,-21.7
1638577096.9187698,1.1886624345695511,68.21814238179002,68.22239670795881,0,kth,0,222.4667456738312,5054.0,10.0,21346.0,0.0,17958.0,0.1,21.8,21.8,0,tth,0,-21.8
1638577097.5647151,1.2001559367342391,68.27714238179001,68.27239670795882,0,kth,0,222.4167456738312,5062.0,10.0,21550.0,0.0,17956.0,0.1,21.900000000000002,21.9,0,tth,0,-21.9
1638577098.8530176,1.1804766677803764,68.32714238179003,68.32239670795883,0,kth,0,222.3667456738312,4997.0,10.0,21199.0,0.0,17958.0,0.1,22.0,22.0,0,tth,0,-22.0
