time,TEYcalc,TEY,mesh,scaler_time,mono_energy_setpoint,mono_energy
1638544321.4131002,1.8324068354951617,89000.0,48570.0,1.0,665.0,664.9918797
1638544325.2660618,1.7699622349181756,91392.0,51635.0,1.0,666.0,665.9838606
1638544329.2699506,1.7468126538560458,95086.0,54434.0,1.0,667.0,667.0133199
1638544333.267474,1.731942438532078,99533.0,57469.0,1.0,668.0,667.9812313
1638544337.2698514,1.723240511314222,105016.0,60941.0,1.0,669.0,668.9856855
1638544341.2733905,1.7161896131491783,109843.0,64004.0,1.0,670.0,670.0493067
1638544345.2751057,1.7117047743158393,115588.0,67528.0,1.0,671.0,670.9892223
1638544349.279169,1.707684327113155,121804.0,71327.0,1.0,672.0,671.9953564
1638544353.4814515,1.7043616580449399,127505.0,74811.0,1.0,673.0,673.0136206
1638544357.4810572,1.7050103802724188,134689.0,78996.0,1.0,674.0,673.9883295
1638544361.4827826,1.6995189135364055,141660.0,83353.0,1.0,675.0,674.9968982
1638544365.4851706,1.6990981517253991,148649.0,87487.0,1.0,676.0,676.0075959
1638544369.4872148,1.694381345075199,157386.0,92887.0,1.0,677.0,676.9710374
1638544373.4906533,1.6908083938824248,166384.0,98405.0,1.0,678.0,677.9989989
1638544377.4930494,1.6859481871266269,175256.0,103951.0,1.0,679.0,679.019778
1638544381.4937222,1.683053226328859,187068.0,111148.0,1.0,680.0,679.9891986
1638544385.4956787,1.6748086589709263,198912.0,118767.0,1.0,681.0,681.0065306
1638544389.4975739,1.6681410347383194,211577.0,126834.0,1.0,682.0,682.0154918
1638544393.5000587,1.6628468388901156,225931.0,135870.0,1.0,683.0,682.9813369
1638544397.5029483,1.656515712601113,240213.0,145011.0,1.0,684.0,684.0288638
1638544401.507923,1.653102760226139,248544.0,150350.0,1.0,684.5,684.4892821
1638544405.5087662,1.649813384813385,256381.0,155400.0,1.0,685.0,685.0107317
1638544409.7099392,1.6471448846762244,263446.0,159941.0,1.0,685.5,685.5167511
1638544413.7103972,1.6436629144383414,272613.0,165857.0,1.0,686.0,685.9736615
1638544417.71336,1.6415421900123506,281774.0,171652.0,1.0,686.5,686.4968137
1638544421.7168887,1.6399734033484503,288573.0,175962.0,1.0,687.0,687.0073493
1638544425.719667,1.6382145121840745,289348.0,176624.0,1.0,687.1,687.0949411
1638544429.7183857,1.6371186927089487,290934.0,177711.0,1.0,687.2,687.2022037
1638544433.7196908,1.6364743475151948,292942.0,179008.0,1.0,687.3000000000001,687.282444
1638544437.7213523,1.6347754205317118,294665.0,180248.0,1.0,687.4000000000001,687.3916414
1638544441.7328293,1.633353341887449,296599.0,181589.0,1.0,687.5000000000001,687.4845827
1638544445.7265713,1.6329653692620205,299850.0,183623.0,1.0,687.6000000000001,687.6018167
1638544449.7274702,1.6307105981566072,301657.0,184985.0,1.0,687.7000000000002,687.7013277
1638544453.729256,1.6296630226529922,303660.0,186333.0,1.0,687.8000000000002,687.7917061
1638544457.734637,1.631249966638376,305600.0,187341.0,1.0,687.9000000000002,687.9216159
1638544461.734112,1.6292954277646259,306956.0,188398.0,1.0,688.0000000000002,687.9949872
1638544465.9356894,1.6310261343933692,308551.0,189176.0,1.0,688.1000000000003,688.1074585
1638544469.9385011,1.6279362041131835,309583.0,190169.0,1.0,688.2000000000003,688.2196793
1638544473.9397926,1.6276262922194784,311111.0,191144.0,1.0,688.3000000000003,688.3211579
1638544477.947829,1.6279297638468313,312346.0,191867.0,1.0,688.4000000000003,688.4177531
1638544481.947391,1.6295373628540881,313976.0,192678.0,1.0,688.5000000000003,688.5004287
1638544485.9496505,1.631591741316176,315465.0,193348.0,1.0,688.6000000000004,688.6092808
1638544489.9494805,1.6342433295559906,317272.0,194140.0,1.0,688.7000000000004,688.6994992
1638544493.9527771,1.6381353889393218,319402.0,194979.0,1.0,688.8000000000004,688.7915508
1638544497.9526591,1.6402480345251016,321920.0,196263.0,1.0,688.9000000000004,688.8913879
1638544501.9556181,1.6468528283554142,325428.0,197606.0,1.0,689.0000000000005,688.9909568
1638544505.956779,1.654989171412529,330124.0,199472.0,1.0,689.1000000000005,689.1020449
1638544509.9600303,1.6673415146181043,334367.0,200539.0,1.0,689.2000000000005,689.2181028
1638544513.961242,1.6782197072746068,339284.0,202169.0,1.0,689.3000000000005,689.2903754
1638544517.9678857,1.6973064171806904,345059.0,203298.0,1.0,689.4000000000005,689.408756
1638544522.1716132,1.7143717205732634,350253.0,204304.0,1.0,689.5000000000006,689.50083
1638544526.167772,1.7355050952376319,356622.0,205486.0,1.0,689.6000000000006,689.5893286
1638544530.170624,1.7587716749007072,363116.0,206460.0,1.0,689.7000000000006,689.6947754
1638544534.171541,1.7825598387260126,369612.0,207349.0,1.0,689.8000000000006,689.7995191
1638544538.1746547,1.8103639479786269,377097.0,208299.0,1.0,689.9000000000007,689.9304213
1638544542.1789536,1.8358679631720995,383645.0,208972.0,1.0,690.0000000000007,690.005507
1638544546.179493,1.8654002002192878,391305.0,209770.0,1.0,690.1000000000007,690.1043921
1638544550.1835713,1.8987377225837998,399971.0,210651.0,1.0,690.2000000000007,690.1994569
1638544554.1833968,1.939015054860934,410346.0,211626.0,1.0,690.3000000000008,690.3095088
1638544558.1871102,1.9844892271916321,421571.0,212433.0,1.0,690.4000000000008,690.4069053
1638544562.1882796,2.037974446313363,434971.0,213433.0,1.0,690.5000000000008,690.4953662
1638544566.187637,2.097234367151017,450897.0,214996.0,1.0,690.6000000000008,690.5940746
1638544570.1950886,2.1588431281813976,466526.0,216100.0,1.0,690.7000000000008,690.6978411
1638544574.3931127,2.223419447566751,482651.0,217076.0,1.0,690.8000000000009,690.8077253
1638544578.3968887,2.2881672128893267,499198.0,218165.0,1.0,690.9000000000009,690.8939173
1638544582.3986082,2.3481585639218228,514343.0,219041.0,1.0,691.0000000000009,690.9936176
1638544586.4001539,2.397862227377135,527182.0,219855.0,1.0,691.1000000000009,691.1123878
1638544590.4001656,2.4497386400213985,540356.0,220577.0,1.0,691.200000000001,691.2074409
1638544594.4046035,2.493125788352947,551452.0,221189.0,1.0,691.300000000001,691.3306226
1638544598.406119,2.5271322720799003,560710.0,221876.0,1.0,691.400000000001,691.4064903
1638544602.410642,2.560501420812201,569476.0,222408.0,1.0,691.500000000001,691.5105105
1638544606.4082186,2.602174214655585,581422.0,223437.0,1.0,691.600000000001,691.6221224
1638544610.4124362,2.6316101933231857,589557.0,224029.0,1.0,691.7000000000011,691.7038194
1638544614.4132032,2.6641340702506024,598202.0,224539.0,1.0,691.8000000000011,691.8088653
1638544618.4150004,2.6963866209232026,608321.0,225606.0,1.0,691.9000000000011,691.8931816
1638544622.417057,2.732683767481938,618420.0,226305.0,1.0,692.0000000000011,692.0071372
1638544626.4197793,2.7633150635638777,629707.0,227881.0,1.0,692.1000000000012,692.1138214
1638544630.4291072,2.7990769499978128,639841.0,228590.0,1.0,692.2000000000012,692.1939287
1638544634.6226387,2.8601465032268187,656355.0,229483.0,1.0,692.3000000000012,692.2995455
1638544638.624411,2.9139112212180507,671607.0,230483.0,1.0,692.4000000000012,692.3951879
1638544642.6276312,2.952566076247146,682775.0,231248.0,1.0,692.5000000000013,692.5077424
1638544646.6281023,2.9902368764904503,693415.0,231893.0,1.0,692.6000000000013,692.6004959
1638544650.6318874,2.969642049979552,689833.0,232295.0,1.0,692.7000000000013,692.6925423
1638544654.6352432,3.0337010119753276,706282.0,232812.0,1.0,692.8000000000013,692.7936543
1638544658.6342187,3.019175944542808,704256.0,233261.0,1.0,692.9000000000013,692.9148475
1638544662.6384096,3.0468120625815978,711781.0,233615.0,1.0,693.0000000000014,692.9910163
1638544666.6444952,3.0127414942725252,704861.0,233960.0,1.0,693.1000000000014,693.1071663
1638544670.6490095,3.027043289747704,709321.0,234328.0,1.0,693.2000000000014,693.2091139
1638544674.6485167,3.0330101058300243,711896.0,234716.0,1.0,693.3000000000014,693.317382
1638544678.6513498,3.027838033261027,711875.0,235110.0,1.0,693.4000000000015,693.3936676
1638544682.6485837,3.0212672873696014,711303.0,235432.0,1.0,693.5000000000015,693.5097551
1638544686.8523602,3.015406726558161,711247.0,235871.0,1.0,693.6000000000015,693.6068616
1638544690.8540752,3.014778012147704,711771.0,236094.0,1.0,693.7000000000015,693.7016325
1638544694.8604033,2.999086978024068,709515.0,236577.0,1.0,693.8000000000015,693.7936139
1638544698.8584185,2.9758773409819472,705521.0,237080.0,1.0,693.9000000000016,693.8931452
