time,D3,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638552628.3900821,9.0,0.1,1.870000000000001,1.870000000000001,0,tth,0,27.253
1638552629.0348241,10.0,0.1,1.9699999999999989,1.9700000000000024,0,tth,0,27.153
1638552629.6910393,11.0,0.1,2.0700000000000003,2.0700000000000003,0,tth,0,27.053
1638552630.3226743,9.0,0.1,2.1700000000000017,2.1700000000000017,0,tth,0,26.953
1638552630.9741201,9.0,0.1,2.2699999999999996,2.2699999999999996,0,tth,0,26.853
1638552631.6269789,11.0,0.1,2.370000000000001,2.370000000000001,0,tth,0,26.753
1638552632.2654085,10.0,0.1,2.469999999999999,2.4700000000000024,0,tth,0,26.653
1638552632.903584,10.0,0.1,2.5700000000000003,2.5700000000000003,0,tth,0,26.553
1638552633.5504081,10.0,0.1,2.6700000000000017,2.6700000000000017,0,tth,0,26.453
1638552634.193179,10.0,0.1,2.7699999999999996,2.7699999999999996,0,tth,0,26.353
1638552634.8705392,10.0,0.1,2.870000000000001,2.870000000000001,0,tth,0,26.253
1638552635.5349655,11.0,0.1,2.969999999999999,2.9700000000000024,0,tth,0,26.153
1638552636.224684,10.0,0.1,3.0700000000000003,3.0700000000000003,0,tth,0,26.053
1638552636.883292,10.0,0.1,3.1700000000000017,3.1700000000000017,0,tth,0,25.953
1638552637.52036,24.0,0.1,3.2699999999999996,3.2699999999999996,0,tth,0,25.853
1638552638.1986737,743.0,0.1,3.370000000000001,3.370000000000001,0,tth,0,25.753
1638552638.8754475,11206.0,0.1,3.469999999999999,3.4700000000000024,0,tth,0,25.653
1638552639.528107,28328.0,0.1,3.5700000000000003,3.5700000000000003,0,tth,0,25.553
1638552640.2253203,31370.0,0.1,3.6700000000000017,3.6700000000000017,0,tth,0,25.453
1638552640.8831408,31532.0,0.1,3.7699999999999996,3.7699999999999996,0,tth,0,25.353
1638552641.535958,31650.0,0.1,3.870000000000001,3.870000000000001,0,tth,0,25.253
1638552642.190051,31682.0,0.1,3.969999999999999,3.9700000000000024,0,tth,0,25.153
1638552642.874429,31739.0,0.1,4.07,4.07,0,tth,0,25.053
1638552643.5108593,31745.0,0.1,4.170000000000002,4.170000000000002,0,tth,0,24.953
1638552644.1804113,31788.0,0.1,4.27,4.27,0,tth,0,24.853
1638552644.8413842,31755.0,0.1,4.370000000000001,4.370000000000001,0,tth,0,24.753
1638552645.4899845,31649.0,0.1,4.469999999999999,4.470000000000002,0,tth,0,24.653
1638552646.1828933,31666.0,0.1,4.57,4.57,0,tth,0,24.553
1638552646.8525264,31572.0,0.1,4.670000000000002,4.670000000000002,0,tth,0,24.453
1638552647.4815254,31219.0,0.1,4.77,4.77,0,tth,0,24.353
1638552648.1717489,31107.0,0.1,4.870000000000001,4.870000000000001,0,tth,0,24.253
1638552648.8482754,31392.0,0.1,4.969999999999999,4.970000000000002,0,tth,0,24.153
1638552649.4985833,31635.0,0.1,5.07,5.07,0,tth,0,24.053
1638552650.190819,31725.0,0.1,5.170000000000002,5.170000000000002,0,tth,0,23.953
1638552650.864463,31770.0,0.1,5.27,5.27,0,tth,0,23.853
1638552651.52123,31810.0,0.1,5.370000000000001,5.370000000000001,0,tth,0,23.753
1638552652.1611564,31819.0,0.1,5.469999999999999,5.470000000000002,0,tth,0,23.653
1638552652.8544617,31812.0,0.1,5.57,5.57,0,tth,0,23.553
1638552653.529301,31790.0,0.1,5.670000000000002,5.670000000000002,0,tth,0,23.453
1638552654.1730757,31757.0,0.1,5.77,5.77,0,tth,0,23.353
1638552654.8509052,31829.0,0.1,5.870000000000001,5.870000000000001,0,tth,0,23.253
1638552655.496981,31826.0,0.1,5.969999999999999,5.970000000000002,0,tth,0,23.153
1638552656.145407,31230.0,0.1,6.07,6.07,0,tth,0,23.053
1638552656.801847,21825.0,0.1,6.170000000000002,6.170000000000002,0,tth,0,22.953
1638552657.441767,3999.0,0.1,6.27,6.27,0,tth,0,22.853
1638552658.1337495,522.0,0.1,6.370000000000001,6.370000000000001,0,tth,0,22.753
1638552658.7836938,351.0,0.1,6.469999999999999,6.470000000000002,0,tth,0,22.653
1638552659.4352407,268.0,0.1,6.57,6.57,0,tth,0,22.553
1638552660.088821,208.0,0.1,6.670000000000002,6.670000000000002,0,tth,0,22.453
1638552660.7439392,161.0,0.1,6.77,6.77,0,tth,0,22.353
1638552661.4155076,125.0,0.1,6.870000000000001,6.870000000000001,0,tth,0,22.253
1638552662.067234,93.0,0.1,6.970000000000002,6.970000000000002,0,tth,0,22.153
1638552662.6901302,66.0,0.1,7.07,7.07,0,tth,0,22.053
1638552663.3547866,41.0,0.1,7.170000000000002,7.170000000000002,0,tth,0,21.953
1638552664.0002494,31.0,0.1,7.27,7.27,0,tth,0,21.853
1638552664.633487,29.0,0.1,7.370000000000001,7.370000000000001,0,tth,0,21.753
1638552665.3044,28.0,0.1,7.470000000000002,7.470000000000002,0,tth,0,21.653
1638552665.9557498,27.0,0.1,7.57,7.57,0,tth,0,21.553
1638552666.6549418,25.0,0.1,7.670000000000002,7.670000000000002,0,tth,0,21.453
1638552667.2964346,24.0,0.1,7.77,7.77,0,tth,0,21.353
1638552667.9659328,24.0,0.1,7.870000000000001,7.870000000000001,0,tth,0,21.253
