,1638753148.0741165,1638753190.8215578
kappa_motors_m7,134.76,134.76
kappa_motors_m7_user_setpoint,134.76,134.76
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.20999999999998,179.20999999999998
kappa_motors_m8,72.28314238179001,72.53314238179001
kappa_motors_m8_user_setpoint,72.28300000000002,72.53314238179001
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,218.40614238179,218.156
undulator_energy_setpoint,0.5295,0.5295
undulator_energy_readback,0.49453452229499817,0.49453452229499817
mono_energy_setpoint,520.0,520.0
mono_energy,520.0073939,520.0025223
mono_mirror_pitch,3.6362121582031253,3.636188354492188
mono_mirror_pitch_user_setpoint,3.6362622070312502,3.6362622070312502
mono_grating_pitch,4.9287408203125,4.928732885742187
mono_grating_pitch_user_setpoint,4.928732885742187,4.928732885742187
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,1
mono_grating_status,1,1
kappa_motors_m1,57.045034560000005,57.04503491999999
kappa_motors_m1_user_setpoint,57.044999999999945,57.044999999999945
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,85.26580415999994,85.26580415999994
kappa_motors_m4,-20.147000000000002,-20.154
kappa_motors_m4_user_setpoint,-20.0,-20.0
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,-20.0,-20.0
select_detector,d4,d4
kappa_motors_m3,-0.002,-0.003
kappa_motors_m3_user_setpoint,0.0,0.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,-0.0,-0.0
kappa_motors_m2,2255.085,2255.087
kappa_motors_m2_user_setpoint,2255.0,2255.0
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,2255.0,2255.0
kappa_motors_m9,30.0,30.0
kappa_motors_m9_user_setpoint,30.0,30.0
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,-30.0,-30.0
motors_H1size_setpoint,1.911,1.911
motors_H1size_readback,1.911,1.911
motors_V1size_setpoint,1.781,1.781
motors_V1size_readback,1.7810000000000001,1.7810000000000001
motors_H1center_setpoint,0.125,0.125
motors_H1center_readback,0.12499999999999994,0.12499999999999994
motors_V1center_setpoint,0.0,0.0
motors_V1center_readback,-9.999999999993348e-05,-9.999999999993348e-05
motors_H2size_setpoint,1.3915,1.3915
motors_H2size_readback,1.3900000000000001,1.3900000000000001
motors_V2size_setpoint,1.632,1.632
motors_V2size_readback,1.6300000000000001,1.6300000000000001
motors_H2center_setpoint,-0.25,-0.25
motors_H2center_readback,-0.25,-0.25
motors_V2center_setpoint,0.0,0.0
motors_V2center_readback,0.0,0.0
motors_V4center_setpoint,0.0,0.0
motors_V4center_readback,0.0,0.0
motors_V4size_setpoint,300.0,300.0
motors_V4size_readback,300.0,300.0
srs_A4,1e-10,1e-10
centroidM3R,111.08528774379967,111.1383620481637
