time,D4,scaler_time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval
1638551485.5326173,25.0,0.1,67.04714238179207,67.05014238179206,0,kth,0,223.639
1638551486.1004267,25.0,0.1,67.05514238179205,67.06014238179205,0,kth,0,223.62900000000002
1638551486.5459943,25.0,0.1,67.06714238179205,67.07014238179204,0,kth,0,223.61900000000003
1638551486.9503453,26.0,0.1,67.07614238179207,67.08014238179206,0,kth,0,223.609
1638551487.338232,25.0,0.1,67.08714238179206,67.09014238179208,0,kth,0,223.599
1638551487.74155,34.0,0.1,67.09914238179206,67.10014238179207,0,kth,0,223.589
1638551488.1852071,35.0,0.1,67.10814238179205,67.11014238179206,0,kth,0,223.579
1638551488.5945325,37.0,0.1,67.11914238179207,67.12014238179205,0,kth,0,223.56900000000002
1638551489.0053535,47.0,0.1,67.12914238179206,67.13014238179204,0,kth,0,223.55900000000003
1638551489.432156,52.0,0.1,67.13814238179205,67.14014238179206,0,kth,0,223.549
1638551489.8664865,62.0,0.1,67.14914238179207,67.15014238179205,0,kth,0,223.53900000000002
1638551490.285602,80.0,0.1,67.16014238179207,67.16014238179207,0,kth,0,223.529
1638551490.7066627,110.0,0.1,67.17314238179208,67.17014238179206,0,kth,0,223.519
1638551491.0988407,141.0,0.1,67.18114238179206,67.18014238179205,0,kth,0,223.50900000000001
1638551491.4965734,228.0,0.1,67.19414238179206,67.19014238179204,0,kth,0,223.49900000000002
1638551491.913102,384.0,0.1,67.20314238179205,67.20014238179206,0,kth,0,223.489
1638551492.3075783,467.0,0.1,67.20714238179207,67.21014238179205,0,kth,0,223.479
1638551493.0975885,806.0,0.1,67.21714238179206,67.22014238179207,0,kth,0,223.469
1638551493.4906144,1714.0,0.1,67.23214238179207,67.23014238179206,0,kth,0,223.459
1638551493.8879118,2461.0,0.1,67.24114238179206,67.24014238179205,0,kth,0,223.449
1638551494.292561,3181.0,0.1,67.25014238179207,67.25014238179205,0,kth,0,223.43900000000002
1638551494.7374475,3605.0,0.1,67.25914238179206,67.26014238179204,0,kth,0,223.42900000000003
1638551495.135677,3971.0,0.1,67.27314238179207,67.27014238179206,0,kth,0,223.419
1638551495.5376692,4146.0,0.1,67.27914238179207,67.28014238179207,0,kth,0,223.409
1638551495.9210653,4263.0,0.1,67.29114238179207,67.29014238179207,0,kth,0,223.399
1638551496.31621,4260.0,0.1,67.29814238179208,67.30014238179206,0,kth,0,223.389
1638551496.7850616,3922.0,0.1,67.31114238179205,67.31014238179205,0,kth,0,223.37900000000002
1638551497.2427814,3319.0,0.1,67.32014238179207,67.32014238179204,0,kth,0,223.36900000000003
1638551497.6828828,2475.0,0.1,67.33214238179207,67.33014238179206,0,kth,0,223.359
1638551498.108974,1798.0,0.1,67.33814238179207,67.34014238179208,0,kth,0,223.349
1638551498.5645971,1211.0,0.1,67.34914238179206,67.35014238179207,0,kth,0,223.339
1638551498.9877446,1010.0,0.1,67.35814238179205,67.36014238179206,0,kth,0,223.329
1638551499.4204135,712.0,0.1,67.36914238179207,67.37014238179205,0,kth,0,223.31900000000002
1638551499.8868048,450.0,0.1,67.37814238179206,67.38014238179204,0,kth,0,223.30900000000003
1638551500.3359494,267.0,0.1,67.38814238179205,67.39014238179206,0,kth,0,223.299
1638551500.7363088,189.0,0.1,67.39814238179207,67.40014238179205,0,kth,0,223.28900000000002
1638551501.1284938,148.0,0.1,67.40714238179206,67.41014238179207,0,kth,0,223.279
1638551501.570271,115.0,0.1,67.41814238179205,67.42014238179206,0,kth,0,223.269
1638551501.9479256,95.0,0.1,67.42814238179207,67.43014238179205,0,kth,0,223.25900000000001
1638551502.4392345,82.0,0.1,67.43914238179207,67.44014238179204,0,kth,0,223.24900000000002
1638551502.8257637,69.0,0.1,67.44914238179206,67.45014238179206,0,kth,0,223.239
1638551503.2831984,58.0,0.1,67.45914238179205,67.46014238179205,0,kth,0,223.229
1638551503.6579711,52.0,0.1,67.46914238179207,67.47014238179207,0,kth,0,223.219
1638551504.0524755,46.0,0.1,67.47714238179205,67.48014238179206,0,kth,0,223.209
1638551504.4813657,40.0,0.1,67.48914238179205,67.49014238179205,0,kth,0,223.199
1638551504.897714,35.0,0.1,67.50114238179205,67.50014238179205,0,kth,0,223.18900000000002
1638551505.3428237,32.0,0.1,67.50914238179206,67.51014238179204,0,kth,0,223.17900000000003
1638551505.783138,29.0,0.1,67.51914238179205,67.52014238179206,0,kth,0,223.169
1638551506.1729238,27.0,0.1,67.53014238179207,67.53014238179207,0,kth,0,223.159
1638551506.5829232,26.0,0.1,67.54114238179207,67.54014238179207,0,kth,0,223.149
1638551507.004103,26.0,0.1,67.54914238179205,67.55014238179206,0,kth,0,223.139
