time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638729990.299917,-0.25,-0.25,0,tth,0,0.25,143.0,19.0,408.0,0.0,16473.0,0.2
1638729991.1393983,-0.24,-0.24,0,tth,0,0.24,176.0,18.0,532.0,0.0,16441.0,0.2
1638729992.143265,-0.23,-0.23,0,tth,0,0.23,117.0,18.0,712.0,0.0,16462.0,0.2
1638729992.9991713,-0.22,-0.22,0,tth,0,0.22,127.0,18.0,949.0,0.0,16446.0,0.2
1638729993.8691502,-0.21,-0.21,0,tth,0,0.21,98.0,17.0,1329.0,0.0,16456.0,0.2
1638729994.7655346,-0.2,-0.2,0,tth,0,0.2,131.0,18.0,1755.0,0.0,16445.0,0.2
1638729995.592086,-0.19,-0.19,0,tth,0,0.19,87.0,19.0,2552.0,0.0,16463.0,0.2
1638729996.4863799,-0.18,-0.18,0,tth,0,0.18,135.0,19.0,3434.0,0.0,16470.0,0.2
1638729997.387317,-0.17,-0.16999999999999998,0,tth,0,0.16999999999999998,70.0,19.0,4791.0,0.0,16463.0,0.2
1638729998.221629,-0.16,-0.16,0,tth,0,0.16,121.0,18.0,6208.0,0.0,16455.0,0.2
1638729999.0531702,-0.15,-0.15,0,tth,0,0.15,59.0,18.0,8265.0,0.0,16447.0,0.2
1638730000.0263767,-0.14,-0.14,0,tth,0,0.14,157.0,19.0,10448.0,0.0,16456.0,0.2
1638730000.9317956,-0.13,-0.13,0,tth,0,0.13,156.0,18.0,13309.0,0.0,16450.0,0.2
1638730001.8646667,-0.12,-0.12,0,tth,0,0.12,137.0,19.0,16018.0,0.0,16457.0,0.2
1638730002.7313495,-0.11,-0.10999999999999999,0,tth,0,0.10999999999999999,124.0,18.0,19246.0,0.0,16441.0,0.2
1638730003.6216702,-0.1,-0.1,0,tth,0,0.1,162.0,19.0,22332.0,0.0,16444.0,0.2
1638730004.5148072,-0.09,-0.09,0,tth,0,0.09,109.0,18.0,25974.0,0.0,16446.0,0.2
1638730005.344104,-0.08,-0.07999999999999999,0,tth,0,0.07999999999999999,85.0,19.0,29537.0,0.0,16457.0,0.2
1638730006.350227,-0.07,-0.07,0,tth,0,0.07,125.0,18.0,32919.0,0.0,16452.0,0.2
1638730007.18633,-0.06,-0.06,0,tth,0,0.06,103.0,18.0,36629.0,0.0,16447.0,0.2
1638730008.017276,-0.05,-0.04999999999999999,0,tth,0,0.04999999999999999,120.0,19.0,39793.0,0.0,16454.0,0.2
1638730008.8993108,-0.04,-0.04000000000000001,0,tth,0,0.04000000000000001,142.0,17.0,43164.0,0.0,16455.0,0.2
1638730009.7286747,-0.03,-0.03,0,tth,0,0.03,171.0,19.0,45911.0,0.0,16497.0,0.2
1638730010.5515707,-0.02,-0.01999999999999999,0,tth,0,0.01999999999999999,81.0,18.0,48580.0,0.0,16507.0,0.2
1638730011.3864875,-0.01,-0.010000000000000009,0,tth,0,0.010000000000000009,173.0,19.0,50101.0,0.0,16509.0,0.2
1638730012.2551146,0.0,0.0,0,tth,0,-0.0,117.0,20.0,51537.0,0.0,16515.0,0.2
1638730013.0794961,0.01,0.010000000000000009,0,tth,0,-0.010000000000000009,148.0,18.0,51821.0,0.0,16508.0,0.2
1638730013.9372864,0.02,0.020000000000000018,0,tth,0,-0.020000000000000018,170.0,18.0,51611.0,0.0,16493.0,0.2
1638730014.7854218,0.03,0.030000000000000027,0,tth,0,-0.030000000000000027,154.0,18.0,50592.0,0.0,16504.0,0.2
1638730015.65118,0.04,0.03999999999999998,0,tth,0,-0.03999999999999998,135.0,19.0,48909.0,0.0,16509.0,0.2
1638730016.5342858,0.05,0.04999999999999999,0,tth,0,-0.04999999999999999,145.0,18.0,46692.0,0.0,16514.0,0.2
1638730017.3952484,0.06,0.06,0,tth,0,-0.06,187.0,19.0,43690.0,0.0,16508.0,0.2
1638730018.2487512,0.07,0.07,0,tth,0,-0.07,81.0,19.0,40699.0,0.0,16492.0,0.2
1638730019.1248045,0.08,0.08000000000000002,0,tth,0,-0.08000000000000002,112.0,18.0,37436.0,0.0,16502.0,0.2
1638730020.0576074,0.09,0.09000000000000002,0,tth,0,-0.09000000000000002,180.0,19.0,34022.0,0.0,16499.0,0.2
1638730020.9092264,0.1,0.10000000000000003,0,tth,0,-0.10000000000000003,113.0,18.0,30349.0,0.0,16498.0,0.2
1638730021.7454252,0.11,0.10999999999999999,0,tth,0,-0.10999999999999999,122.0,19.0,26923.0,0.0,16489.0,0.2
1638730022.5969741,0.12,0.12,0,tth,0,-0.12,95.0,19.0,23233.0,0.0,16485.0,0.2
1638730023.4451482,0.13,0.13,0,tth,0,-0.13,76.0,19.0,19749.0,0.0,16499.0,0.2
