,1638729454.5612688,1638729502.9681072
centroidM3R,112.58737579483788,112.54651232441822
mono_energy_setpoint,680.0,680.0
mono_energy,679.9923553,679.9938025
mono_mirror_pitch,3.1785900878906252,3.17862548828125
mono_mirror_pitch_user_setpoint,3.1786138916015627,3.1786138916015627
mono_grating_pitch,4.309100317382812,4.309098486328125
mono_grating_pitch_user_setpoint,4.309128393554688,4.309128393554688
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,1
mono_grating_status,1,1
kappa_motors_m1,57.04495643999999,57.04495464
kappa_motors_m1_user_setpoint,57.044999999999916,57.044999999999916
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,85.26580415999992,85.26580415999992
select_detector,d3,d3
kappa_motors_m7,134.755,134.757
kappa_motors_m7_user_setpoint,134.7559273836236,134.7559273836236
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.2059273836236,179.2059273836236
kappa_motors_m8,57.045142381790015,57.045142381790015
kappa_motors_m8_user_setpoint,57.045164673286905,57.045164673286905
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,233.64397770850312,233.64397770850312
kappa_motors_m9,0.0,0.0
kappa_motors_m9_user_setpoint,0.0,0.0
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,24.253,24.253
srs_A4,5e-11,5e-11
motors_H1size_setpoint,1.807,1.807
motors_H1size_readback,1.8069000000000002,1.8069000000000002
motors_V1size_setpoint,1.626,1.626
motors_V1size_readback,1.6258,1.6258
motors_H1center_setpoint,0.125,0.125
motors_H1center_readback,0.12494999999999995,0.12494999999999995
motors_V1center_setpoint,0.0,0.0
motors_V1center_readback,5.551115123125783e-17,5.551115123125783e-17
motors_H2size_setpoint,2.586,2.586
motors_H2size_readback,2.585,2.585
motors_V2size_setpoint,2.974,2.974
motors_V2size_readback,2.975,2.975
motors_H2center_setpoint,-0.25,-0.25
motors_H2center_readback,-0.25,-0.25
motors_V2center_setpoint,0.0,0.0
motors_V2center_readback,0.0,0.0
motors_V4center_setpoint,0.0,0.0
motors_V4center_readback,0.0,0.0
motors_V4size_setpoint,100.0,100.0
motors_V4size_readback,100.0,100.0
kappa_motors_m4,0.108,750.1
kappa_motors_m4_user_setpoint,0.06499999999999773,750.108
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,0.06499999999999773,750.108
kappa_motors_m3,0.053,0.059000000000000004
kappa_motors_m3_user_setpoint,0.0,0.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,-0.0,-0.0
kappa_motors_m2,-0.354,-0.356
kappa_motors_m2_user_setpoint,0.0,0.0
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,0.0,0.0
undulator_energy_setpoint,0.692701,0.692701
undulator_energy_readback,0.6656692028045654,0.6656692028045654
