time,D4calc,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638732739.6263673,7.616488326848249,10832.0,10.0,31319.0,0.0,4112.0,0.1,2.0,2.0,0,tth,0,-2.0,58.47714238179,58.47709960277629,0,kth,0,232.21204277901373,3999.9500000000003,4000.0,0,x,0,4000.0
1638732740.9526467,7.6162451361867705,9614.0,10.0,31318.0,0.0,4112.0,0.1,2.1,2.1,0,tth,0,-2.1,58.52214238179002,58.527099602776275,0,kth,0,232.16204277901375,3994.96,3994.972222222222,0,x,0,3994.972222222222
1638732742.2008762,7.634662129314536,9900.0,9.0,31409.0,0.0,4114.0,0.1,2.2,2.2,0,tth,0,-2.2,58.58014238179001,58.577099602776286,0,kth,0,232.11204277901373,3989.938,3989.9444444444443,0,x,0,3989.9444444444443
1638732743.5609307,7.587548638132295,10136.0,10.0,31200.0,0.0,4112.0,0.1,2.3000000000000003,2.3,0,tth,0,-2.3,58.63014238179002,58.6270996027763,0,kth,0,232.06204277901372,3984.927,3984.9166666666665,0,x,0,3984.9166666666665
1638732744.8208807,7.55379746835443,10611.0,10.0,31031.0,0.0,4108.0,0.1,2.4,2.4,0,tth,0,-2.4,58.67714238179002,58.67709960277631,0,kth,0,232.0120427790137,3979.935,3979.8888888888887,0,x,0,3979.8888888888887
1638732746.0652003,7.541697058108436,10985.0,10.0,31019.0,0.0,4113.0,0.1,2.5,2.5,0,tth,0,-2.5,58.72714238179,58.72709960277629,0,kth,0,231.96204277901373,3974.786,3974.8611111111113,0,x,0,3974.8611111111113
1638732747.3551927,7.497078870496592,11485.0,10.0,30798.0,0.0,4108.0,0.1,2.6,2.6,0,tth,0,-2.6,58.77414238179003,58.777099602776275,0,kth,0,231.91204277901375,3969.772,3969.8333333333335,0,x,0,3969.8333333333335
1638732748.654673,7.550194931773879,12241.0,10.0,30986.0,0.0,4104.0,0.1,2.7,2.7,0,tth,0,-2.7,58.82814238179,58.827099602776286,0,kth,0,231.86204277901373,3964.786,3964.8055555555557,0,x,0,3964.8055555555557
1638732750.0426412,7.586274032611341,12763.0,10.0,31172.0,0.0,4109.0,0.1,2.8000000000000003,2.8,0,tth,0,-2.8,58.87214238179001,58.8770996027763,0,kth,0,231.81204277901372,3959.746,3959.777777777778,0,x,0,3959.777777777778
1638732751.2819135,7.61794747081712,13644.0,10.0,31325.0,0.0,4112.0,0.1,2.9,2.9,0,tth,0,-2.9,58.92914238179003,58.92709960277631,0,kth,0,231.7620427790137,3954.748,3954.75,0,x,0,3954.75
1638732752.5605512,7.581304771178189,14124.0,9.0,31144.0,0.0,4108.0,0.1,3.0,3.0,0,tth,0,-3.0,58.97314238179001,58.97709960277629,0,kth,0,231.71204277901373,3949.739,3949.722222222222,0,x,0,3949.722222222222
