time,D4calc,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638733068.0121932,0.837625705175374,7154.0,10.0,3415.0,0.0,4077.0,0.1,16.0,16.0,0,tth,0,-16.0,65.47714238179,65.47709960277629,0,kth,0,225.21204277901373,2799.935,2800.0,0,x,0,2800.0
1638733069.299338,1.0936733692986758,7009.0,10.0,4460.0,0.0,4078.0,0.1,16.1,16.1,0,tth,0,-16.1,65.52914238179002,65.52709960277627,0,kth,0,225.16204277901375,2795.0190000000002,2794.9791666666665,0,x,0,2794.9791666666665
1638733070.5960395,1.2928972418843057,6700.0,9.0,5297.0,0.0,4097.0,0.1,16.2,16.2,0,tth,0,-16.2,65.57314238179,65.57709960277629,0,kth,0,225.11204277901373,2789.9320000000002,2789.9583333333335,0,x,0,2789.9583333333335
1638733071.829749,1.4491091042226019,6771.0,11.0,5937.0,0.0,4097.0,0.1,16.3,16.3,0,tth,0,-16.3,65.62614238179,65.6270996027763,0,kth,0,225.06204277901372,2784.91,2784.9375,0,x,0,2784.9375
1638733073.0394304,1.4734394124847001,6733.0,10.0,6019.0,0.0,4085.0,0.1,16.4,16.4,0,tth,0,-16.4,65.67814238179002,65.67709960277631,0,kth,0,225.0120427790137,2779.981,2779.9166666666665,0,x,0,2779.9166666666665
1638733074.3184838,1.3895945285784075,6551.0,11.0,5689.0,0.0,4094.0,0.1,16.5,16.5,0,tth,0,-16.5,65.72814238179001,65.72709960277629,0,kth,0,224.96204277901373,2774.877,2774.8958333333335,0,x,0,2774.8958333333335
1638733075.571305,1.224609375,6619.0,10.0,5016.0,0.0,4096.0,0.1,16.6,16.6,0,tth,0,-16.6,65.77214238179002,65.77709960277627,0,kth,0,224.91204277901375,2769.887,2769.875,0,x,0,2769.875
1638733076.8193755,0.987060546875,6530.0,10.0,4043.0,0.0,4096.0,0.1,16.7,16.7,0,tth,0,-16.7,65.82814238179,65.82709960277629,0,kth,0,224.86204277901373,2764.851,2764.8541666666665,0,x,0,2764.8541666666665
1638733078.0861845,0.773838630806846,6376.0,10.0,3165.0,0.0,4090.0,0.1,16.8,16.8,0,tth,0,-16.8,65.87514238179003,65.8770996027763,0,kth,0,224.81204277901372,2759.867,2759.8333333333335,0,x,0,2759.8333333333335
1638733079.3169677,0.5863247863247864,6390.0,10.0,2401.0,0.0,4095.0,0.1,16.9,16.9,0,tth,0,-16.9,65.93014238179,65.92709960277631,0,kth,0,224.7620427790137,2754.818,2754.8125,0,x,0,2754.8125
1638733080.5890326,0.5004892367906066,6265.0,10.0,2046.0,0.0,4088.0,0.1,17.0,17.0,0,tth,0,-17.0,65.97214238179001,65.97709960277629,0,kth,0,224.71204277901373,2749.784,2749.7916666666665,0,x,0,2749.7916666666665
1638733081.7700605,0.481789293571254,6186.0,10.0,1971.0,0.0,4091.0,0.1,17.1,17.1,0,tth,0,-17.1,66.02514238179,66.02709960277627,0,kth,0,224.66204277901375,2744.797,2744.7708333333335,0,x,0,2744.7708333333335
1638733082.9465942,0.5442542787286063,6177.0,10.0,2226.0,0.0,4090.0,0.1,17.2,17.2,0,tth,0,-17.2,66.07814238179,66.07709960277629,0,kth,0,224.61204277901373,2739.704,2739.75,0,x,0,2739.75
1638733084.2057426,0.6417399804496579,6023.0,9.0,2626.0,0.0,4092.0,0.1,17.3,17.3,0,tth,0,-17.3,66.12714238179001,66.1270996027763,0,kth,0,224.56204277901372,2734.699,2734.7291666666665,0,x,0,2734.7291666666665
1638733085.4159908,0.7517678614971958,6194.0,11.0,3083.0,0.0,4101.0,0.1,17.400000000000002,17.4,0,tth,0,-17.4,66.17614238179002,66.17709960277631,0,kth,0,224.5120427790137,2729.683,2729.7083333333335,0,x,0,2729.7083333333335
1638733086.640791,0.8426718864692929,6112.0,10.0,3444.0,0.0,4087.0,0.1,17.5,17.5,0,tth,0,-17.5,66.22614238179003,66.22709960277629,0,kth,0,224.46204277901373,2724.67,2724.6875,0,x,0,2724.6875
1638733087.9124594,0.8897829797610339,6106.0,10.0,3649.0,0.0,4101.0,0.1,17.6,17.6,0,tth,0,-17.6,66.27714238179001,66.27709960277627,0,kth,0,224.41204277901375,2719.669,2719.6666666666665,0,x,0,2719.6666666666665
1638733089.1408942,0.8904109589041096,6003.0,10.0,3640.0,0.0,4088.0,0.1,17.7,17.7,0,tth,0,-17.7,66.32614238179002,66.32709960277629,0,kth,0,224.36204277901373,2714.667,2714.6458333333335,0,x,0,2714.6458333333335
1638733090.4612732,0.8467367391835737,5905.0,9.0,3464.0,0.0,4091.0,0.1,17.8,17.8,0,tth,0,-17.8,66.37514238179003,66.3770996027763,0,kth,0,224.31204277901372,2709.697,2709.625,0,x,0,2709.625
1638733091.777384,0.779052734375,5905.0,10.0,3191.0,0.0,4096.0,0.1,17.900000000000002,17.9,0,tth,0,-17.9,66.42214238179002,66.42709960277631,0,kth,0,224.2620427790137,2704.616,2704.6041666666665,0,x,0,2704.6041666666665
1638733093.1763597,0.6896383186705768,5814.0,10.0,2822.0,0.0,4092.0,0.1,18.0,18.0,0,tth,0,-18.0,66.48114238179002,66.47709960277629,0,kth,0,224.21204277901373,2699.558,2699.5833333333335,0,x,0,2699.5833333333335
1638733094.4183424,0.6332518337408313,5837.0,10.0,2590.0,0.0,4090.0,0.1,18.1,18.1,0,tth,0,-18.1,66.52214238179002,66.52709960277627,0,kth,0,224.16204277901375,2694.5460000000003,2694.5625,0,x,0,2694.5625
1638733095.6870375,0.5709401709401709,5753.0,11.0,2338.0,0.0,4095.0,0.1,18.2,18.2,0,tth,0,-18.2,66.57714238179003,66.57709960277629,0,kth,0,224.11204277901373,2689.637,2689.5416666666665,0,x,0,2689.5416666666665
1638733096.9543335,0.5493268053855569,5741.0,10.0,2244.0,0.0,4085.0,0.1,18.3,18.3,0,tth,0,-18.3,66.63014238179002,66.6270996027763,0,kth,0,224.06204277901372,2684.52,2684.5208333333335,0,x,0,2684.5208333333335
1638733098.2805107,0.545721271393643,5690.0,9.0,2232.0,0.0,4090.0,0.1,18.400000000000002,18.4,0,tth,0,-18.4,66.68114238179001,66.67709960277631,0,kth,0,224.0120427790137,2679.524,2679.5,0,x,0,2679.5
1638733099.573122,0.5555555555555556,5765.0,10.0,2270.0,0.0,4086.0,0.1,18.5,18.5,0,tth,0,-18.5,66.72514238179002,66.72709960277629,0,kth,0,223.96204277901373,2674.518,2674.4791666666665,0,x,0,2674.4791666666665
