,1638543615.3604558,1638544315.0308828
kappa_motors_m8,87.04514238179206,87.04514238179206
kappa_motors_m8_user_setpoint,87.04500000000002,87.04500000000002
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,203.64414238179205,203.64414238179205
kappa_motors_m3,0.197,0.201
kappa_motors_m3_user_setpoint,0.0,0.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,0.0,0.0
centroidM3R,121.63858898115662,109.0
undulator_energy_setpoint,0.709,0.709
undulator_energy_readback,0.682300329208374,0.6819665431976318
kappa_motors_m1,57.037269280000004,57.03726604000002
kappa_motors_m1_user_setpoint,57.038972157342585,57.038972157342585
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,-173.21902336265742,-173.21902336265742
kappa_motors_m7,134.75600000000003,134.75600000000003
kappa_motors_m7_user_setpoint,134.7559273836236,134.7559273836236
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.2059273836236,179.2059273836236
mono_energy_setpoint,697.0,720.0
mono_energy,696.9962432,720.006289
mono_mirror_pitch,3.139542236328125,3.0888800048828124
mono_mirror_pitch_user_setpoint,3.139534912109375,3.1271722412109377
mono_grating_pitch,4.256149877929688,4.187531103515625
mono_grating_pitch_user_setpoint,4.2561572021484375,4.270301489257813
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,0
mono_grating_status,1,0
kappa_motors_m2,-0.003,-0.005
kappa_motors_m2_user_setpoint,0.0,0.0
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,0.0,0.0
kappa_motors_m4,-96.136,-96.137
kappa_motors_m4_user_setpoint,-96.0,-96.0
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,-96.0,-96.0
kappa_motors_m9,54.870000000000005,54.870000000000005
kappa_motors_m9_user_setpoint,54.87,54.87
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,-25.746999999999996,-25.746999999999996
