time,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m4,kappa_motors_m4_user_setpoint,kappa_motors_m4_sync,kappa_motors_m4_desc,kappa_motors_m4_homf,kappa_motors_m4_dval
1638746919.7370548,20.0,32538.0,0.0,0.0,8260.0,0.1,-780.533,-780.533,0,z,0,-780.533
1638746920.5230582,40.0,32502.0,0.0,0.0,8268.0,0.1,-750.534,-750.533,0,z,0,-750.533
1638746921.2771745,48.0,32451.0,0.0,0.0,8258.0,0.1,-720.524,-720.533,0,z,0,-720.533
1638746922.0086854,59.0,32394.0,0.0,0.0,8258.0,0.1,-690.535,-690.533,0,z,0,-690.533
1638746922.7322855,56.0,32309.0,0.0,0.0,8257.0,0.1,-660.532,-660.533,0,z,0,-660.533
1638746923.4699953,42.0,32247.0,0.0,0.0,8261.0,0.1,-630.543,-630.533,0,z,0,-630.533
1638746924.2244,40.0,32089.0,0.0,0.0,8258.0,0.1,-600.5360000000001,-600.533,0,z,0,-600.533
1638746924.997712,66.0,32016.0,0.0,0.0,8265.0,0.1,-570.534,-570.533,0,z,0,-570.533
1638746925.8043454,67.0,31803.0,0.0,0.0,8262.0,0.1,-540.533,-540.533,0,z,0,-540.533
1638746926.5801759,98.0,31528.0,0.0,0.0,8258.0,0.1,-510.536,-510.533,0,z,0,-510.533
1638746927.301519,79.0,31270.0,0.0,0.0,8263.0,0.1,-480.535,-480.533,0,z,0,-480.533
1638746928.0360885,139.0,30746.0,0.0,0.0,8257.0,0.1,-450.541,-450.533,0,z,0,-450.533
1638746928.7994413,124.0,30342.0,0.0,0.0,8264.0,0.1,-420.545,-420.533,0,z,0,-420.533
1638746929.552003,165.0,29704.0,0.0,0.0,8298.0,0.1,-390.535,-390.533,0,z,0,-390.533
1638746930.251248,183.0,28826.0,0.0,0.0,8294.0,0.1,-360.548,-360.533,0,z,0,-360.533
1638746930.9817822,252.0,27949.0,0.0,0.0,8292.0,0.1,-330.54200000000003,-330.533,0,z,0,-330.533
1638746931.6915038,257.0,26715.0,0.0,0.0,8295.0,0.1,-300.538,-300.533,0,z,0,-300.533
1638746932.5121295,306.0,25631.0,0.0,0.0,8290.0,0.1,-270.528,-270.533,0,z,0,-270.533
1638746933.2830162,383.0,24066.0,0.0,0.0,8277.0,0.1,-240.53300000000002,-240.53300000000002,0,z,0,-240.53300000000002
1638746934.0381396,405.0,22734.0,0.0,0.0,8287.0,0.1,-210.536,-210.53300000000002,0,z,0,-210.53300000000002
1638746934.7743154,444.0,21316.0,0.0,0.0,8289.0,0.1,-180.531,-180.53300000000002,0,z,0,-180.53300000000002
