time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638558992.7491882,19.0,19.0,0,tth,0,-19.0,66.82114238179003,66.82239670795883,0,kth,0,223.8667456738312,45625.0,10.0,62688.0,0.0,20838.0,0.1
1638558994.7190876,19.1,19.1,0,tth,0,-19.1,66.87714238179001,66.87239670795881,0,kth,0,223.8167456738312,45437.0,10.0,61690.0,0.0,20819.0,0.1
1638558995.9949098,19.2,19.2,0,tth,0,-19.2,66.91814238179,66.9223967079588,0,kth,0,223.76674567383122,45194.0,11.0,54341.0,0.0,20814.0,0.1
1638558996.9688416,19.3,19.3,0,tth,0,-19.3,66.96814238179002,66.97239670795881,0,kth,0,223.7167456738312,44954.0,10.0,54634.0,0.0,20819.0,0.1
1638558998.053778,19.400000000000002,19.4,0,tth,0,-19.4,67.01814238179003,67.02239670795882,0,kth,0,223.6667456738312,44740.0,11.0,50627.0,0.0,20824.0,0.1
1638558999.2344358,19.5,19.5,0,tth,0,-19.5,67.06814238179001,67.07239670795883,0,kth,0,223.6167456738312,44551.0,10.0,47875.0,0.0,20824.0,0.1
1638559000.2118998,19.6,19.6,0,tth,0,-19.6,67.12714238179001,67.12239670795881,0,kth,0,223.5667456738312,44309.0,10.0,47114.0,0.0,20835.0,0.1
1638559001.231459,19.7,19.7,0,tth,0,-19.7,67.16914238179001,67.1723967079588,0,kth,0,223.51674567383122,44184.0,11.0,42977.0,0.0,20823.0,0.1
1638559003.246151,19.8,19.8,0,tth,0,-19.8,67.22714238179,67.22239670795881,0,kth,0,223.4667456738312,43904.0,11.0,41798.0,0.0,20827.0,0.1
1638559004.4253285,19.900000000000002,19.9,0,tth,0,-19.9,67.26814238179003,67.27239670795882,0,kth,0,223.4167456738312,43771.0,10.0,37241.0,0.0,20821.0,0.1
1638559005.3571305,20.0,20.0,0,tth,0,-20.0,67.32414238179001,67.32239670795883,0,kth,0,223.3667456738312,43504.0,10.0,37943.0,0.0,20828.0,0.1
1638559006.3167465,20.1,20.1,0,tth,0,-20.1,67.36914238179003,67.37239670795881,0,kth,0,223.3167456738312,43314.0,10.0,35661.0,0.0,20823.0,0.1
1638559008.4226418,20.2,20.2,0,tth,0,-20.2,67.42614238179002,67.4223967079588,0,kth,0,223.26674567383122,43050.0,10.0,35029.0,0.0,20818.0,0.1
1638559009.6587148,20.3,20.3,0,tth,0,-20.3,67.46814238179002,67.47239670795881,0,kth,0,223.2167456738312,42889.0,10.0,31940.0,0.0,20815.0,0.1
1638559011.4298956,20.400000000000002,20.4,0,tth,0,-20.4,67.52714238179001,67.52239670795882,0,kth,0,223.1667456738312,42592.0,10.0,33348.0,0.0,20804.0,0.1
1638559012.813735,20.5,20.5,0,tth,0,-20.5,67.56814238179001,67.57239670795883,0,kth,0,223.1167456738312,42478.0,10.0,30932.0,0.0,20818.0,0.1
1638559013.8144476,20.6,20.6,0,tth,0,-20.6,67.62714238179001,67.62239670795881,0,kth,0,223.0667456738312,42252.0,10.0,32379.0,0.0,20824.0,0.1
1638559014.9041202,20.7,20.7,0,tth,0,-20.7,67.66814238179,67.6723967079588,0,kth,0,223.01674567383122,42170.0,9.0,31038.0,0.0,20829.0,0.1
1638559016.079324,20.8,20.8,0,tth,0,-20.8,67.71914238179002,67.72239670795881,0,kth,0,222.9667456738312,41914.0,10.0,31291.0,0.0,20810.0,0.1
1638559017.1657271,20.900000000000002,20.9,0,tth,0,-20.9,67.76814238179003,67.77239670795882,0,kth,0,222.9167456738312,41792.0,9.0,31289.0,0.0,20826.0,0.1
1638559018.1444597,21.0,21.0,0,tth,0,-21.0,67.81914238179002,67.82239670795883,0,kth,0,222.8667456738312,41512.0,10.0,31769.0,0.0,20805.0,0.1
1638559019.1057587,21.1,21.1,0,tth,0,-21.1,67.87214238179001,67.87239670795881,0,kth,0,222.8167456738312,41315.0,9.0,32287.0,0.0,20825.0,0.1
1638559020.0769975,21.2,21.2,0,tth,0,-21.2,67.91814238179,67.9223967079588,0,kth,0,222.76674567383122,41096.0,10.0,31988.0,0.0,20815.0,0.1
1638559021.0711627,21.3,21.3,0,tth,0,-21.3,67.97414238179002,67.97239670795881,0,kth,0,222.7167456738312,40925.0,10.0,33051.0,0.0,20812.0,0.1
1638559022.0792794,21.400000000000002,21.4,0,tth,0,-21.4,68.02014238179001,68.02239670795882,0,kth,0,222.6667456738312,40863.0,10.0,32066.0,0.0,20812.0,0.1
1638559023.033246,21.5,21.5,0,tth,0,-21.5,68.07214238179,68.07239670795883,0,kth,0,222.6167456738312,40632.0,9.0,33076.0,0.0,20809.0,0.1
1638559023.9909918,21.6,21.6,0,tth,0,-21.6,68.12214238179001,68.12239670795881,0,kth,0,222.5667456738312,39889.0,10.0,33226.0,0.0,20758.0,0.1
1638559024.9738724,21.7,21.7,0,tth,0,-21.7,68.16814238179,68.1723967079588,0,kth,0,222.51674567383122,40346.0,9.0,32504.0,0.0,20870.0,0.1
1638559025.9618194,21.8,21.8,0,tth,0,-21.8,68.21814238179002,68.22239670795881,0,kth,0,222.4667456738312,40131.0,10.0,32620.0,0.0,20866.0,0.1
1638559028.3960485,21.900000000000002,21.9,0,tth,0,-21.9,68.27714238179001,68.27239670795882,0,kth,0,222.4167456738312,40032.0,9.0,34419.0,0.0,20885.0,0.1
1638559029.7854462,22.0,22.0,0,tth,0,-22.0,68.31914238179002,68.32239670795883,0,kth,0,222.3667456738312,39891.0,10.0,30653.0,0.0,20876.0,0.1
1638559032.27661,22.1,22.1,0,tth,0,-22.1,68.37714238179001,68.37239670795881,0,kth,0,222.3167456738312,39654.0,10.0,33906.0,0.0,20875.0,0.1
1638559033.6858594,22.2,22.2,0,tth,0,-22.2,68.42014238179001,68.4223967079588,0,kth,0,222.26674567383122,39560.0,10.0,30162.0,0.0,20872.0,0.1
1638559035.6657355,22.3,22.3,0,tth,0,-22.3,68.47614238179003,68.47239670795881,0,kth,0,222.2167456738312,39334.0,10.0,32578.0,0.0,20875.0,0.1
1638559037.18641,22.400000000000002,22.4,0,tth,0,-22.4,68.51814238179003,68.52239670795882,0,kth,0,222.1667456738312,39130.0,10.0,28873.0,0.0,20865.0,0.1
1638559038.2226226,22.5,22.5,0,tth,0,-22.5,68.56914238179002,68.57239670795883,0,kth,0,222.1167456738312,39099.0,10.0,29259.0,0.0,20862.0,0.1
1638559039.3761034,22.6,22.6,0,tth,0,-22.6,68.61914238179003,68.62239670795881,0,kth,0,222.0667456738312,38788.0,10.0,28458.0,0.0,20859.0,0.1
1638559040.4293144,22.7,22.7,0,tth,0,-22.7,68.66814238179,68.6723967079588,0,kth,0,222.01674567383122,38697.0,9.0,27521.0,0.0,20874.0,0.1
1638559041.5223475,22.8,22.8,0,tth,0,-22.8,68.71814238179002,68.72239670795881,0,kth,0,221.9667456738312,38525.0,10.0,26681.0,0.0,20858.0,0.1
1638559042.6061845,22.900000000000002,22.9,0,tth,0,-22.9,68.76914238179,68.77239670795882,0,kth,0,221.9167456738312,38441.0,10.0,26780.0,0.0,20870.0,0.1
1638559043.5986297,23.0,23.0,0,tth,0,-23.0,68.81914238179002,68.82239670795883,0,kth,0,221.8667456738312,38202.0,10.0,25763.0,0.0,20866.0,0.1
1638559044.585796,23.1,23.1,0,tth,0,-23.1,68.87714238179001,68.87239670795881,0,kth,0,221.8167456738312,38021.0,10.0,25614.0,0.0,20861.0,0.1
1638559045.5638063,23.2,23.2,0,tth,0,-23.2,68.91814238179,68.9223967079588,0,kth,0,221.76674567383122,37879.0,10.0,23414.0,0.0,20853.0,0.1
1638559046.5313256,23.3,23.3,0,tth,0,-23.3,68.97414238179002,68.97239670795881,0,kth,0,221.7167456738312,37721.0,9.0,23502.0,0.0,20857.0,0.1
1638559047.4988046,23.400000000000002,23.4,0,tth,0,-23.4,69.02514238179,69.02239670795882,0,kth,0,221.6667456738312,37642.0,10.0,22578.0,0.0,20874.0,0.1
1638559048.4848144,23.5,23.5,0,tth,0,-23.5,69.07214238179,69.07239670795883,0,kth,0,221.6167456738312,37436.0,9.0,21151.0,0.0,20867.0,0.1
1638559049.4635408,23.6,23.6,0,tth,0,-23.6,69.12214238179001,69.12239670795881,0,kth,0,221.5667456738312,37242.0,10.0,20461.0,0.0,20866.0,0.1
1638559050.419677,23.7,23.7,0,tth,0,-23.7,69.17214238179002,69.1723967079588,0,kth,0,221.51674567383122,37147.0,9.0,19612.0,0.0,20843.0,0.1
1638559051.3591793,23.8,23.8,0,tth,0,-23.8,69.22614238179003,69.22239670795881,0,kth,0,221.4667456738312,37025.0,10.0,19156.0,0.0,20861.0,0.1
1638559052.3122332,23.900000000000002,23.9,0,tth,0,-23.9,69.27214238179002,69.27239670795882,0,kth,0,221.4167456738312,36797.0,10.0,18336.0,0.0,20842.0,0.1
1638559054.9035974,24.0,24.0,0,tth,0,-24.0,69.32914238179,69.32239670795883,0,kth,0,221.3667456738312,36684.0,9.0,17554.0,0.0,20855.0,0.1
1638559056.2925491,24.1,24.1,0,tth,0,-24.1,69.36814238179002,69.37239670795881,0,kth,0,221.3167456738312,36507.0,9.0,16462.0,0.0,20846.0,0.1
1638559057.2542882,24.2,24.200000000000003,0,tth,0,-24.200000000000003,69.42714238179002,69.4223967079588,0,kth,0,221.26674567383122,36368.0,10.0,16616.0,0.0,20845.0,0.1
1638559058.3160245,24.3,24.3,0,tth,0,-24.3,69.46814238179002,69.47239670795881,0,kth,0,221.2167456738312,36221.0,10.0,15858.0,0.0,20848.0,0.1
1638559059.2791615,24.400000000000002,24.4,0,tth,0,-24.4,69.52714238179001,69.52239670795882,0,kth,0,221.1667456738312,36081.0,10.0,15806.0,0.0,20845.0,0.1
1638559060.2402418,24.5,24.5,0,tth,0,-24.5,69.56814238179001,69.57239670795883,0,kth,0,221.1167456738312,35981.0,10.0,15433.0,0.0,20852.0,0.1
1638559061.255788,24.6,24.6,0,tth,0,-24.6,69.62414238179002,69.62239670795881,0,kth,0,221.0667456738312,35800.0,10.0,15339.0,0.0,20850.0,0.1
1638559062.5538626,24.7,24.700000000000003,0,tth,0,-24.700000000000003,69.67714238179002,69.6723967079588,0,kth,0,221.01674567383122,35754.0,9.0,15098.0,0.0,20852.0,0.1
1638559063.8748956,24.8,24.8,0,tth,0,-24.8,69.71914238179002,69.72239670795881,0,kth,0,220.9667456738312,35531.0,9.0,14790.0,0.0,20825.0,0.1
1638559064.8724613,24.900000000000002,24.9,0,tth,0,-24.9,69.77014238179001,69.77239670795882,0,kth,0,220.9167456738312,35386.0,9.0,14928.0,0.0,20847.0,0.1
1638559065.8623807,25.0,25.0,0,tth,0,-25.0,69.82014238179002,69.82239670795883,0,kth,0,220.8667456738312,35231.0,9.0,14931.0,0.0,20852.0,0.1
1638559066.879763,25.1,25.1,0,tth,0,-25.1,69.87214238179001,69.87239670795881,0,kth,0,220.8167456738312,35112.0,10.0,14927.0,0.0,20832.0,0.1
1638559067.840595,25.2,25.200000000000003,0,tth,0,-25.200000000000003,69.92414238179,69.9223967079588,0,kth,0,220.76674567383122,35055.0,9.0,15034.0,0.0,20853.0,0.1
1638559069.5855498,25.3,25.3,0,tth,0,-25.3,69.96914238179002,69.97239670795881,0,kth,0,220.7167456738312,34862.0,10.0,14363.0,0.0,20842.0,0.1
1638559071.4620728,25.400000000000002,25.4,0,tth,0,-25.4,70.02714238179001,70.02239670795882,0,kth,0,220.6667456738312,34697.0,10.0,15229.0,0.0,20832.0,0.1
