,1638589496.8124573,1638589570.5746436
kappa_motors_m1,57.045030600000004,57.045031679999994
kappa_motors_m1_user_setpoint,57.04499999999996,57.04499999999996
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,85.26580415999996,85.26580415999996
kappa_motors_m2,-6603.5,-6603.5070000000005
kappa_motors_m2_user_setpoint,-6605.0,-6605.0
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,-6605.0,-6605.0
mono_energy_setpoint,520.0,520.0
mono_energy,520.0096156,520.0042466
mono_mirror_pitch,3.6361810302734376,3.6361688232421874
mono_mirror_pitch_user_setpoint,3.6362451171875,3.6362451171875
mono_grating_pitch,4.9287701171875,4.928731665039063
mono_grating_pitch_user_setpoint,4.928742041015625,4.928742041015625
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,1
mono_grating_status,1,1
srs_A4,2e-10,2e-10
undulator_energy_setpoint,0.529501,0.529501
undulator_energy_readback,0.4972343444824219,0.4971630573272705
select_detector,d3,d3
kappa_motors_m9,0.0,0.0
kappa_motors_m9_user_setpoint,0.0,0.0
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,24.253,24.253
centroidM3R,111.75490677134445,111.58414239482201
kappa_motors_m7,134.75600000000003,134.75600000000003
kappa_motors_m7_user_setpoint,134.7559273836236,134.7559273836236
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.2059273836236,179.2059273836236
kappa_motors_m4,-219.937,1250.0
kappa_motors_m4_user_setpoint,-220.0,1250.0
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,-220.0,1250.0
kappa_motors_m8,57.045142381790015,57.045142381790015
kappa_motors_m8_user_setpoint,57.045164673286905,57.045164673286905
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,233.64397770850312,233.64397770850312
kappa_motors_m3,0.274,0.28200000000000003
kappa_motors_m3_user_setpoint,0.0,0.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,0.0,0.0
