time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,D4calc
1638659620.3300443,66.36814238179002,66.37239670795881,0,kth,0,224.3167456738312,18.1,18.1,0,tth,0,-18.1,5390.0,9.0,45224.0,0.0,15080.0,0.1,-505.282,-505.2625,0,x,0,-505.2625,2.9989389920424405
1638659621.5183475,66.41814238179,66.4223967079588,0,kth,0,224.26674567383122,18.2,18.2,0,tth,0,-18.2,5422.0,10.0,44583.0,0.0,15087.0,0.1,-510.184,-510.275,0,x,0,-510.275,2.955060648240207
1638659622.7858074,66.47514238179002,66.47239670795881,0,kth,0,224.2167456738312,18.3,18.3,0,tth,0,-18.3,5417.0,10.0,45085.0,0.0,15066.0,0.1,-515.232,-515.2875,0,x,0,-515.2875,2.9924996681269085
1638659624.0803216,66.51814238179003,66.52239670795882,0,kth,0,224.1667456738312,18.400000000000002,18.4,0,tth,0,-18.4,5459.0,9.0,41811.0,0.0,15077.0,0.1,-520.3580000000001,-520.3,0,x,0,-520.3,2.773164422630497
1638659625.3337402,66.57714238179003,66.57239670795883,0,kth,0,224.1167456738312,18.5,18.5,0,tth,0,-18.5,5299.0,10.0,42931.0,0.0,15087.0,0.1,-525.357,-525.3125,0,x,0,-525.3125,2.8455624047192947
1638659626.5933514,66.62014238179,66.62239670795881,0,kth,0,224.0667456738312,18.6,18.6,0,tth,0,-18.6,5274.0,9.0,39854.0,0.0,15074.0,0.1,-530.316,-530.325,0,x,0,-530.325,2.6438901419662995
1638659627.9468825,66.67714238179002,66.6723967079588,0,kth,0,224.01674567383122,18.7,18.7,0,tth,0,-18.7,5285.0,10.0,40262.0,0.0,15096.0,0.1,-535.238,-535.3375,0,x,0,-535.3375,2.667064122946476
1638659629.145697,66.71814238179002,66.72239670795881,0,kth,0,223.9667456738312,18.8,18.8,0,tth,0,-18.8,5351.0,9.0,37389.0,0.0,15082.0,0.1,-540.361,-540.35,0,x,0,-540.35,2.4790478716350615
1638659630.4310932,66.77514238179,66.77239670795882,0,kth,0,223.9167456738312,18.900000000000002,18.9,0,tth,0,-18.9,5282.0,9.0,38240.0,0.0,15079.0,0.1,-545.2620000000001,-545.3625,0,x,0,-545.3625,2.535977186816102
1638659631.709479,66.82014238179002,66.82239670795883,0,kth,0,223.8667456738312,19.0,19.0,0,tth,0,-19.0,5215.0,10.0,36088.0,0.0,15074.0,0.1,-550.399,-550.375,0,x,0,-550.375,2.3940559904471277
1638659632.9778798,66.87314238179002,66.87239670795881,0,kth,0,223.8167456738312,19.1,19.1,0,tth,0,-19.1,5321.0,9.0,35840.0,0.0,15058.0,0.1,-555.253,-555.3875,0,x,0,-555.3875,2.3801301633683094
1638659634.2347698,66.92214238179002,66.9223967079588,0,kth,0,223.76674567383122,19.2,19.2,0,tth,0,-19.2,5227.0,10.0,35103.0,0.0,15063.0,0.1,-560.385,-560.4,0,x,0,-560.4,2.330412268472416
1638659635.4864733,66.96814238179002,66.97239670795881,0,kth,0,223.7167456738312,19.3,19.3,0,tth,0,-19.3,5261.0,10.0,34585.0,0.0,15094.0,0.1,-565.44,-565.4125,0,x,0,-565.4125,2.2913078044255997
