time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638656019.2646093,1.2586663138396401,65.31914238179002,65.32239670795883,0,kth,0,225.3667456738312,5307.0,9.0,19026.0,0.0,15116.0,0.1,16.0,16.0,0,tth,0,-16.0,3200.022,3200.0,0,x,0,3200.0
1638656021.172554,1.0471404958677686,65.37714238179001,65.37239670795881,0,kth,0,225.3167456738312,4572.0,9.0,15838.0,0.0,15125.0,0.1,16.1,16.1,0,tth,0,-16.1,3194.91,3194.9875,0,x,0,3194.9875
1638656022.3918703,0.7139081598942848,65.41914238179001,65.4223967079588,0,kth,0,225.26674567383122,4511.0,10.0,10805.0,0.0,15135.0,0.1,16.2,16.2,0,tth,0,-16.2,3189.949,3189.975,0,x,0,3189.975
1638656023.5990367,0.6773744866869784,65.47014238179003,65.47239670795881,0,kth,0,225.2167456738312,4430.0,10.0,10227.0,0.0,15098.0,0.1,16.3,16.3,0,tth,0,-16.3,3184.9790000000003,3184.9625,0,x,0,3184.9625
1638656024.8111997,0.8252433613667969,65.52014238179001,65.52239670795882,0,kth,0,225.1667456738312,4427.0,10.0,12462.0,0.0,15101.0,0.1,16.4,16.4,0,tth,0,-16.4,3180.212,3179.95,0,x,0,3179.95
1638656026.076979,1.2024511427625042,65.57414238179001,65.57239670795883,0,kth,0,225.1167456738312,4402.0,10.0,18151.0,0.0,15095.0,0.1,16.5,16.5,0,tth,0,-16.5,3174.9790000000003,3174.9375,0,x,0,3174.9375
1638656027.255625,1.3949668874172185,65.61914238179003,65.62239670795881,0,kth,0,225.0667456738312,4377.0,11.0,21064.0,0.0,15100.0,0.1,16.6,16.6,0,tth,0,-16.6,3169.9410000000003,3169.925,0,x,0,3169.925
1638656028.4827874,1.948897861918316,65.67214238179002,65.6723967079588,0,kth,0,225.01674567383122,4323.0,9.0,29442.0,0.0,15107.0,0.1,16.7,16.7,0,tth,0,-16.7,3164.893,3164.9125,0,x,0,3164.9125
1638656029.6954284,2.34284579222671,65.72214238179001,65.72239670795881,0,kth,0,224.9667456738312,4316.0,10.0,35384.0,0.0,15103.0,0.1,16.8,16.8,0,tth,0,-16.8,3159.96,3159.9,0,x,0,3159.9
1638656031.2371173,2.3977633668607727,65.77114238179001,65.77239670795882,0,kth,0,224.9167456738312,4199.0,10.0,36235.0,0.0,15112.0,0.1,16.9,16.9,0,tth,0,-16.9,3157.131,3154.8875,0,x,0,3154.8875
1638656032.4132671,2.5978023432845703,65.82314238179,65.82239670795883,0,kth,0,224.8667456738312,4329.0,10.0,39245.0,0.0,15107.0,0.1,17.0,17.0,0,tth,0,-17.0,3149.9320000000002,3149.875,0,x,0,3149.875
1638656033.7100043,2.5225964401508634,65.87114238179001,65.87239670795881,0,kth,0,224.8167456738312,4238.0,10.0,38124.0,0.0,15113.0,0.1,17.1,17.1,0,tth,0,-17.1,3144.888,3144.8625,0,x,0,3144.8625
1638656034.9000185,2.3731293868361805,65.92014238179001,65.9223967079588,0,kth,0,224.76674567383122,4173.0,9.0,35839.0,0.0,15102.0,0.1,17.2,17.2,0,tth,0,-17.2,3139.968,3139.85,0,x,0,3139.85
1638656036.561726,1.968876233362029,65.97314238179001,65.97239670795881,0,kth,0,224.7167456738312,4345.0,9.0,29732.0,0.0,15101.0,0.1,17.3,17.3,0,tth,0,-17.3,3136.638,3134.8375,0,x,0,3134.8375
1638656037.7844384,1.4900377308532469,66.01814238179003,66.02239670795882,0,kth,0,224.6667456738312,4279.0,10.0,22510.0,0.0,15107.0,0.1,17.400000000000002,17.4,0,tth,0,-17.4,3129.84,3129.825,0,x,0,3129.825
1638656038.9313633,1.3736431029917924,66.07314238179,66.07239670795883,0,kth,0,224.6167456738312,4342.0,9.0,20753.0,0.0,15108.0,0.1,17.5,17.5,0,tth,0,-17.5,3124.818,3124.8125,0,x,0,3124.8125
1638656040.1506014,0.9988077891111405,66.12314238179002,66.12239670795881,0,kth,0,224.5667456738312,4370.0,9.0,15080.0,0.0,15098.0,0.1,17.6,17.6,0,tth,0,-17.6,3119.899,3119.8,0,x,0,3119.8
1638656041.3381343,0.6631801933006752,66.17114238179002,66.1723967079588,0,kth,0,224.51674567383122,4326.0,10.0,10018.0,0.0,15106.0,0.1,17.7,17.7,0,tth,0,-17.7,3114.86,3114.7875,0,x,0,3114.7875
1638656042.5531702,0.6005163169391673,66.22614238179003,66.22239670795881,0,kth,0,224.4667456738312,4274.0,9.0,9072.0,0.0,15107.0,0.1,17.8,17.8,0,tth,0,-17.8,3109.763,3109.775,0,x,0,3109.775
1638656043.717939,0.47962962962962963,66.26814238179003,66.27239670795882,0,kth,0,224.4167456738312,4282.0,10.0,7252.0,0.0,15120.0,0.1,17.900000000000002,17.9,0,tth,0,-17.9,3104.755,3104.7625,0,x,0,3104.7625
1638656044.8781974,0.6519216823785352,66.32414238179001,66.32239670795883,0,kth,0,224.3667456738312,4192.0,9.0,9889.0,0.0,15169.0,0.1,18.0,18.0,0,tth,0,-18.0,3099.771,3099.75,0,x,0,3099.75
1638656046.1742916,0.7285327701141839,66.36914238179003,66.37239670795881,0,kth,0,224.3167456738312,4269.0,10.0,11038.0,0.0,15151.0,0.1,18.1,18.1,0,tth,0,-18.1,3094.6710000000003,3094.7375,0,x,0,3094.7375
1638656047.4141085,0.9918844022169437,66.42014238179001,66.4223967079588,0,kth,0,224.26674567383122,4245.0,10.0,15033.0,0.0,15156.0,0.1,18.2,18.2,0,tth,0,-18.2,3089.818,3089.725,0,x,0,3089.725
1638656048.606475,1.501548803796217,66.47514238179002,66.47239670795881,0,kth,0,224.2167456738312,4149.0,9.0,22783.0,0.0,15173.0,0.1,18.3,18.3,0,tth,0,-18.3,3084.616,3084.7125,0,x,0,3084.7125
1638656049.8590639,1.3734653465346536,66.51914238179,66.52239670795882,0,kth,0,224.1667456738312,4286.0,9.0,20808.0,0.0,15150.0,0.1,18.400000000000002,18.4,0,tth,0,-18.4,3079.755,3079.7,0,x,0,3079.7
1638656051.0789483,1.900758825470142,66.57714238179003,66.57239670795883,0,kth,0,224.1167456738312,4146.0,9.0,28806.0,0.0,15155.0,0.1,18.5,18.5,0,tth,0,-18.5,3074.699,3074.6875,0,x,0,3074.6875
1638656052.2735293,1.8008712296218072,66.62614238179,66.62239670795881,0,kth,0,224.0667456738312,4144.0,10.0,27285.0,0.0,15151.0,0.1,18.6,18.6,0,tth,0,-18.6,3069.669,3069.675,0,x,0,3069.675
1638656053.4647667,1.9067941952506597,66.67614238179002,66.6723967079588,0,kth,0,224.01674567383122,4261.0,10.0,28907.0,0.0,15160.0,0.1,18.7,18.7,0,tth,0,-18.7,3064.75,3064.6625,0,x,0,3064.6625
1638656054.6853495,1.286327608982827,66.71814238179002,66.72239670795881,0,kth,0,223.9667456738312,4213.0,10.0,19475.0,0.0,15140.0,0.1,18.8,18.8,0,tth,0,-18.8,3059.717,3059.65,0,x,0,3059.65
1638656055.8660786,1.2653452262966634,66.77414238179003,66.77239670795882,0,kth,0,223.9167456738312,4163.0,10.0,19151.0,0.0,15135.0,0.1,18.900000000000002,18.9,0,tth,0,-18.9,3054.597,3054.6375,0,x,0,3054.6375
1638656057.6883228,0.7164553618594823,66.81914238179002,66.82239670795883,0,kth,0,223.8667456738312,4092.0,10.0,10850.0,0.0,15144.0,0.1,19.0,19.0,0,tth,0,-19.0,3049.558,3049.625,0,x,0,3049.625
1638656059.2757955,0.9023504555658259,66.87714238179001,66.87239670795881,0,kth,0,223.8167456738312,4178.0,10.0,13667.0,0.0,15146.0,0.1,19.1,19.1,0,tth,0,-19.1,3044.661,3044.6125,0,x,0,3044.6125
1638656060.607339,0.45541022592152197,66.91914238179001,66.9223967079588,0,kth,0,223.76674567383122,4126.0,9.0,6894.0,0.0,15138.0,0.1,19.2,19.2,0,tth,0,-19.2,3039.587,3039.6,0,x,0,3039.6
1638656061.8137314,0.34694686756542426,66.97014238179003,66.97239670795881,0,kth,0,223.7167456738312,4109.0,10.0,5250.0,0.0,15132.0,0.1,19.3,19.3,0,tth,0,-19.3,3034.612,3034.5875,0,x,0,3034.5875
1638656063.0103729,0.3283739998677511,67.02114238179001,67.02239670795882,0,kth,0,223.6667456738312,4117.0,9.0,4966.0,0.0,15123.0,0.1,19.400000000000002,19.4,0,tth,0,-19.4,3029.614,3029.575,0,x,0,3029.575
1638656064.2403963,0.39435409229141877,67.07314238179,67.07239670795883,0,kth,0,223.6167456738312,4039.0,10.0,5965.0,0.0,15126.0,0.1,19.5,19.5,0,tth,0,-19.5,3024.565,3024.5625,0,x,0,3024.5625
1638656065.497848,0.3977648459198519,67.11814238179002,67.12239670795881,0,kth,0,223.5667456738312,4015.0,10.0,6015.0,0.0,15122.0,0.1,19.6,19.6,0,tth,0,-19.6,3019.547,3019.55,0,x,0,3019.55
1638656066.6638093,0.6582462637217299,67.17314238179003,67.1723967079588,0,kth,0,223.51674567383122,4069.0,10.0,9954.0,0.0,15122.0,0.1,19.7,19.7,0,tth,0,-19.7,3014.561,3014.5375,0,x,0,3014.5375
1638656067.8551953,0.8136366642417829,67.22114238179,67.22239670795881,0,kth,0,223.4667456738312,4216.0,10.0,12303.0,0.0,15121.0,0.1,19.8,19.8,0,tth,0,-19.8,3009.558,3009.525,0,x,0,3009.525
1638656069.0755644,1.0954079947142386,67.27514238179,67.27239670795882,0,kth,0,223.4167456738312,4057.0,9.0,16579.0,0.0,15135.0,0.1,19.900000000000002,19.9,0,tth,0,-19.9,3004.58,3004.5125,0,x,0,3004.5125
1638656070.2479277,0.9302956153693539,67.31814238179001,67.32239670795883,0,kth,0,223.3667456738312,4068.0,10.0,14067.0,0.0,15121.0,0.1,20.0,20.0,0,tth,0,-20.0,2999.707,2999.5,0,x,0,2999.5
