time,kappa_motors_m4,kappa_motors_m4_user_setpoint,kappa_motors_m4_sync,kappa_motors_m4_desc,kappa_motors_m4_homf,kappa_motors_m4_dval,D3,scaler_time
1638590215.1190171,-1249.997,-1250.0,0,z,0,-1250.0,21548.0,0.1
1638590215.6115592,-1200.001,-1200.0,0,z,0,-1200.0,21518.0,0.1
1638590216.0941806,-1149.9950000000001,-1150.0,0,z,0,-1150.0,21508.0,0.1
1638590216.5468345,-1100.006,-1100.0,0,z,0,-1100.0,21537.0,0.1
1638590217.0321445,-1049.998,-1050.0,0,z,0,-1050.0,21490.0,0.1
1638590217.4989538,-1000.0020000000001,-1000.0,0,z,0,-1000.0,21496.0,0.1
1638590217.968988,-950.005,-950.0,0,z,0,-950.0,21468.0,0.1
1638590218.4445105,-900.0,-900.0,0,z,0,-900.0,21490.0,0.1
1638590218.9157913,-850.003,-850.0,0,z,0,-850.0,21480.0,0.1
1638590219.3840861,-799.999,-800.0,0,z,0,-800.0,21430.0,0.1
1638590219.850901,-750.004,-750.0,0,z,0,-750.0,21370.0,0.1
1638590220.334731,-700.0,-700.0,0,z,0,-700.0,21280.0,0.1
1638590220.808488,-650.0070000000001,-650.0,0,z,0,-650.0,21161.0,0.1
1638590221.2882302,-600.008,-600.0,0,z,0,-600.0,20930.0,0.1
1638590221.7563756,-549.999,-550.0,0,z,0,-550.0,20600.0,0.1
1638590222.2493327,-499.999,-500.0,0,z,0,-500.0,20183.0,0.1
1638590222.7193847,-449.997,-450.0,0,z,0,-450.0,19452.0,0.1
1638590223.1956987,-400.0,-400.0,0,z,0,-400.0,18458.0,0.1
1638590223.6794028,-349.999,-350.0,0,z,0,-350.0,17344.0,0.1
1638590224.1452827,-300.004,-300.0,0,z,0,-300.0,15932.0,0.1
1638590224.615998,-250.00300000000001,-250.0,0,z,0,-250.0,14245.0,0.1
1638590225.0885687,-200.0,-200.0,0,z,0,-200.0,12548.0,0.1
1638590225.6026607,-150.006,-150.0,0,z,0,-150.0,10799.0,0.1
1638590226.0715282,-100.008,-100.0,0,z,0,-100.0,8971.0,0.1
1638590226.5347302,-49.997,-50.0,0,z,0,-50.0,7509.0,0.1
1638590226.9959621,0.006,0.0,0,z,0,0.0,6314.0,0.1
1638590227.4732826,50.002,50.0,0,z,0,50.0,5256.0,0.1
1638590227.987804,100.001,100.0,0,z,0,100.0,4880.0,0.1
1638590228.4613018,149.998,150.0,0,z,0,150.0,4902.0,0.1
1638590228.9327626,199.998,200.0,0,z,0,200.0,5322.0,0.1
1638590229.4068973,249.996,250.0,0,z,0,250.0,6514.0,0.1
1638590229.8753223,299.996,300.0,0,z,0,300.0,7841.0,0.1
1638590230.3496048,349.991,350.0,0,z,0,350.0,9396.0,0.1
1638590230.836473,399.994,400.0,0,z,0,400.0,11290.0,0.1
1638590231.304457,449.986,450.0,0,z,0,450.0,13088.0,0.1
1638590231.7747705,499.99600000000004,500.0,0,z,0,500.0,14641.0,0.1
1638590232.3069866,549.994,550.0,0,z,0,550.0,16338.0,0.1
1638590232.7800229,599.995,600.0,0,z,0,600.0,17686.0,0.1
1638590233.246922,650.0020000000001,650.0,0,z,0,650.0,18739.0,0.1
1638590233.7121174,699.995,700.0,0,z,0,700.0,19740.0,0.1
1638590234.1838028,749.985,750.0,0,z,0,750.0,20386.0,0.1
1638590234.6555831,800.0,800.0,0,z,0,800.0,20769.0,0.1
1638590235.122608,850.0020000000001,850.0,0,z,0,850.0,21099.0,0.1
1638590235.5997307,900.006,900.0,0,z,0,900.0,21222.0,0.1
1638590236.0699346,950.0,950.0,0,z,0,950.0,21328.0,0.1
1638590236.5389712,999.993,1000.0,0,z,0,1000.0,21410.0,0.1
1638590237.0157568,1050.006,1050.0,0,z,0,1050.0,21411.0,0.1
1638590237.4818878,1099.987,1100.0,0,z,0,1100.0,21441.0,0.1
1638590237.9515157,1150.002,1150.0,0,z,0,1150.0,21459.0,0.1
1638590238.4264848,1199.998,1200.0,0,z,0,1200.0,21445.0,0.1
1638590238.9029377,1249.997,1250.0,0,z,0,1250.0,21434.0,0.1
