time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,D4calc
1638666372.955934,58.71814238179002,58.717849399333886,0,kth,0,231.97129298245613,2.0,2.0,0,tth,0,-2.0,28388.0,9.0,22275.0,0.0,24706.0,0.1,499.986,500.0,0,x,0,500.0,0.9016028495102404
1638666374.2251563,58.76614238179002,58.76784939933387,0,kth,0,231.92129298245615,2.1,2.1,0,tth,0,-2.1,23486.0,9.0,22345.0,0.0,24726.0,0.1,505.012,505.02777777777777,0,x,0,505.02777777777777,0.9037046024427728
1638666375.4429147,58.82214238179,58.81784939933388,0,kth,0,231.87129298245614,2.2,2.2,0,tth,0,-2.2,23684.0,9.0,21150.0,0.0,24723.0,0.1,510.056,510.05555555555554,0,x,0,510.05555555555554,0.8554787040407718
1638666376.6509671,58.86414238179,58.86784939933386,0,kth,0,231.82129298245616,2.3000000000000003,2.3,0,tth,0,-2.3,23847.0,9.0,22165.0,0.0,24732.0,0.1,515.095,515.0833333333334,0,x,0,515.0833333333334,0.8962073427138929
1638666377.9663393,58.916142381790024,58.917849399333875,0,kth,0,231.77129298245615,2.4,2.4,0,tth,0,-2.4,24009.0,9.0,21310.0,0.0,24714.0,0.1,520.09,520.1111111111111,0,x,0,520.1111111111111,0.862264303633568
1638666379.1289387,58.96514238179,58.967849399333886,0,kth,0,231.72129298245613,2.5,2.5,0,tth,0,-2.5,24464.0,9.0,20668.0,0.0,24689.0,0.1,525.133,525.1388888888889,0,x,0,525.1388888888889,0.8371339462918709
1638666380.3934355,59.01714238179002,59.01784939933387,0,kth,0,231.67129298245615,2.6,2.6,0,tth,0,-2.6,24907.0,9.0,19912.0,0.0,24749.0,0.1,530.171,530.1666666666666,0,x,0,530.1666666666666,0.8045577599094913
1638666381.6042624,59.06814238179001,59.06784939933388,0,kth,0,231.62129298245614,2.7,2.7,0,tth,0,-2.7,25389.0,10.0,18755.0,0.0,24739.0,0.1,535.158,535.1944444444445,0,x,0,535.1944444444445,0.7581147176522899
1638666382.946431,59.11514238179001,59.11784939933386,0,kth,0,231.57129298245616,2.8000000000000003,2.8,0,tth,0,-2.8,25722.0,9.0,18592.0,0.0,24726.0,0.1,540.186,540.2222222222222,0,x,0,540.2222222222222,0.7519210547601715
1638666384.211927,59.164142381790015,59.167849399333875,0,kth,0,231.52129298245615,2.9,2.9,0,tth,0,-2.9,26431.0,9.0,17738.0,0.0,24703.0,0.1,545.235,545.25,0,x,0,545.25,0.7180504392179088
1638666385.4983153,59.21314238179002,59.217849399333886,0,kth,0,231.47129298245613,3.0,3.0,0,tth,0,-3.0,26906.0,9.0,17098.0,0.0,24687.0,0.1,550.248,550.2777777777778,0,x,0,550.2777777777778,0.6925912423542755
1638666386.749702,59.27214238179002,59.26784939933387,0,kth,0,231.42129298245615,3.1,3.1,0,tth,0,-3.1,27675.0,10.0,14596.0,0.0,24700.0,0.1,555.333,555.3055555555555,0,x,0,555.3055555555555,0.5909311740890688
1638666388.058997,59.315142381790025,59.31784939933388,0,kth,0,231.37129298245614,3.2,3.2,0,tth,0,-3.2,28274.0,9.0,15354.0,0.0,24706.0,0.1,560.294,560.3333333333334,0,x,0,560.3333333333334,0.6214684691977658
1638666389.4167445,59.37114238179001,59.36784939933386,0,kth,0,231.32129298245616,3.3000000000000003,3.3,0,tth,0,-3.3,28741.0,9.0,13782.0,0.0,24690.0,0.1,565.369,565.3611111111111,0,x,0,565.3611111111111,0.5582017010935602
1638666390.900801,59.422142381790025,59.417849399333875,0,kth,0,231.27129298245615,3.4,3.4000000000000004,0,tth,0,-3.4000000000000004,29111.0,9.0,12592.0,0.0,24719.0,0.1,570.421,570.3888888888889,0,x,0,570.3888888888889,0.5094057202961285
1638666392.2455263,59.46614238179001,59.467849399333886,0,kth,0,231.22129298245613,3.5,3.5,0,tth,0,-3.5,29416.0,9.0,13064.0,0.0,24705.0,0.1,575.419,575.4166666666666,0,x,0,575.4166666666666,0.5287998380894555
1638666393.5061057,59.51714238179002,59.51784939933387,0,kth,0,231.17129298245615,3.6,3.6,0,tth,0,-3.6,29744.0,9.0,11858.0,0.0,24689.0,0.1,580.4010000000001,580.4444444444445,0,x,0,580.4444444444445,0.4802948681599093
1638666394.740925,59.56614238179,59.56784939933388,0,kth,0,231.12129298245614,3.7,3.7,0,tth,0,-3.7,29908.0,8.0,10903.0,0.0,24702.0,0.1,585.472,585.4722222222222,0,x,0,585.4722222222222,0.4413812646749251
1638666395.9996436,59.61614238179001,59.61784939933386,0,kth,0,231.07129298245616,3.8000000000000003,3.8,0,tth,0,-3.8,30112.0,9.0,9909.0,0.0,24692.0,0.1,590.505,590.5,0,x,0,590.5,0.40130406609428154
1638666397.3060179,59.664142381790015,59.667849399333875,0,kth,0,231.02129298245615,3.9,3.9000000000000004,0,tth,0,-3.9000000000000004,30115.0,9.0,9088.0,0.0,24726.0,0.1,595.497,595.5277777777778,0,x,0,595.5277777777778,0.3675483296934401
1638666398.8164,59.72114238179,59.717849399333886,0,kth,0,230.97129298245613,4.0,4.0,0,tth,0,-4.0,30156.0,9.0,7581.0,0.0,24706.0,0.1,600.581,600.5555555555555,0,x,0,600.5555555555555,0.30684853881648183
1638666400.1474237,59.76414238179001,59.76784939933387,0,kth,0,230.92129298245615,4.1,4.1,0,tth,0,-4.1,30176.0,9.0,7754.0,0.0,24674.0,0.1,605.578,605.5833333333334,0,x,0,605.5833333333334,0.314257923320094
1638666401.6267824,59.821142381790025,59.81784939933388,0,kth,0,230.87129298245614,4.2,4.2,0,tth,0,-4.2,30046.0,9.0,6234.0,0.0,24709.0,0.1,610.588,610.6111111111111,0,x,0,610.6111111111111,0.2522967339835687
1638666402.9439895,59.86414238179,59.86784939933386,0,kth,0,230.82129298245616,4.3,4.300000000000001,0,tth,0,-4.300000000000001,29947.0,9.0,6452.0,0.0,24692.0,0.1,615.646,615.6388888888889,0,x,0,615.6388888888889,0.26129920622063824
1638666404.4919496,59.92114238179002,59.917849399333875,0,kth,0,230.77129298245615,4.4,4.4,0,tth,0,-4.4,29667.0,9.0,5051.0,0.0,24686.0,0.1,620.641,620.6666666666666,0,x,0,620.6666666666666,0.2046099003483756
1638666405.73955,59.96514238179,59.967849399333886,0,kth,0,230.72129298245613,4.5,4.5,0,tth,0,-4.5,29315.0,9.0,4783.0,0.0,24711.0,0.1,625.644,625.6944444444445,0,x,0,625.6944444444445,0.19355752498887135
1638666407.0061743,60.01814238179003,60.01784939933387,0,kth,0,230.67129298245615,4.6000000000000005,4.6,0,tth,0,-4.6,29122.0,9.0,4036.0,0.0,24703.0,0.1,630.731,630.7222222222222,0,x,0,630.7222222222222,0.16338096587459014
1638666408.393932,60.067142381790006,60.06784939933388,0,kth,0,230.62129298245614,4.7,4.7,0,tth,0,-4.7,28846.0,9.0,3467.0,0.0,24710.0,0.1,635.756,635.75,0,x,0,635.75,0.14030756778632134
1638666409.650566,60.11814238179002,60.11784939933386,0,kth,0,230.57129298245616,4.8,4.800000000000001,0,tth,0,-4.800000000000001,28828.0,10.0,2921.0,0.0,24687.0,0.1,640.747,640.7777777777778,0,x,0,640.7777777777778,0.11832138372422732
1638666410.8920584,60.16514238179002,60.167849399333875,0,kth,0,230.52129298245615,4.9,4.9,0,tth,0,-4.9,28794.0,9.0,2571.0,0.0,24700.0,0.1,645.768,645.8055555555555,0,x,0,645.8055555555555,0.10408906882591093
1638666412.1921966,60.214142381790026,60.217849399333886,0,kth,0,230.47129298245613,5.0,5.0,0,tth,0,-5.0,28630.0,9.0,2280.0,0.0,24673.0,0.1,650.842,650.8333333333334,0,x,0,650.8333333333334,0.09240870587281644
1638666413.452353,60.271142381790014,60.26784939933387,0,kth,0,230.42129298245615,5.1000000000000005,5.1,0,tth,0,-5.1,28324.0,10.0,1589.0,0.0,24619.0,0.1,655.854,655.8611111111111,0,x,0,655.8611111111111,0.06454364515211829
1638666414.7348416,60.313142381790016,60.31784939933388,0,kth,0,230.37129298245614,5.2,5.2,0,tth,0,-5.2,28301.0,8.0,1494.0,0.0,24635.0,0.1,660.896,660.8888888888889,0,x,0,660.8888888888889,0.06064542317840471
1638666415.9452326,60.36714238179002,60.36784939933386,0,kth,0,230.32129298245616,5.3,5.300000000000001,0,tth,0,-5.300000000000001,27926.0,9.0,1112.0,0.0,24670.0,0.1,665.89,665.9166666666666,0,x,0,665.9166666666666,0.045074989866234295
1638666417.2649596,60.422142381790025,60.417849399333875,0,kth,0,230.27129298245615,5.4,5.4,0,tth,0,-5.4,27548.0,9.0,803.0,0.0,24646.0,0.1,670.927,670.9444444444445,0,x,0,670.9444444444445,0.03258135194352025
1638666418.6122227,60.47214238179001,60.467849399333886,0,kth,0,230.22129298245613,5.5,5.5,0,tth,0,-5.5,27419.0,8.0,637.0,0.0,24653.0,0.1,675.966,675.9722222222222,0,x,0,675.9722222222222,0.025838640327749157
1638666420.0813482,60.515142381790014,60.51784939933387,0,kth,0,230.17129298245615,5.6000000000000005,5.6,0,tth,0,-5.6,27366.0,10.0,565.0,0.0,24665.0,0.1,681.021,681.0,0,x,0,681.0,0.022906953172511655
1638666421.2816105,60.565142381790025,60.56784939933388,0,kth,0,230.12129298245614,5.7,5.7,0,tth,0,-5.7,27432.0,9.0,482.0,0.0,24670.0,0.1,686.029,686.0277777777778,0,x,0,686.0277777777778,0.01953790028374544
1638666422.465921,60.620142381790004,60.61784939933386,0,kth,0,230.07129298245616,5.8,5.800000000000001,0,tth,0,-5.800000000000001,27301.0,9.0,386.0,0.0,24636.0,0.1,691.046,691.0555555555555,0,x,0,691.0555555555555,0.015668127942847866
1638666423.7334547,60.66514238179002,60.667849399333875,0,kth,0,230.02129298245615,5.9,5.9,0,tth,0,-5.9,26730.0,9.0,363.0,0.0,24417.0,0.1,696.014,696.0833333333334,0,x,0,696.0833333333334,0.014866691239710038
1638666425.0275657,60.71714238179001,60.717849399333886,0,kth,0,229.97129298245613,6.0,6.0,0,tth,0,-6.0,27541.0,9.0,322.0,0.0,24695.0,0.1,701.0740000000001,701.1111111111111,0,x,0,701.1111111111111,0.013039076736181413
1638666426.3041203,60.76814238179003,60.76784939933387,0,kth,0,229.92129298245615,6.1000000000000005,6.1000000000000005,0,tth,0,-6.1000000000000005,27262.0,9.0,280.0,0.0,24709.0,0.1,706.15,706.1388888888889,0,x,0,706.1388888888889,0.011331903355052814
1638666427.4588418,60.815142381790025,60.81784939933388,0,kth,0,229.87129298245614,6.2,6.2,0,tth,0,-6.2,26891.0,9.0,269.0,0.0,24702.0,0.1,711.0790000000001,711.1666666666666,0,x,0,711.1666666666666,0.010889806493401344
1638666428.7453973,60.86714238179002,60.86784939933386,0,kth,0,229.82129298245616,6.3,6.3,0,tth,0,-6.3,26357.0,9.0,246.0,0.0,24724.0,0.1,716.1800000000001,716.1944444444445,0,x,0,716.1944444444445,0.009949846303187187
1638666429.9439552,60.91914238179001,60.917849399333875,0,kth,0,229.77129298245615,6.4,6.4,0,tth,0,-6.4,25888.0,9.0,233.0,0.0,24691.0,0.1,721.193,721.2222222222222,0,x,0,721.2222222222222,0.009436636831234052
1638666431.195247,60.96614238179001,60.967849399333886,0,kth,0,229.72129298245613,6.5,6.5,0,tth,0,-6.5,25532.0,8.0,252.0,0.0,24696.0,0.1,726.259,726.25,0,x,0,726.25,0.01020408163265306
1638666432.4080753,61.01414238179001,61.01784939933387,0,kth,0,229.67129298245615,6.6000000000000005,6.6000000000000005,0,tth,0,-6.6000000000000005,25116.0,9.0,301.0,0.0,24681.0,0.1,731.239,731.2777777777778,0,x,0,731.2777777777778,0.012195616060937563
