time,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638752090.7411203,21.0,10.0,8.0,0.0,1007.0,0.1,-0.185,-0.185,0,tth,0,0.185
1638752091.5538087,17.0,10.0,8.0,0.0,1005.0,0.1,-0.17500000000000002,-0.175,0,tth,0,0.175
1638752092.2741904,19.0,11.0,10.0,0.0,1007.0,0.1,-0.165,-0.165,0,tth,0,0.165
1638752093.1589744,30.0,10.0,10.0,0.0,1006.0,0.1,-0.155,-0.155,0,tth,0,0.155
1638752093.8908148,16.0,11.0,15.0,0.0,1011.0,0.1,-0.145,-0.145,0,tth,0,0.145
1638752094.6809409,35.0,10.0,32.0,0.0,1012.0,0.1,-0.135,-0.135,0,tth,0,0.135
1638752095.4445827,27.0,11.0,98.0,0.0,1010.0,0.1,-0.125,-0.125,0,tth,0,0.125
1638752096.2656753,44.0,10.0,185.0,0.0,1009.0,0.1,-0.115,-0.11499999999999999,0,tth,0,0.11499999999999999
1638752097.0245433,33.0,10.0,307.0,0.0,1009.0,0.1,-0.105,-0.10499999999999998,0,tth,0,0.10499999999999998
1638752097.7770169,7.0,10.0,476.0,0.0,1007.0,0.1,-0.095,-0.095,0,tth,0,0.095
1638752098.5231311,7.0,10.0,690.0,0.0,1007.0,0.1,-0.085,-0.08499999999999999,0,tth,0,0.08499999999999999
1638752099.2881794,49.0,10.0,991.0,0.0,1008.0,0.1,-0.075,-0.07500000000000001,0,tth,0,0.07500000000000001
1638752100.0636575,17.0,10.0,1321.0,0.0,1007.0,0.1,-0.065,-0.065,0,tth,0,0.065
1638752100.8514519,31.0,10.0,1747.0,0.0,1010.0,0.1,-0.055,-0.05499999999999999,0,tth,0,0.05499999999999999
1638752101.6318214,16.0,10.0,2238.0,0.0,1009.0,0.1,-0.045,-0.044999999999999984,0,tth,0,0.044999999999999984
1638752102.3668213,33.0,9.0,2823.0,0.0,1009.0,0.1,-0.035,-0.035,0,tth,0,0.035
1638752103.1703014,41.0,9.0,3406.0,0.0,1007.0,0.1,-0.025,-0.024999999999999994,0,tth,0,0.024999999999999994
1638752103.9446461,15.0,10.0,3942.0,0.0,1008.0,0.1,-0.015,-0.014999999999999986,0,tth,0,0.014999999999999986
1638752104.7059274,28.0,10.0,4448.0,0.0,1010.0,0.1,-0.005,-0.0050000000000000044,0,tth,0,0.0050000000000000044
1638752105.4902003,36.0,10.0,4940.0,0.0,1009.0,0.1,0.005,0.0050000000000000044,0,tth,0,-0.0050000000000000044
1638752106.2307355,31.0,10.0,5378.0,0.0,1008.0,0.1,0.015,0.015000000000000013,0,tth,0,-0.015000000000000013
1638752106.956787,33.0,10.0,5749.0,0.0,1007.0,0.1,0.025,0.024999999999999994,0,tth,0,-0.024999999999999994
1638752107.6748326,16.0,10.0,6057.0,0.0,1006.0,0.1,0.035,0.035,0,tth,0,-0.035
1638752108.4800277,23.0,10.0,6257.0,0.0,1003.0,0.1,0.045,0.04500000000000001,0,tth,0,-0.04500000000000001
1638752109.3108442,15.0,10.0,6379.0,0.0,1006.0,0.1,0.055,0.05499999999999999,0,tth,0,-0.05499999999999999
1638752110.0156069,22.0,10.0,6447.0,0.0,1004.0,0.1,0.065,0.065,0,tth,0,-0.065
1638752110.7572126,25.0,10.0,6376.0,0.0,1005.0,0.1,0.075,0.07500000000000001,0,tth,0,-0.07500000000000001
1638752111.47909,31.0,11.0,6278.0,0.0,1006.0,0.1,0.085,0.08500000000000002,0,tth,0,-0.08500000000000002
1638752112.1937785,28.0,10.0,6028.0,0.0,1003.0,0.1,0.095,0.09500000000000003,0,tth,0,-0.09500000000000003
1638752112.9550526,26.0,10.0,5775.0,0.0,1004.0,0.1,0.105,0.10499999999999998,0,tth,0,-0.10499999999999998
1638752113.699337,27.0,10.0,5399.0,0.0,1004.0,0.1,0.115,0.11499999999999999,0,tth,0,-0.11499999999999999
1638752114.4842865,24.0,10.0,4964.0,0.0,1005.0,0.1,0.125,0.125,0,tth,0,-0.125
1638752115.269901,0.0,10.0,4507.0,0.0,1006.0,0.1,0.135,0.135,0,tth,0,-0.135
1638752116.037925,12.0,10.0,3974.0,0.0,1007.0,0.1,0.145,0.14500000000000002,0,tth,0,-0.14500000000000002
1638752116.891902,13.0,10.0,3403.0,0.0,1004.0,0.1,0.155,0.15500000000000003,0,tth,0,-0.15500000000000003
1638752117.6798556,23.0,11.0,2871.0,0.0,1007.0,0.1,0.165,0.16500000000000004,0,tth,0,-0.16500000000000004
1638752118.4421377,34.0,9.0,2345.0,0.0,1008.0,0.1,0.17500000000000002,0.175,0,tth,0,-0.175
1638752119.257428,9.0,10.0,1902.0,0.0,1009.0,0.1,0.185,0.185,0,tth,0,-0.185
1638752120.0027256,17.0,10.0,1506.0,0.0,1007.0,0.1,0.195,0.195,0,tth,0,-0.195
1638752120.7327287,36.0,9.0,1194.0,0.0,1009.0,0.1,0.20500000000000002,0.20500000000000002,0,tth,0,-0.20500000000000002
1638752121.5160122,7.0,10.0,912.0,0.0,1010.0,0.1,0.215,0.21500000000000002,0,tth,0,-0.21500000000000002
1638752122.271006,24.0,11.0,704.0,0.0,1009.0,0.1,0.225,0.22500000000000003,0,tth,0,-0.22500000000000003
1638752122.9964728,10.0,9.0,528.0,0.0,1010.0,0.1,0.23500000000000001,0.235,0,tth,0,-0.235
1638752123.748244,36.0,10.0,403.0,0.0,1009.0,0.1,0.245,0.245,0,tth,0,-0.245
1638752124.497107,16.0,10.0,306.0,0.0,1009.0,0.1,0.255,0.255,0,tth,0,-0.255
1638752125.2888598,18.0,11.0,239.0,0.0,1008.0,0.1,0.265,0.265,0,tth,0,-0.265
1638752126.0426369,18.0,10.0,185.0,0.0,1009.0,0.1,0.275,0.275,0,tth,0,-0.275
1638752126.7731988,3.0,10.0,149.0,0.0,1009.0,0.1,0.28500000000000003,0.28500000000000003,0,tth,0,-0.28500000000000003
1638752127.561399,14.0,10.0,123.0,0.0,1004.0,0.1,0.295,0.295,0,tth,0,-0.295
1638752128.286114,43.0,10.0,103.0,0.0,1006.0,0.1,0.305,0.305,0,tth,0,-0.305
1638752129.092022,21.0,9.0,88.0,0.0,1004.0,0.1,0.315,0.315,0,tth,0,-0.315
