time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,D4calc,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638569731.3060627,58.32214238179,58.32239670795883,0,kth,0,232.3667456738312,9173.0,9.0,30411.0,0.0,18083.0,0.1,1.681745285627385,2.0,2.0,0,tth,0,-2.0
1638569732.8581574,58.47814238179001,58.47391185947396,0,kth,0,232.21523052231606,8954.0,10.0,33848.0,0.0,18086.0,0.1,1.8715028198606658,2.303,2.303030303030303,0,tth,0,-2.303030303030303
1638569734.5541048,58.63014238179002,58.625427010989114,0,kth,0,232.0637153708009,9849.0,9.0,36253.0,0.0,18097.0,0.1,2.003260208874399,2.606,2.606060606060606,0,tth,0,-2.606060606060606
1638569736.1005747,58.773142381790024,58.77694216250427,0,kth,0,231.91220021928575,10954.0,10.0,37001.0,0.0,18086.0,0.1,2.0458365586641603,2.91,2.909090909090909,0,tth,0,-2.909090909090909
1638569737.6520875,58.926142381790015,58.928457314019425,0,kth,0,231.7606850677706,12177.0,10.0,37755.0,0.0,18065.0,0.1,2.0899529476889014,3.212,3.212121212121212,0,tth,0,-3.212121212121212
1638569739.0934434,59.075142381790016,59.07997246553458,0,kth,0,231.60916991625544,13352.0,10.0,37652.0,0.0,18082.0,0.1,2.0822917818825353,3.516,3.515151515151515,0,tth,0,-3.515151515151515
1638569740.6025054,59.23514238179001,59.23148761704971,0,kth,0,231.4576547647403,14614.0,10.0,38448.0,0.0,18076.0,0.1,2.127019252046913,3.818,3.8181818181818183,0,tth,0,-3.8181818181818183
1638569742.2940216,59.38614238179002,59.38300276856489,0,kth,0,231.30613961322513,15526.0,10.0,35349.0,0.0,18076.0,0.1,1.9555764549679133,4.122,4.121212121212121,0,tth,0,-4.121212121212121
1638569743.7348802,59.53014238179003,59.53451792008002,0,kth,0,231.15462446171,16129.0,10.0,28724.0,0.0,18085.0,0.1,1.5882775781034006,4.424,4.424242424242424,0,tth,0,-4.424242424242424
1638569745.5959435,59.68914238179002,59.686033071595176,0,kth,0,231.00310931019484,16356.0,10.0,23201.0,0.0,18078.0,0.1,1.2833831176015047,4.727,4.7272727272727275,0,tth,0,-4.7272727272727275
1638569747.442559,59.83514238179001,59.83754822311033,0,kth,0,230.8515941586797,15865.0,11.0,15702.0,0.0,18072.0,0.1,0.8688579017264276,5.031,5.03030303030303,0,tth,0,-5.03030303030303
1638569748.9847257,59.98414238179001,59.98906337462549,0,kth,0,230.70007900716453,15258.0,10.0,9156.0,0.0,18087.0,0.1,0.5062199369713054,5.333,5.333333333333334,0,tth,0,-5.333333333333334
1638569750.5107908,60.13914238179001,60.140578526140644,0,kth,0,230.54856385564938,14874.0,9.0,6920.0,0.0,18060.0,0.1,0.3831672203765227,5.636,5.636363636363637,0,tth,0,-5.636363636363637
1638569752.127999,60.295142381790015,60.29209367765577,0,kth,0,230.39704870413425,15331.0,10.0,5679.0,0.0,18074.0,0.1,0.31420825495186455,5.939,5.9393939393939394,0,tth,0,-5.9393939393939394
1638569754.0818484,60.44714238179,60.443608829170955,0,kth,0,230.24553355261907,14370.0,11.0,2742.0,0.0,18056.0,0.1,0.15186087727071335,6.242,6.242424242424242,0,tth,0,-6.242424242424242
1638569755.833202,60.59814238179001,60.59512398068608,0,kth,0,230.09401840110394,14086.0,11.0,3396.0,0.0,18060.0,0.1,0.18803986710963455,6.546,6.545454545454546,0,tth,0,-6.545454545454546
1638569757.760897,60.74814238179002,60.74663913220124,0,kth,0,229.94250324958878,14667.0,10.0,3900.0,0.0,18060.0,0.1,0.2159468438538206,6.848,6.848484848484849,0,tth,0,-6.848484848484849
1638569759.2662528,60.894142381790004,60.898154283716394,0,kth,0,229.79098809807363,13886.0,10.0,1618.0,0.0,18067.0,0.1,0.0895555432556595,7.151,7.151515151515151,0,tth,0,-7.151515151515151
1638569760.6186225,61.047142381790025,61.04966943523155,0,kth,0,229.63947294655847,12835.0,10.0,1027.0,0.0,18076.0,0.1,0.05681566718300509,7.454,7.454545454545455,0,tth,0,-7.454545454545455
1638569762.025076,61.19914238179001,61.201184586746706,0,kth,0,229.48795779504331,12692.0,10.0,1262.0,0.0,18074.0,0.1,0.0698240566559699,7.758,7.757575757575758,0,tth,0,-7.757575757575758
1638569763.698318,61.34814238179001,61.35269973826183,0,kth,0,229.3364426435282,12453.0,11.0,894.0,0.0,18068.0,0.1,0.04947974319238432,8.061,8.06060606060606,0,tth,0,-8.06060606060606
1638569765.4754815,61.509142381790014,61.50421488977699,0,kth,0,229.18492749201303,11706.0,10.0,741.0,0.0,18125.0,0.1,0.04088275862068966,8.364,8.363636363636363,0,tth,0,-8.363636363636363
1638569767.6079025,61.65114238179001,61.655730041292145,0,kth,0,229.03341234049788,11369.0,10.0,862.0,0.0,18135.0,0.1,0.047532395919492695,8.667,8.666666666666668,0,tth,0,-8.666666666666668
1638569769.2193184,61.81214238179001,61.8072451928073,0,kth,0,228.88189718898272,11271.0,10.0,1158.0,0.0,18117.0,0.1,0.06391786719655572,8.97,8.969696969696969,0,tth,0,-8.969696969696969
1638569770.675353,61.95514238179001,61.95876034432246,0,kth,0,228.73038203746756,11205.0,9.0,929.0,0.0,18116.0,0.1,0.05128063590196511,9.273,9.272727272727273,0,tth,0,-9.272727272727273
1638569772.144775,62.10614238179002,62.11027549583761,0,kth,0,228.5788668859524,10929.0,10.0,671.0,0.0,18103.0,0.1,0.03706567972159311,9.576,9.575757575757576,0,tth,0,-9.575757575757576
1638569773.709687,62.26614238179002,62.26179064735277,0,kth,0,228.42735173443725,10435.0,10.0,479.0,0.0,18112.0,0.1,0.026446554770318022,9.879,9.878787878787879,0,tth,0,-9.878787878787879
1638569775.3322737,62.41714238179003,62.413305798867896,0,kth,0,228.27583658292212,10068.0,10.0,446.0,0.0,18115.0,0.1,0.02462048026497378,10.182,10.181818181818182,0,tth,0,-10.181818181818182
1638569777.0159342,62.56814238179001,62.56482095038305,0,kth,0,228.12432143140697,9959.0,10.0,485.0,0.0,18117.0,0.1,0.02677043660650218,10.485,10.484848484848484,0,tth,0,-10.484848484848484
1638569778.7956743,62.71314238179002,62.71633610189821,0,kth,0,227.9728062798918,9898.0,10.0,454.0,0.0,18107.0,0.1,0.0250731761197327,10.788,10.787878787878789,0,tth,0,-10.787878787878789
1638569780.1844904,62.86614238179001,62.86785125341336,0,kth,0,227.82129112837666,9528.0,11.0,345.0,0.0,18100.0,0.1,0.019060773480662985,11.091000000000001,11.090909090909092,0,tth,0,-11.090909090909092
1638569781.6589282,63.015142381790014,63.01936640492852,0,kth,0,227.6697759768615,9317.0,10.0,268.0,0.0,18096.0,0.1,0.014809902740937225,11.394,11.393939393939394,0,tth,0,-11.393939393939394
1638569783.0739129,63.16714238179003,63.170881556443675,0,kth,0,227.51826082534635,9009.0,9.0,247.0,0.0,18091.0,0.1,0.01365319772262451,11.697000000000001,11.696969696969697,0,tth,0,-11.696969696969697
1638569784.729698,63.32614238179002,63.32239670795883,0,kth,0,227.3667456738312,8808.0,10.0,241.0,0.0,18102.0,0.1,0.013313446028063197,12.0,12.0,0,tth,0,-12.0
