time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,D4calc
1638667671.8681746,58.71814238179002,58.717849399333886,0,kth,0,231.97129298245613,2.0,2.0,0,tth,0,-2.0,41181.0,9.0,22787.0,0.0,45479.0,0.1,3999.993,4000.0,0,x,0,4000.0,0.5010444380923064
1638667673.1690316,58.76414238179001,58.76784939933387,0,kth,0,231.92129298245615,2.1,2.1,0,tth,0,-2.1,35598.0,8.0,22306.0,0.0,45465.0,0.1,4005.0370000000003,4005.027777777778,0,x,0,4005.027777777778,0.49061915759375346
1638667674.4076514,58.81814238179001,58.81784939933388,0,kth,0,231.87129298245614,2.2,2.2,0,tth,0,-2.2,36284.0,9.0,21345.0,0.0,45471.0,0.1,4010.0460000000003,4010.0555555555557,0,x,0,4010.0555555555557,0.46942006993468366
1638667675.6191478,58.86714238179002,58.86784939933386,0,kth,0,231.82129298245616,2.3000000000000003,2.3,0,tth,0,-2.3,37105.0,9.0,20844.0,0.0,45395.0,0.1,4015.0460000000003,4015.0833333333335,0,x,0,4015.0833333333335,0.45916951206079964
1638667676.9603179,58.91714238179003,58.917849399333875,0,kth,0,231.77129298245615,2.4,2.4,0,tth,0,-2.4,38111.0,9.0,20088.0,0.0,45420.0,0.1,4020.117,4020.1111111111113,0,x,0,4020.1111111111113,0.44227212681638045
1638667678.207734,58.96514238179,58.967849399333886,0,kth,0,231.72129298245613,2.5,2.5,0,tth,0,-2.5,39196.0,8.0,20082.0,0.0,45404.0,0.1,4025.1440000000002,4025.1388888888887,0,x,0,4025.1388888888887,0.44229583296625846
1638667679.4405196,59.01814238179003,59.01784939933387,0,kth,0,231.67129298245615,2.6,2.6,0,tth,0,-2.6,40448.0,10.0,19109.0,0.0,45393.0,0.1,4030.1510000000003,4030.1666666666665,0,x,0,4030.1666666666665,0.42096799065935275
1638667680.709557,59.07014238179002,59.06784939933388,0,kth,0,231.62129298245614,2.7,2.7,0,tth,0,-2.7,41808.0,8.0,18267.0,0.0,45432.0,0.1,4035.181,4035.1944444444443,0,x,0,4035.1944444444443,0.4020734284204966
1638667681.9789348,59.11314238179003,59.11784939933386,0,kth,0,231.57129298245616,2.8000000000000003,2.8,0,tth,0,-2.8,43056.0,9.0,19133.0,0.0,45454.0,0.1,4040.157,4040.222222222222,0,x,0,4040.222222222222,0.4209310511726141
1638667683.2345996,59.16714238179003,59.167849399333875,0,kth,0,231.52129298245615,2.9,2.9,0,tth,0,-2.9,44387.0,8.0,17799.0,0.0,45403.0,0.1,4045.2470000000003,4045.25,0,x,0,4045.25,0.3920225535757549
1638667684.448939,59.214142381790026,59.217849399333886,0,kth,0,231.47129298245613,3.0,3.0,0,tth,0,-3.0,45977.0,9.0,17438.0,0.0,45590.0,0.1,4050.17,4050.277777777778,0,x,0,4050.277777777778,0.382496161438912
1638667685.7195835,59.27214238179002,59.26784939933387,0,kth,0,231.42129298245615,3.1,3.1,0,tth,0,-3.1,47069.0,8.0,15407.0,0.0,45540.0,0.1,4055.279,4055.3055555555557,0,x,0,4055.3055555555557,0.3383179622310057
1638667687.038887,59.31414238179002,59.31784939933388,0,kth,0,231.37129298245614,3.2,3.2,0,tth,0,-3.2,48086.0,9.0,15809.0,0.0,45572.0,0.1,4060.313,4060.3333333333335,0,x,0,4060.3333333333335,0.34690160624945143
1638667688.3637803,59.37214238179001,59.36784939933386,0,kth,0,231.32129298245616,3.3000000000000003,3.3,0,tth,0,-3.3,49248.0,8.0,14115.0,0.0,45561.0,0.1,4065.3450000000003,4065.3611111111113,0,x,0,4065.3611111111113,0.3098044380061895
1638667689.7015414,59.422142381790025,59.417849399333875,0,kth,0,231.27129298245615,3.4,3.4000000000000004,0,tth,0,-3.4000000000000004,50284.0,9.0,13197.0,0.0,45564.0,0.1,4070.268,4070.3888888888887,0,x,0,4070.3888888888887,0.28963655517513825
1638667690.9691923,59.46514238179,59.467849399333886,0,kth,0,231.22129298245613,3.5,3.5,0,tth,0,-3.5,51223.0,9.0,13142.0,0.0,45570.0,0.1,4075.344,4075.4166666666665,0,x,0,4075.4166666666665,0.2883914856265087
1638667692.236783,59.515142381790014,59.51784939933387,0,kth,0,231.17129298245615,3.6,3.6,0,tth,0,-3.6,52030.0,9.0,12272.0,0.0,45555.0,0.1,4080.453,4080.4444444444443,0,x,0,4080.4444444444443,0.26938865108111076
1638667693.4609551,59.567142381790006,59.56784939933388,0,kth,0,231.12129298245614,3.7,3.7,0,tth,0,-3.7,52668.0,9.0,11291.0,0.0,45558.0,0.1,4085.448,4085.472222222222,0,x,0,4085.472222222222,0.2478379208920497
1638667694.7690072,59.61514238179001,59.61784939933386,0,kth,0,231.07129298245616,3.8000000000000003,3.8,0,tth,0,-3.8,53085.0,9.0,10484.0,0.0,45549.0,0.1,4090.498,4090.5,0,x,0,4090.5,0.23016970734813058
1638667695.9623694,59.668142381790005,59.667849399333875,0,kth,0,231.02129298245615,3.9,3.9000000000000004,0,tth,0,-3.9000000000000004,53357.0,10.0,9400.0,0.0,45553.0,0.1,4095.469,4095.527777777778,0,x,0,4095.527777777778,0.20635303931683974
1638667697.239692,59.72114238179,59.717849399333886,0,kth,0,230.97129298245613,4.0,4.0,0,tth,0,-4.0,53395.0,8.0,8342.0,0.0,45554.0,0.1,4100.528,4100.555555555556,0,x,0,4100.555555555556,0.18312332616235677
1638667698.459882,59.765142381790014,59.76784939933387,0,kth,0,230.92129298245615,4.1,4.1,0,tth,0,-4.1,53580.0,8.0,7677.0,0.0,45564.0,0.1,4105.558,4105.583333333333,0,x,0,4105.583333333333,0.16848828022122728
1638667699.9629765,59.82214238179,59.81784939933388,0,kth,0,230.87129298245614,4.2,4.2,0,tth,0,-4.2,53579.0,9.0,6387.0,0.0,45576.0,0.1,4110.573,4110.611111111111,0,x,0,4110.611111111111,0.14013954713006846
1638667701.255306,59.86314238179003,59.86784939933386,0,kth,0,230.82129298245616,4.3,4.300000000000001,0,tth,0,-4.300000000000001,53336.0,9.0,6006.0,0.0,45534.0,0.1,4115.668,4115.638888888889,0,x,0,4115.638888888889,0.13190143628936618
1638667702.5547912,59.922142381790025,59.917849399333875,0,kth,0,230.77129298245615,4.4,4.4,0,tth,0,-4.4,53254.0,9.0,4859.0,0.0,45512.0,0.1,4120.642,4120.666666666667,0,x,0,4120.666666666667,0.10676305150290033
1638667703.85298,59.96714238179001,59.967849399333886,0,kth,0,230.72129298245613,4.5,4.5,0,tth,0,-4.5,53309.0,9.0,4444.0,0.0,45531.0,0.1,4125.6900000000005,4125.694444444444,0,x,0,4125.694444444444,0.09760383035733895
1638667705.1350863,60.01714238179002,60.01784939933387,0,kth,0,230.67129298245615,4.6000000000000005,4.6,0,tth,0,-4.6,53265.0,9.0,3868.0,0.0,45533.0,0.1,4130.683,4130.722222222223,0,x,0,4130.722222222223,0.08494937737465136
1638667706.3602126,60.067142381790006,60.06784939933388,0,kth,0,230.62129298245614,4.7,4.7,0,tth,0,-4.7,53076.0,9.0,3361.0,0.0,45481.0,0.1,4135.724,4135.75,0,x,0,4135.75,0.07389899078736176
1638667707.5967255,60.11814238179002,60.11784939933386,0,kth,0,230.57129298245616,4.8,4.800000000000001,0,tth,0,-4.800000000000001,52969.0,9.0,2877.0,0.0,45491.0,0.1,4140.737,4140.777777777777,0,x,0,4140.777777777777,0.06324327889032995
1638667708.9023452,60.16514238179002,60.167849399333875,0,kth,0,230.52129298245615,4.9,4.9,0,tth,0,-4.9,53069.0,9.0,2567.0,0.0,45487.0,0.1,4145.802,4145.805555555556,0,x,0,4145.805555555556,0.05643370633367775
1638667710.0975447,60.21314238179002,60.217849399333886,0,kth,0,230.47129298245613,5.0,5.0,0,tth,0,-5.0,53022.0,9.0,2287.0,0.0,45478.0,0.1,4150.784,4150.833333333333,0,x,0,4150.833333333333,0.050288051365495405
1638667711.3275414,60.27014238179001,60.26784939933387,0,kth,0,230.42129298245615,5.1000000000000005,5.1,0,tth,0,-5.1,52675.0,10.0,1847.0,0.0,45534.0,0.1,4155.814,4155.861111111111,0,x,0,4155.861111111111,0.04056309570870119
1638667712.5290189,60.31414238179002,60.31784939933388,0,kth,0,230.37129298245614,5.2,5.2,0,tth,0,-5.2,52240.0,9.0,1639.0,0.0,45521.0,0.1,4160.861,4160.888888888889,0,x,0,4160.888888888889,0.03600536016344105
1638667713.7883906,60.36514238179001,60.36784939933386,0,kth,0,230.32129298245616,5.3,5.300000000000001,0,tth,0,-5.300000000000001,51728.0,9.0,1366.0,0.0,45462.0,0.1,4165.892,4165.916666666667,0,x,0,4165.916666666667,0.030047072280146057
1638667715.0924675,60.422142381790025,60.417849399333875,0,kth,0,230.27129298245615,5.4,5.4,0,tth,0,-5.4,51434.0,9.0,1095.0,0.0,45479.0,0.1,4170.944,4170.944444444444,0,x,0,4170.944444444444,0.024077046548956663
1638667716.4811563,60.47214238179001,60.467849399333886,0,kth,0,230.22129298245613,5.5,5.5,0,tth,0,-5.5,51219.0,9.0,918.0,0.0,45523.0,0.1,4175.962,4175.972222222223,0,x,0,4175.972222222223,0.020165630560376072
1638667717.760665,60.51414238179001,60.51784939933387,0,kth,0,230.17129298245615,5.6000000000000005,5.6,0,tth,0,-5.6,51275.0,9.0,806.0,0.0,45481.0,0.1,4180.994,4181.0,0,x,0,4181.0,0.017721685978760362
1638667719.0835998,60.569142381790016,60.56784939933388,0,kth,0,230.12129298245614,5.7,5.7,0,tth,0,-5.7,51406.0,8.0,671.0,0.0,45455.0,0.1,4186.004,4186.027777777777,0,x,0,4186.027777777777,0.014761852381476185
1638667720.3207245,60.61414238179,60.61784939933386,0,kth,0,230.07129298245616,5.8,5.800000000000001,0,tth,0,-5.800000000000001,51613.0,10.0,596.0,0.0,45439.0,0.1,4191.031,4191.055555555556,0,x,0,4191.055555555556,0.013116485838156649
1638667721.6027126,60.66914238179001,60.667849399333875,0,kth,0,230.02129298245615,5.9,5.9,0,tth,0,-5.9,51791.0,9.0,522.0,0.0,45505.0,0.1,4196.081,4196.083333333333,0,x,0,4196.083333333333,0.01147126689374794
1638667722.8491008,60.71614238179001,60.717849399333886,0,kth,0,229.97129298245613,6.0,6.0,0,tth,0,-6.0,51694.0,9.0,479.0,0.0,45563.0,0.1,4201.064,4201.111111111111,0,x,0,4201.111111111111,0.010512916181989773
1638667724.044681,60.76614238179002,60.76784939933387,0,kth,0,229.92129298245615,6.1000000000000005,6.1000000000000005,0,tth,0,-6.1000000000000005,51120.0,9.0,445.0,0.0,45507.0,0.1,4206.112,4206.138888888889,0,x,0,4206.138888888889,0.009778715362471707
1638667725.2391295,60.81814238179001,60.81784939933388,0,kth,0,229.87129298245614,6.2,6.2,0,tth,0,-6.2,50376.0,9.0,408.0,0.0,45502.0,0.1,4211.139,4211.166666666667,0,x,0,4211.166666666667,0.008966638829062458
1638667726.4582772,60.86814238179002,60.86784939933386,0,kth,0,229.82129298245616,6.3,6.3,0,tth,0,-6.3,49496.0,8.0,373.0,0.0,45546.0,0.1,4216.174,4216.194444444444,0,x,0,4216.194444444444,0.0081895226803671
1638667727.7484424,60.91714238179003,60.917849399333875,0,kth,0,229.77129298245615,6.4,6.4,0,tth,0,-6.4,48721.0,9.0,344.0,0.0,45516.0,0.1,4221.213,4221.222222222223,0,x,0,4221.222222222223,0.007557781878899728
