,1638576114.3758984,1638576180.862063
undulator_energy_setpoint,0.529501,0.529501
undulator_energy_readback,0.4971630573272705,0.4974483549594879
kappa_motors_m2,-1399.939,-1400.098
kappa_motors_m2_user_setpoint,-1400.0,-1400.0
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,-1400.0,-1400.0
mono_energy_setpoint,520.0,520.0
mono_energy,520.01481,520.00787
mono_mirror_pitch,3.6361956787109375,3.6361846923828125
mono_mirror_pitch_user_setpoint,3.6361590576171876,3.6361590576171876
mono_grating_pitch,4.928727392578125,4.928739599609375
mono_grating_pitch_user_setpoint,4.928742041015625,4.928742041015625
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,1
mono_grating_status,1,1
kappa_motors_m1,57.045182159999996,57.04511232
kappa_motors_m1_user_setpoint,57.04499999999997,57.04499999999997
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,85.26580415999997,85.26580415999997
srs_A4,2e-09,2e-09
kappa_motors_m8,66.57214238179,66.57414238179001
kappa_motors_m8_user_setpoint,66.57239670795883,66.57239670795883
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,224.1167456738312,224.1167456738312
kappa_motors_m7,134.75600000000003,134.75600000000003
kappa_motors_m7_user_setpoint,134.7559273836236,134.7559273836236
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.2059273836236,179.2059273836236
kappa_motors_m4,-219.966,-219.993
kappa_motors_m4_user_setpoint,-220.0,-220.0
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,-220.0,-220.0
centroidM3R,110.51739130434783,110.4935979199372
kappa_motors_m9,18.5,18.5
kappa_motors_m9_user_setpoint,18.5,18.5
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,-18.5,-18.5
select_detector,d4,d4
kappa_motors_m3,0.20600000000000002,0.247
kappa_motors_m3_user_setpoint,0.0,0.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,0.0,0.0
