time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,D4calc,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638746132.621652,65.35914238179001,65.35781675153791,0,kth,0,225.3313256302521,0.44337574725311424,35217.0,10.0,13276.0,0.0,29943.0,0.1,16.0,16.0,0,tth,0,-16.0,-3000.005,-3000.0,0,x,0,-3000.0
1638746133.9180405,65.40314238179002,65.4078167515379,0,kth,0,225.28132563025213,0.46032859146463634,34796.0,10.0,13785.0,0.0,29946.0,0.1,16.1,16.1,0,tth,0,-16.1,-3005.031,-3005.0208333333335,0,x,0,-3005.0208333333335
1638746135.183744,65.45714238179002,65.4578167515379,0,kth,0,225.23132563025212,0.4829956946901178,34565.0,9.0,14472.0,0.0,29963.0,0.1,16.2,16.2,0,tth,0,-16.2,-3010.004,-3010.0416666666665,0,x,0,-3010.0416666666665
1638746136.4512136,65.51214238179003,65.50781675153792,0,kth,0,225.1813256302521,0.49848257462064366,34334.0,9.0,14947.0,0.0,29985.0,0.1,16.3,16.3,0,tth,0,-16.3,-3015.0190000000002,-3015.0625,0,x,0,-3015.0625
1638746137.7376812,65.55414238179003,65.55781675153793,0,kth,0,225.1313256302521,0.5671342685370742,34185.0,9.0,16980.0,0.0,29940.0,0.1,16.4,16.4,0,tth,0,-16.4,-3020.109,-3020.0833333333335,0,x,0,-3020.0833333333335
1638746138.9676058,65.60714238179003,65.60781675153791,0,kth,0,225.0813256302521,0.5491904523451845,34025.0,9.0,16451.0,0.0,29955.0,0.1,16.5,16.5,0,tth,0,-16.5,-3025.131,-3025.1041666666665,0,x,0,-3025.1041666666665
1638746140.2043962,65.66114238179003,65.6578167515379,0,kth,0,225.03132563025213,0.5060867825100891,33880.0,10.0,15174.0,0.0,29983.0,0.1,16.6,16.6,0,tth,0,-16.6,-3030.117,-3030.125,0,x,0,-3030.125
1638746141.4305649,65.70314238179,65.7078167515379,0,kth,0,224.98132563025212,0.5160020023360588,33742.0,10.0,15462.0,0.0,29965.0,0.1,16.7,16.7,0,tth,0,-16.7,-3035.056,-3035.1458333333335,0,x,0,-3035.1458333333335
1638746142.6474204,65.75714238179,65.75781675153792,0,kth,0,224.9313256302521,0.4851693499899793,33603.0,9.0,14525.0,0.0,29938.0,0.1,16.8,16.8,0,tth,0,-16.8,-3040.1420000000003,-3040.1666666666665,0,x,0,-3040.1666666666665
1638746143.9437406,65.80714238179002,65.80781675153793,0,kth,0,224.8813256302521,0.45747555970771747,33368.0,10.0,13711.0,0.0,29971.0,0.1,16.9,16.9,0,tth,0,-16.9,-3045.138,-3045.1875,0,x,0,-3045.1875
1638746145.1494663,65.85414238179001,65.85781675153791,0,kth,0,224.8313256302521,0.45754795663052544,33151.0,9.0,13715.0,0.0,29975.0,0.1,17.0,17.0,0,tth,0,-17.0,-3050.2290000000003,-3050.2083333333335,0,x,0,-3050.2083333333335
1638746146.3893602,65.91014238179002,65.9078167515379,0,kth,0,224.78132563025213,0.4152989057912997,32939.0,10.0,12449.0,0.0,29976.0,0.1,17.1,17.1,0,tth,0,-17.1,-3055.2090000000003,-3055.2291666666665,0,x,0,-3055.2291666666665
1638746147.6863267,65.95414238179,65.9578167515379,0,kth,0,224.73132563025212,0.43530079455164583,32716.0,10.0,13039.0,0.0,29954.0,0.1,17.2,17.2,0,tth,0,-17.2,-3060.263,-3060.25,0,x,0,-3060.25
1638746148.9250662,66.00914238179001,66.00781675153792,0,kth,0,224.6813256302521,0.4105301791732008,32544.0,10.0,12304.0,0.0,29971.0,0.1,17.3,17.3,0,tth,0,-17.3,-3065.3,-3065.2708333333335,0,x,0,-3065.2708333333335
1638746150.1232343,66.05314238179002,66.05781675153793,0,kth,0,224.6313256302521,0.4350271205617118,32426.0,9.0,13073.0,0.0,30051.0,0.1,17.400000000000002,17.4,0,tth,0,-17.4,-3070.32,-3070.2916666666665,0,x,0,-3070.2916666666665
1638746151.4562688,66.10914238179001,66.10781675153791,0,kth,0,224.5813256302521,0.3988754699404465,32188.0,10.0,11989.0,0.0,30057.0,0.1,17.5,17.5,0,tth,0,-17.5,-3075.342,-3075.3125,0,x,0,-3075.3125
1638746152.672773,66.15614238179,66.1578167515379,0,kth,0,224.53132563025213,0.4043970686209194,31936.0,10.0,12140.0,0.0,30020.0,0.1,17.6,17.6,0,tth,0,-17.6,-3080.349,-3080.3333333333335,0,x,0,-3080.3333333333335
1638746153.8777764,66.20914238179,66.2078167515379,0,kth,0,224.48132563025212,0.380414187414819,31715.0,10.0,11444.0,0.0,30083.0,0.1,17.7,17.7,0,tth,0,-17.7,-3085.424,-3085.3541666666665,0,x,0,-3085.3541666666665
1638746155.0942416,66.25314238179001,66.25781675153792,0,kth,0,224.4313256302521,0.3883236917348228,31514.0,9.0,11680.0,0.0,30078.0,0.1,17.8,17.8,0,tth,0,-17.8,-3090.379,-3090.375,0,x,0,-3090.375
1638746156.3949506,66.30914238179002,66.30781675153793,0,kth,0,224.3813256302521,0.35454333566410284,31243.0,10.0,10648.0,0.0,30033.0,0.1,17.900000000000002,17.9,0,tth,0,-17.9,-3095.402,-3095.3958333333335,0,x,0,-3095.3958333333335
1638746157.6041062,66.35614238179002,66.35781675153791,0,kth,0,224.3313256302521,0.35891031405068774,31056.0,10.0,10777.0,0.0,30027.0,0.1,18.0,18.0,0,tth,0,-18.0,-3100.457,-3100.4166666666665,0,x,0,-3100.4166666666665
1638746158.8389513,66.40314238179002,66.4078167515379,0,kth,0,224.28132563025213,0.3659752692461109,30858.0,10.0,11010.0,0.0,30084.0,0.1,18.1,18.1,0,tth,0,-18.1,-3105.424,-3105.4375,0,x,0,-3105.4375
