time,kappa_motors_m4,kappa_motors_m4_user_setpoint,kappa_motors_m4_sync,kappa_motors_m4_desc,kappa_motors_m4_homf,kappa_motors_m4_dval,D3,scaler_time
1638552879.3054802,-849.831,-849.824,0,z,0,-849.824,30919.0,0.1
1638552879.590524,-839.827,-839.824,0,z,0,-839.824,30863.0,0.1
1638552879.814486,-829.846,-829.824,0,z,0,-829.824,30897.0,0.1
1638552880.0379577,-819.838,-819.824,0,z,0,-819.824,30867.0,0.1
1638552880.3196805,-809.831,-809.824,0,z,0,-809.824,30867.0,0.1
1638552880.6004915,-799.825,-799.824,0,z,0,-799.824,30818.0,0.1
1638552880.876466,-789.828,-789.824,0,z,0,-789.824,30820.0,0.1
1638552881.097162,-779.851,-779.824,0,z,0,-779.824,30780.0,0.1
1638552881.3227506,-769.838,-769.824,0,z,0,-769.824,30736.0,0.1
1638552881.5558903,-759.8340000000001,-759.824,0,z,0,-759.824,30721.0,0.1
1638552881.7747357,-749.837,-749.824,0,z,0,-749.824,30660.0,0.1
1638552882.0529213,-739.832,-739.824,0,z,0,-739.824,30607.0,0.1
1638552882.3307884,-729.826,-729.824,0,z,0,-729.824,30611.0,0.1
1638552882.562923,-719.84,-719.824,0,z,0,-719.824,30562.0,0.1
1638552882.7826667,-709.846,-709.824,0,z,0,-709.824,30511.0,0.1
1638552883.005254,-699.831,-699.824,0,z,0,-699.824,30480.0,0.1
1638552883.2282426,-689.8290000000001,-689.824,0,z,0,-689.824,30413.0,0.1
1638552883.5101447,-679.832,-679.824,0,z,0,-679.824,30268.0,0.1
1638552883.790535,-669.8340000000001,-669.824,0,z,0,-669.824,30188.0,0.1
1638552884.0670948,-659.815,-659.824,0,z,0,-659.824,30171.0,0.1
1638552884.2899675,-649.833,-649.824,0,z,0,-649.824,30130.0,0.1
1638552884.508888,-639.835,-639.824,0,z,0,-639.824,30026.0,0.1
1638552884.7838197,-629.821,-629.824,0,z,0,-629.824,29882.0,0.1
1638552885.0593047,-619.8340000000001,-619.824,0,z,0,-619.824,29741.0,0.1
1638552885.339798,-609.83,-609.824,0,z,0,-609.824,29554.0,0.1
1638552885.567651,-599.844,-599.824,0,z,0,-599.824,29371.0,0.1
1638552885.790406,-589.84,-589.824,0,z,0,-589.824,29302.0,0.1
1638552886.0132895,-579.833,-579.824,0,z,0,-579.824,29218.0,0.1
1638552886.2349207,-569.833,-569.824,0,z,0,-569.824,29062.0,0.1
1638552886.4590566,-559.825,-559.824,0,z,0,-559.824,28863.0,0.1
1638552886.6802547,-549.822,-549.824,0,z,0,-549.824,28644.0,0.1
1638552886.9566617,-539.822,-539.824,0,z,0,-539.824,28387.0,0.1
1638552887.2332368,-529.828,-529.824,0,z,0,-529.824,28130.0,0.1
1638552887.455177,-519.84,-519.824,0,z,0,-519.824,27933.0,0.1
1638552887.676792,-509.842,-509.824,0,z,0,-509.824,27782.0,0.1
1638552887.9515111,-499.819,-499.824,0,z,0,-499.824,27594.0,0.1
1638552888.2290034,-489.826,-489.824,0,z,0,-489.824,27284.0,0.1
1638552888.5074942,-479.822,-479.824,0,z,0,-479.824,26931.0,0.1
1638552888.7913764,-469.81600000000003,-469.824,0,z,0,-469.824,26710.0,0.1
1638552889.0642169,-459.82800000000003,-459.824,0,z,0,-459.824,26296.0,0.1
1638552889.2863128,-449.834,-449.824,0,z,0,-449.824,25837.0,0.1
1638552889.5623918,-439.822,-439.824,0,z,0,-439.824,25557.0,0.1
1638552889.780668,-429.84000000000003,-429.824,0,z,0,-429.824,25334.0,0.1
1638552890.0014555,-419.841,-419.824,0,z,0,-419.824,24945.0,0.1
1638552890.2235699,-409.827,-409.824,0,z,0,-409.824,24541.0,0.1
1638552890.4451323,-399.829,-399.824,0,z,0,-399.824,24038.0,0.1
1638552890.673322,-389.831,-389.824,0,z,0,-389.824,23622.0,0.1
1638552890.893933,-379.839,-379.824,0,z,0,-379.824,23003.0,0.1
1638552891.1144814,-369.817,-369.824,0,z,0,-369.824,22666.0,0.1
1638552891.3358388,-359.84000000000003,-359.824,0,z,0,-359.824,22295.0,0.1
1638552891.565712,-349.839,-349.824,0,z,0,-349.824,21954.0,0.1
1638552891.7906299,-339.843,-339.824,0,z,0,-339.824,21544.0,0.1
1638552892.0103362,-329.838,-329.824,0,z,0,-329.824,20928.0,0.1
1638552892.2321765,-319.832,-319.824,0,z,0,-319.824,20365.0,0.1
1638552892.4520352,-309.838,-309.824,0,z,0,-309.824,19764.0,0.1
1638552892.6753845,-299.834,-299.824,0,z,0,-299.824,19374.0,0.1
