time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,D4calc,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638745976.0450706,65.35814238179,65.35781675153791,0,kth,0,225.3313256302521,2.4165004653636486,36024.0,10.0,72698.0,0.0,30084.0,0.1,16.0,16.0,0,tth,0,-16.0,-2499.987,-2500.0,0,x,0,-2500.0
1638745977.3156,65.40514238179003,65.4078167515379,0,kth,0,225.28132563025213,2.4176116524226,35125.0,10.0,72700.0,0.0,30071.0,0.1,16.1,16.1,0,tth,0,-16.1,-2504.987,-2505.0208333333335,0,x,0,-2505.0208333333335
1638745978.5310814,65.45514238179001,65.4578167515379,0,kth,0,225.23132563025212,2.4163259879682255,34817.0,10.0,72700.0,0.0,30087.0,0.1,16.2,16.2,0,tth,0,-16.2,-2510.034,-2510.0416666666665,0,x,0,-2510.0416666666665
1638745979.751456,65.51214238179003,65.50781675153792,0,kth,0,225.1813256302521,2.417035140795904,34538.0,11.0,72702.0,0.0,30079.0,0.1,16.3,16.3,0,tth,0,-16.3,-2515.0570000000002,-2515.0625,0,x,0,-2515.0625
1638745981.084543,65.55414238179003,65.55781675153793,0,kth,0,225.1313256302521,2.417389858686617,34376.0,9.0,72703.0,0.0,30075.0,0.1,16.4,16.4,0,tth,0,-16.4,-2519.9900000000002,-2520.0833333333335,0,x,0,-2520.0833333333335
1638745982.3377914,65.60714238179003,65.60781675153791,0,kth,0,225.0813256302521,2.4181939131880923,34096.0,10.0,72703.0,0.0,30065.0,0.1,16.5,16.5,0,tth,0,-16.5,-2525.1440000000002,-2525.1041666666665,0,x,0,-2525.1041666666665
1638745983.5141864,65.65714238179001,65.6578167515379,0,kth,0,225.03132563025213,2.41581658082738,33994.0,10.0,72704.0,0.0,30095.0,0.1,16.6,16.6,0,tth,0,-16.6,-2530.172,-2530.125,0,x,0,-2530.125
1638745984.7049625,65.70914238179,65.7078167515379,0,kth,0,224.98132563025212,2.42080378250591,33726.0,10.0,72704.0,0.0,30033.0,0.1,16.7,16.7,0,tth,0,-16.7,-2535.1530000000002,-2535.1458333333335,0,x,0,-2535.1458333333335
1638745985.908356,65.75414238179002,65.75781675153792,0,kth,0,224.9313256302521,2.4164118585482584,33590.0,10.0,72705.0,0.0,30088.0,0.1,16.8,16.8,0,tth,0,-16.8,-2540.166,-2540.1666666666665,0,x,0,-2540.1666666666665
1638745987.1302376,65.80714238179002,65.80781675153793,0,kth,0,224.8813256302521,2.420320250341223,33357.0,10.0,72704.0,0.0,30039.0,0.1,16.9,16.9,0,tth,0,-16.9,-2545.181,-2545.1875,0,x,0,-2545.1875
