time,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638752745.8288817,14.0,10.0,233.0,0.0,9050.0,0.1,-0.25,-0.25,0,tth,0,0.25
1638752746.6515512,45.0,10.0,308.0,0.0,9030.0,0.1,-0.24,-0.24,0,tth,0,0.24
1638752747.4289498,29.0,11.0,415.0,0.0,9044.0,0.1,-0.23,-0.23,0,tth,0,0.23
1638752748.200155,43.0,10.0,557.0,0.0,9040.0,0.1,-0.22,-0.22,0,tth,0,0.22
1638752748.9651875,27.0,10.0,761.0,0.0,9080.0,0.1,-0.21,-0.21,0,tth,0,0.21
1638752749.7201247,4.0,11.0,1041.0,0.0,9072.0,0.1,-0.2,-0.2,0,tth,0,0.2
1638752750.431517,22.0,10.0,1436.0,0.0,9070.0,0.1,-0.19,-0.19,0,tth,0,0.19
1638752751.1709602,20.0,10.0,1925.0,0.0,9068.0,0.1,-0.18,-0.18,0,tth,0,0.18
1638752751.9833765,35.0,10.0,2650.0,0.0,9068.0,0.1,-0.17,-0.16999999999999998,0,tth,0,0.16999999999999998
1638752752.7277534,40.0,10.0,3459.0,0.0,9069.0,0.1,-0.16,-0.16,0,tth,0,0.16
1638752753.4752076,21.0,11.0,4592.0,0.0,9061.0,0.1,-0.15,-0.15,0,tth,0,0.15
1638752754.2457044,13.0,11.0,5875.0,0.0,9078.0,0.1,-0.14,-0.14,0,tth,0,0.14
1638752754.9547129,39.0,10.0,7488.0,0.0,9076.0,0.1,-0.13,-0.13,0,tth,0,0.13
1638752755.7500172,31.0,11.0,9185.0,0.0,9076.0,0.1,-0.11900000000000001,-0.12,0,tth,0,0.12
1638752756.5357108,29.0,10.0,11290.0,0.0,9071.0,0.1,-0.11,-0.10999999999999999,0,tth,0,0.10999999999999999
1638752757.3510554,24.0,10.0,13219.0,0.0,9067.0,0.1,-0.1,-0.1,0,tth,0,0.1
1638752758.1692073,48.0,10.0,15701.0,0.0,9076.0,0.1,-0.09,-0.09,0,tth,0,0.09
1638752758.9281135,29.0,10.0,17875.0,0.0,9067.0,0.1,-0.079,-0.07999999999999999,0,tth,0,0.07999999999999999
1638752759.7216675,24.0,11.0,20044.0,0.0,9077.0,0.1,-0.07,-0.07,0,tth,0,0.07
1638752760.5508718,40.0,9.0,22207.0,0.0,9066.0,0.1,-0.06,-0.06,0,tth,0,0.06
1638752761.2722218,50.0,11.0,24145.0,0.0,9082.0,0.1,-0.05,-0.04999999999999999,0,tth,0,0.04999999999999999
1638752762.0817995,27.0,10.0,25895.0,0.0,9062.0,0.1,-0.04,-0.04000000000000001,0,tth,0,0.04000000000000001
1638752762.8185103,40.0,10.0,27267.0,0.0,9064.0,0.1,-0.03,-0.03,0,tth,0,0.03
1638752763.510237,17.0,11.0,28419.0,0.0,9069.0,0.1,-0.02,-0.01999999999999999,0,tth,0,0.01999999999999999
1638752764.2724578,45.0,10.0,29260.0,0.0,9073.0,0.1,-0.01,-0.010000000000000009,0,tth,0,0.010000000000000009
1638752765.149746,44.0,10.0,29595.0,0.0,9059.0,0.1,0.0,0.0,0,tth,0,-0.0
1638752765.8909602,46.0,10.0,29734.0,0.0,9072.0,0.1,0.01,0.010000000000000009,0,tth,0,-0.010000000000000009
1638752766.6184204,27.0,10.0,29261.0,0.0,9056.0,0.1,0.02,0.020000000000000018,0,tth,0,-0.020000000000000018
1638752767.3315306,57.0,11.0,28650.0,0.0,9073.0,0.1,0.03,0.030000000000000027,0,tth,0,-0.030000000000000027
1638752768.0907197,29.0,10.0,27496.0,0.0,9061.0,0.1,0.04,0.03999999999999998,0,tth,0,-0.03999999999999998
1638752768.8435974,20.0,10.0,26075.0,0.0,9066.0,0.1,0.05,0.04999999999999999,0,tth,0,-0.04999999999999999
1638752769.6211598,35.0,10.0,24402.0,0.0,9065.0,0.1,0.06,0.06,0,tth,0,-0.06
1638752770.352148,32.0,10.0,22408.0,0.0,9063.0,0.1,0.07,0.07,0,tth,0,-0.07
1638752771.0831032,30.0,10.0,20237.0,0.0,9058.0,0.1,0.081,0.08000000000000002,0,tth,0,-0.08000000000000002
1638752771.8421686,30.0,10.0,18033.0,0.0,9069.0,0.1,0.09,0.09000000000000002,0,tth,0,-0.09000000000000002
1638752772.671328,30.0,10.0,15770.0,0.0,9062.0,0.1,0.1,0.10000000000000003,0,tth,0,-0.10000000000000003
1638752773.4188168,11.0,10.0,13457.0,0.0,9055.0,0.1,0.11,0.10999999999999999,0,tth,0,-0.10999999999999999
1638752774.2892554,17.0,10.0,11303.0,0.0,9058.0,0.1,0.12,0.12,0,tth,0,-0.12
1638752775.0674112,26.0,10.0,9443.0,0.0,9053.0,0.1,0.13,0.13,0,tth,0,-0.13
1638752775.7850757,16.0,10.0,7518.0,0.0,9066.0,0.1,0.14,0.14,0,tth,0,-0.14
1638752776.5424023,37.0,10.0,6088.0,0.0,9053.0,0.1,0.15,0.15000000000000002,0,tth,0,-0.15000000000000002
1638752777.2974136,45.0,10.0,4740.0,0.0,9077.0,0.1,0.161,0.16000000000000003,0,tth,0,-0.16000000000000003
1638752778.0038576,19.0,11.0,3631.0,0.0,9050.0,0.1,0.17,0.16999999999999998,0,tth,0,-0.16999999999999998
1638752778.7337806,30.0,10.0,2688.0,0.0,9065.0,0.1,0.18,0.18,0,tth,0,-0.18
1638752779.4630635,19.0,10.0,2010.0,0.0,9063.0,0.1,0.19,0.19,0,tth,0,-0.19
1638752780.2467878,11.0,11.0,1474.0,0.0,9057.0,0.1,0.2,0.2,0,tth,0,-0.2
1638752781.033715,21.0,9.0,1070.0,0.0,9053.0,0.1,0.21,0.21000000000000002,0,tth,0,-0.21000000000000002
1638752781.7508473,39.0,10.0,797.0,0.0,9061.0,0.1,0.22,0.22000000000000003,0,tth,0,-0.22000000000000003
1638752782.4779382,42.0,10.0,580.0,0.0,9059.0,0.1,0.23,0.22999999999999998,0,tth,0,-0.22999999999999998
1638752783.263591,31.0,10.0,465.0,0.0,9055.0,0.1,0.24,0.24,0,tth,0,-0.24
1638752784.0550861,28.0,10.0,361.0,0.0,9056.0,0.1,0.25,0.25,0,tth,0,-0.25
