time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,D4calc,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638751058.8130376,58.35814238179,58.35781675153791,0,kth,0,232.3313256302521,0.6018902273695627,10591.0,10.0,15539.0,0.0,25817.0,0.1,2.0,2.0,0,tth,0,-2.0,1499.93,1500.0,0,x,0,1500.0
1638751060.0999315,58.404142381790024,58.407816751537894,0,kth,0,232.28132563025213,0.7131782945736435,11071.0,10.0,18400.0,0.0,25800.0,0.1,2.1,2.1,0,tth,0,-2.1,1505.002,1505.0333333333333,0,x,0,1505.0333333333333
1638751061.313673,58.45714238179002,58.457816751537905,0,kth,0,232.23132563025212,0.6778833107191317,11698.0,11.0,17486.0,0.0,25795.0,0.1,2.2,2.2,0,tth,0,-2.2,1510.078,1510.0666666666666,0,x,0,1510.0666666666666
1638751062.5958273,58.51014238179002,58.507816751537916,0,kth,0,232.1813256302521,0.6366490928826175,12505.0,9.0,16423.0,0.0,25796.0,0.1,2.3000000000000003,2.3,0,tth,0,-2.3,1515.126,1515.1,0,x,0,1515.1
1638751063.8324342,58.555142381790006,58.55781675153793,0,kth,0,232.1313256302521,0.8495503178787409,13242.0,11.0,21915.0,0.0,25796.0,0.1,2.4,2.4,0,tth,0,-2.4,1520.142,1520.1333333333334,0,x,0,1520.1333333333334
1638751065.2540379,58.61114238179002,58.60781675153791,0,kth,0,232.0813256302521,0.6470086464270481,14086.0,10.0,16687.0,0.0,25791.0,0.1,2.5,2.5,0,tth,0,-2.5,1525.176,1525.1666666666667,0,x,0,1525.1666666666667
1638751066.545562,58.66114238179003,58.657816751537894,0,kth,0,232.03132563025213,0.6693060083837913,14913.0,9.0,17244.0,0.0,25764.0,0.1,2.6,2.6,0,tth,0,-2.6,1530.224,1530.2,0,x,0,1530.2
1638751067.8668857,58.70514238179001,58.707816751537905,0,kth,0,231.98132563025212,1.4333682698653003,15731.0,10.0,36925.0,0.0,25761.0,0.1,2.7,2.7,0,tth,0,-2.7,1535.2150000000001,1535.2333333333333,0,x,0,1535.2333333333333
1638751069.1416254,58.757142381790004,58.757816751537916,0,kth,0,231.9313256302521,1.4075622121599134,16755.0,10.0,36370.0,0.0,25839.0,0.1,2.8000000000000003,2.8,0,tth,0,-2.8,1540.28,1540.2666666666667,0,x,0,1540.2666666666667
1638751070.4034462,58.807142381790015,58.80781675153793,0,kth,0,231.8813256302521,1.6257934664808793,17611.0,11.0,42004.0,0.0,25836.0,0.1,2.9,2.9,0,tth,0,-2.9,1545.319,1545.3,0,x,0,1545.3
1638751071.6425633,58.85814238179,58.85781675153791,0,kth,0,231.8313256302521,1.6503523580887478,18635.0,10.0,42622.0,0.0,25826.0,0.1,3.0,3.0,0,tth,0,-3.0,1550.295,1550.3333333333333,0,x,0,1550.3333333333333
1638751072.8529577,58.906142381790005,58.907816751537894,0,kth,0,231.78132563025213,1.7095975232198142,19587.0,10.0,44176.0,0.0,25840.0,0.1,3.1,3.1,0,tth,0,-3.1,1555.385,1555.3666666666666,0,x,0,1555.3666666666666
1638751074.1315286,58.95414238179001,58.957816751537905,0,kth,0,231.73132563025212,2.286976401751463,20476.0,10.0,59020.0,0.0,25807.0,0.1,3.2,3.2,0,tth,0,-3.2,1560.384,1560.4,0,x,0,1560.4
1638751075.3841324,59.00414238179002,59.007816751537916,0,kth,0,231.6813256302521,2.4460972302924655,21373.0,11.0,63146.0,0.0,25815.0,0.1,3.3000000000000003,3.3,0,tth,0,-3.3,1565.433,1565.4333333333334,0,x,0,1565.4333333333334
1638751076.601676,59.059142381790025,59.05781675153793,0,kth,0,231.6313256302521,1.163916647300333,22444.0,10.0,30050.0,0.0,25818.0,0.1,3.4,3.4000000000000004,0,tth,0,-3.4000000000000004,1570.458,1570.4666666666667,0,x,0,1570.4666666666667
1638751078.0309596,59.10414238179001,59.10781675153791,0,kth,0,231.5813256302521,2.8183157568238215,23278.0,10.0,72690.0,0.0,25792.0,0.1,3.5,3.5,0,tth,0,-3.5,1575.487,1575.5,0,x,0,1575.5
1638751079.4377494,59.15314238179002,59.157816751537894,0,kth,0,231.53132563025213,2.81697345475683,24258.0,11.0,72692.0,0.0,25805.0,0.1,3.6,3.6,0,tth,0,-3.6,1580.508,1580.5333333333333,0,x,0,1580.5333333333333
1638751080.640996,59.21014238179001,59.207816751537905,0,kth,0,231.48132563025212,1.9839816933638443,25440.0,10.0,51153.0,0.0,25783.0,0.1,3.7,3.7,0,tth,0,-3.7,1585.498,1585.5666666666666,0,x,0,1585.5666666666666
1638751081.8364987,59.25814238179001,59.257816751537916,0,kth,0,231.4313256302521,2.5601395889879797,26578.0,10.0,66026.0,0.0,25790.0,0.1,3.8000000000000003,3.8,0,tth,0,-3.8,1590.6000000000001,1590.6,0,x,0,1590.6
1638751083.0413494,59.309142381790025,59.30781675153793,0,kth,0,231.3813256302521,2.5885592398681405,27709.0,10.0,66746.0,0.0,25785.0,0.1,3.9,3.9000000000000004,0,tth,0,-3.9000000000000004,1595.662,1595.6333333333332,0,x,0,1595.6333333333332
1638751084.4020314,59.36214238179002,59.35781675153791,0,kth,0,231.3313256302521,2.156128782001552,28980.0,10.0,55585.0,0.0,25780.0,0.1,4.0,4.0,0,tth,0,-4.0,1600.6480000000001,1600.6666666666667,0,x,0,1600.6666666666667
1638751085.8138015,59.412142381790005,59.407816751537894,0,kth,0,231.28132563025213,2.2555831265508686,30233.0,11.0,58176.0,0.0,25792.0,0.1,4.1,4.1,0,tth,0,-4.1,1605.728,1605.7,0,x,0,1605.7
1638751087.016581,59.45514238179001,59.457816751537905,0,kth,0,231.23132563025212,2.821526996079649,31363.0,10.0,72691.0,0.0,25763.0,0.1,4.2,4.2,0,tth,0,-4.2,1610.6670000000001,1610.7333333333333,0,x,0,1610.7333333333333
1638751088.2608805,59.507142381790004,59.507816751537916,0,kth,0,231.1813256302521,2.820954598370198,32584.0,11.0,72696.0,0.0,25770.0,0.1,4.3,4.300000000000001,0,tth,0,-4.300000000000001,1615.768,1615.7666666666667,0,x,0,1615.7666666666667
1638751089.45504,59.55814238179002,59.55781675153793,0,kth,0,231.1313256302521,2.8209934031819945,33907.0,11.0,72697.0,0.0,25770.0,0.1,4.4,4.4,0,tth,0,-4.4,1620.779,1620.8,0,x,0,1620.8
1638751090.6971066,59.60614238179002,59.60781675153791,0,kth,0,231.0813256302521,2.822830518345952,35130.0,10.0,72702.0,0.0,25755.0,0.1,4.5,4.5,0,tth,0,-4.5,1625.781,1625.8333333333333,0,x,0,1625.8333333333333
1638751091.9945765,59.656142381790005,59.657816751537894,0,kth,0,231.03132563025213,2.822501747030049,36376.0,11.0,72702.0,0.0,25758.0,0.1,4.6000000000000005,4.6,0,tth,0,-4.6,1630.833,1630.8666666666668,0,x,0,1630.8666666666668
1638751093.2665856,59.71214238179002,59.707816751537905,0,kth,0,230.98132563025212,2.804667779892043,37700.0,10.0,72223.0,0.0,25751.0,0.1,4.7,4.7,0,tth,0,-4.7,1635.902,1635.9,0,x,0,1635.9
1638751094.488728,59.75414238179002,59.757816751537916,0,kth,0,230.9313256302521,2.8227597453020654,38778.0,10.0,72703.0,0.0,25756.0,0.1,4.8,4.800000000000001,0,tth,0,-4.800000000000001,1640.913,1640.9333333333334,0,x,0,1640.9333333333334
1638751095.8270695,59.81214238179001,59.80781675153793,0,kth,0,230.8813256302521,2.8240161609883065,40014.0,10.0,72693.0,0.0,25741.0,0.1,4.9,4.9,0,tth,0,-4.9,1645.953,1645.9666666666667,0,x,0,1645.9666666666667
1638751097.0547905,59.85614238179002,59.85781675153791,0,kth,0,230.8313256302521,2.827331414793498,41032.0,10.0,72702.0,0.0,25714.0,0.1,5.0,5.0,0,tth,0,-5.0,1651.005,1651.0,0,x,0,1651.0
1638751098.3267484,59.90914238179002,59.907816751537894,0,kth,0,230.78132563025213,2.82625767825208,42216.0,11.0,72697.0,0.0,25722.0,0.1,5.1000000000000005,5.1,0,tth,0,-5.1,1656.055,1656.0333333333333,0,x,0,1656.0333333333333
1638751099.5700285,59.95714238179002,59.957816751537905,0,kth,0,230.73132563025212,2.826310060643757,43446.0,10.0,72704.0,0.0,25724.0,0.1,5.2,5.2,0,tth,0,-5.2,1661.016,1661.0666666666666,0,x,0,1661.0666666666666
1638751100.8424547,60.00514238179002,60.007816751537916,0,kth,0,230.6813256302521,2.826568696057849,44596.0,10.0,72705.0,0.0,25722.0,0.1,5.3,5.300000000000001,0,tth,0,-5.300000000000001,1666.154,1666.1,0,x,0,1666.1
1638751102.1228232,60.06214238179001,60.05781675153793,0,kth,0,230.6313256302521,2.8274990276157137,45937.0,11.0,72695.0,0.0,25710.0,0.1,5.4,5.4,0,tth,0,-5.4,1671.094,1671.1333333333332,0,x,0,1671.1333333333332
1638751103.450358,60.10414238179001,60.10781675153791,0,kth,0,230.5813256302521,2.8270793638449274,47012.0,11.0,72704.0,0.0,25717.0,0.1,5.5,5.5,0,tth,0,-5.5,1676.2160000000001,1676.1666666666667,0,x,0,1676.1666666666667
1638751104.6949852,60.160142381790024,60.157816751537894,0,kth,0,230.53132563025213,2.8276613122787913,48261.0,10.0,72702.0,0.0,25711.0,0.1,5.6000000000000005,5.6,0,tth,0,-5.6,1681.171,1681.2,0,x,0,1681.2
1638751106.1126294,60.20314238179,60.207816751537905,0,kth,0,230.48132563025212,2.828036874246373,49275.0,11.0,72706.0,0.0,25709.0,0.1,5.7,5.7,0,tth,0,-5.7,1686.184,1686.2333333333333,0,x,0,1686.2333333333333
1638751107.3899803,60.257142381790004,60.257816751537916,0,kth,0,230.4313256302521,2.828036874246373,50477.0,11.0,72706.0,0.0,25709.0,0.1,5.8,5.800000000000001,0,tth,0,-5.800000000000001,1691.2630000000001,1691.2666666666667,0,x,0,1691.2666666666667
1638751108.6205816,60.307142381790015,60.30781675153793,0,kth,0,230.3813256302521,2.8282568950091416,51385.0,10.0,72706.0,0.0,25707.0,0.1,5.9,5.9,0,tth,0,-5.9,1696.285,1696.3,0,x,0,1696.3
1638751109.822139,60.35614238179002,60.35781675153791,0,kth,0,230.3313256302521,2.8283669182292073,52198.0,10.0,72706.0,0.0,25706.0,0.1,6.0,6.0,0,tth,0,-6.0,1701.355,1701.3333333333333,0,x,0,1701.3333333333333
1638751111.1296563,60.40914238179002,60.407816751537894,0,kth,0,230.28132563025213,2.8282046294495236,52846.0,11.0,72699.0,0.0,25705.0,0.1,6.1000000000000005,6.1000000000000005,0,tth,0,-6.1000000000000005,1706.365,1706.3666666666668,0,x,0,1706.3666666666668
1638751112.5759375,60.46214238179002,60.457816751537905,0,kth,0,230.23132563025212,2.8278289959933094,53361.0,10.0,72695.0,0.0,25707.0,0.1,6.2,6.2,0,tth,0,-6.2,1711.39,1711.4,0,x,0,1711.4
1638751113.875508,60.50414238179002,60.507816751537916,0,kth,0,230.1813256302521,2.8266008320049765,53513.0,11.0,72703.0,0.0,25721.0,0.1,6.3,6.3,0,tth,0,-6.3,1716.454,1716.4333333333334,0,x,0,1716.4333333333334
1638751115.1156657,60.559142381790025,60.55781675153793,0,kth,0,230.1313256302521,2.8274990276157137,53600.0,10.0,72695.0,0.0,25710.0,0.1,6.4,6.4,0,tth,0,-6.4,1721.4660000000001,1721.4666666666667,0,x,0,1721.4666666666667
1638751116.3202436,60.60614238179002,60.60781675153791,0,kth,0,230.0813256302521,2.827027027027027,53394.0,11.0,72697.0,0.0,25715.0,0.1,6.5,6.5,0,tth,0,-6.5,1726.4660000000001,1726.5,0,x,0,1726.5
1638751117.5668561,60.65914238179002,60.657816751537894,0,kth,0,230.03132563025213,2.8290784557907847,53030.0,10.0,72696.0,0.0,25696.0,0.1,6.6000000000000005,6.6000000000000005,0,tth,0,-6.6000000000000005,1731.547,1731.5333333333333,0,x,0,1731.5333333333333
1638751118.8213995,60.70414238179001,60.707816751537905,0,kth,0,229.98132563025212,2.8277578963746692,52492.0,10.0,72696.0,0.0,25708.0,0.1,6.7,6.7,0,tth,0,-6.7,1736.595,1736.5666666666666,0,x,0,1736.5666666666666
1638751120.0747836,60.759142381790014,60.757816751537916,0,kth,0,229.9313256302521,2.7045092012605534,51717.0,10.0,69514.0,0.0,25703.0,0.1,6.8,6.800000000000001,0,tth,0,-6.800000000000001,1741.583,1741.6,0,x,0,1741.6
1638751121.3318622,60.80414238179003,60.80781675153793,0,kth,0,229.8813256302521,2.830069685054697,51019.0,11.0,72696.0,0.0,25687.0,0.1,6.9,6.9,0,tth,0,-6.9,1746.624,1746.6333333333332,0,x,0,1746.6333333333332
1638751122.574054,60.86014238179001,60.85781675153791,0,kth,0,229.8313256302521,2.217135510013247,50200.0,9.0,56905.0,0.0,25666.0,0.1,7.0,7.0,0,tth,0,-7.0,1751.6380000000001,1751.6666666666667,0,x,0,1751.6666666666667
1638751123.8526902,60.904142381790024,60.907816751537894,0,kth,0,229.78132563025213,2.5077132839890925,49373.0,11.0,64373.0,0.0,25670.0,0.1,7.1000000000000005,7.1000000000000005,0,tth,0,-7.1000000000000005,1756.737,1756.7,0,x,0,1756.7
1638751125.1173918,60.96014238179001,60.957816751537905,0,kth,0,229.73132563025212,2.0567367601246107,48564.0,10.0,52817.0,0.0,25680.0,0.1,7.2,7.2,0,tth,0,-7.2,1761.664,1761.7333333333333,0,x,0,1761.7333333333333
1638751126.339385,61.00414238179002,61.007816751537916,0,kth,0,229.6813256302521,2.2622055841522384,47674.0,11.0,58012.0,0.0,25644.0,0.1,7.3,7.300000000000001,0,tth,0,-7.300000000000001,1766.732,1766.7666666666667,0,x,0,1766.7666666666667
1638751127.6214917,61.06214238179001,61.05781675153793,0,kth,0,229.6313256302521,1.5562139404334945,46807.0,11.0,39920.0,0.0,25652.0,0.1,7.4,7.4,0,tth,0,-7.4,1771.76,1771.8,0,x,0,1771.8
1638751128.9122887,61.10414238179001,61.10781675153791,0,kth,0,229.5813256302521,1.843748784755979,46237.0,11.0,47412.0,0.0,25715.0,0.1,7.5,7.5,0,tth,0,-7.5,1776.88,1776.8333333333333,0,x,0,1776.8333333333333
1638751130.2003539,61.160142381790024,61.157816751537894,0,kth,0,229.53132563025213,1.3994400373308447,45358.0,11.0,35988.0,0.0,25716.0,0.1,7.6000000000000005,7.6000000000000005,0,tth,0,-7.6000000000000005,1781.862,1781.8666666666668,0,x,0,1781.8666666666668
