,1638577487.9038835,1638577576.1513326
undulator_energy_setpoint,0.529501,0.529501
undulator_energy_readback,0.4974483549594879,0.4974483549594879
kappa_motors_m2,-2200.02,-2200.103
kappa_motors_m2_user_setpoint,-2200.0,-2200.0
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,-2200.0,-2200.0
mono_energy_setpoint,520.0,520.0
mono_energy,519.9822485,520.0087534
mono_mirror_pitch,3.636207885742188,3.6362542724609375
mono_mirror_pitch_user_setpoint,3.6361590576171876,3.6361590576171876
mono_grating_pitch,4.92873837890625,4.928765844726563
mono_grating_pitch_user_setpoint,4.928748754882813,4.928748754882813
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,1
mono_grating_status,1,1
kappa_motors_m1,57.04513752,57.04511124
kappa_motors_m1_user_setpoint,57.04499999999997,57.04499999999997
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,85.26580415999997,85.26580415999997
srs_A4,1e-10,1e-10
kappa_motors_m8,73.32214238179,73.32314238179
kappa_motors_m8_user_setpoint,73.32239670795883,73.32239670795883
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,217.3667456738312,217.3667456738312
kappa_motors_m7,134.75600000000003,134.75600000000003
kappa_motors_m7_user_setpoint,134.7559273836236,134.7559273836236
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.2059273836236,179.2059273836236
kappa_motors_m4,-220.01,-219.991
kappa_motors_m4_user_setpoint,-220.0,-220.0
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,-220.0,-220.0
centroidM3R,111.11936223121556,111.06216665851153
kappa_motors_m9,32.0,32.0
kappa_motors_m9_user_setpoint,32.0,32.0
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,-32.0,-32.0
select_detector,d4,d4
kappa_motors_m3,0.261,0.252
kappa_motors_m3_user_setpoint,0.0,0.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,0.0,0.0
